# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,6,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(12,15),(15,13),-0.068114 # DEPENDENCYPART_GRANDPAR
(12,15),(15,14),-0.110226 # DEPENDENCYPART_GRANDPAR
(12,15),(15,20),0.0739092 # DEPENDENCYPART_GRANDPAR
(12,15),(15,24),0.0814624 # DEPENDENCYPART_GRANDPAR
(12,16),(16,2),-0.451112 # DEPENDENCYPART_GRANDPAR
(12,16),(16,3),-0.799138 # DEPENDENCYPART_GRANDPAR
(12,16),(16,4),-0.575346 # DEPENDENCYPART_GRANDPAR
(12,16),(16,7),-0.328005 # DEPENDENCYPART_GRANDPAR
(12,16),(16,8),-0.127721 # DEPENDENCYPART_GRANDPAR
(12,16),(16,9),0.189406 # DEPENDENCYPART_GRANDPAR
(12,16),(16,10),0.152435 # DEPENDENCYPART_GRANDPAR
(12,16),(16,11),0.0525172 # DEPENDENCYPART_GRANDPAR
(12,16),(16,12),-0.203905 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,16),(16,13),0.0723494 # DEPENDENCYPART_GRANDPAR
(12,16),(16,14),-0.0935683 # DEPENDENCYPART_GRANDPAR
(12,16),(16,15),-0.00169293 # DEPENDENCYPART_GRANDPAR
(12,16),(16,18),0.093562 # DEPENDENCYPART_GRANDPAR
(12,16),(16,19),0.035108 # DEPENDENCYPART_GRANDPAR
(12,16),(16,20),0.181918 # DEPENDENCYPART_GRANDPAR
(12,16),(16,21),0.265865 # DEPENDENCYPART_GRANDPAR
(12,16),(16,24),0.18011 # DEPENDENCYPART_GRANDPAR
(13,7),(7,1),-0.621247 # DEPENDENCYPART_GRANDPAR
(13,7),(7,2),-0.0778282 # DEPENDENCYPART_GRANDPAR
(13,7),(7,3),-0.234097 # DEPENDENCYPART_GRANDPAR
(13,7),(7,4),-0.341802 # DEPENDENCYPART_GRANDPAR
(13,7),(7,5),-0.000499974 # DEPENDENCYPART_GRANDPAR
(13,7),(7,6),-0.171446 # DEPENDENCYPART_GRANDPAR
(13,9),(9,4),-0.322331 # DEPENDENCYPART_GRANDPAR
(13,9),(9,5),-0.210556 # DEPENDENCYPART_GRANDPAR
(13,9),(9,6),-0.381501 # DEPENDENCYPART_GRANDPAR
(13,9),(9,7),-0.0638375 # DEPENDENCYPART_GRANDPAR
(13,9),(9,8),-0.487898 # DEPENDENCYPART_GRANDPAR
(13,9),(9,24),-0.451536 # DEPENDENCYPART_GRANDPAR
(13,10),(10,1),-0.711089 # DEPENDENCYPART_GRANDPAR
(13,10),(10,2),-0.382532 # DEPENDENCYPART_GRANDPAR
(13,10),(10,3),-0.376483 # DEPENDENCYPART_GRANDPAR
(13,10),(10,4),-0.56879 # DEPENDENCYPART_GRANDPAR
(13,10),(10,5),-0.0632058 # DEPENDENCYPART_GRANDPAR
(13,10),(10,6),-0.234151 # DEPENDENCYPART_GRANDPAR
(13,10),(10,7),-0.375221 # DEPENDENCYPART_GRANDPAR
(13,10),(10,8),-0.568742 # DEPENDENCYPART_GRANDPAR
(13,10),(10,9),-0.397733 # DEPENDENCYPART_GRANDPAR
(13,10),(10,11),-0.501726 # DEPENDENCYPART_GRANDPAR
(13,10),(10,13),-0.831601 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,10),(10,15),-0.635517 # DEPENDENCYPART_GRANDPAR
(13,10),(10,16),-0.780209 # DEPENDENCYPART_GRANDPAR
(13,10),(10,17),-0.205613 # DEPENDENCYPART_GRANDPAR
(13,10),(10,21),-0.123704 # DEPENDENCYPART_GRANDPAR
(13,10),(10,24),-0.40903 # DEPENDENCYPART_GRANDPAR
(13,11),(11,1),-0.629047 # DEPENDENCYPART_GRANDPAR
(13,11),(11,3),-0.464659 # DEPENDENCYPART_GRANDPAR
(13,11),(11,4),-0.335857 # DEPENDENCYPART_GRANDPAR
(13,11),(11,7),-0.0773636 # DEPENDENCYPART_GRANDPAR
(13,11),(11,8),-0.486701 # DEPENDENCYPART_GRANDPAR
(13,11),(11,9),-0.315692 # DEPENDENCYPART_GRANDPAR
(13,11),(11,10),-0.144675 # DEPENDENCYPART_GRANDPAR
(13,12),(12,8),-0.444675 # DEPENDENCYPART_GRANDPAR
(13,12),(12,9),-0.273667 # DEPENDENCYPART_GRANDPAR
(13,12),(12,10),-0.175156 # DEPENDENCYPART_GRANDPAR
(13,12),(12,11),-0.165352 # DEPENDENCYPART_GRANDPAR
(13,12),(12,13),-0.879283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,12),(12,15),-0.683199 # DEPENDENCYPART_GRANDPAR
(13,12),(12,16),-0.863318 # DEPENDENCYPART_GRANDPAR
(13,14),(14,3),-0.830705 # DEPENDENCYPART_GRANDPAR
(13,14),(14,5),-0.461829 # DEPENDENCYPART_GRANDPAR
(13,14),(14,6),-0.632775 # DEPENDENCYPART_GRANDPAR
(13,14),(14,8),-0.820498 # DEPENDENCYPART_GRANDPAR
(13,14),(14,9),-0.649489 # DEPENDENCYPART_GRANDPAR
(13,14),(14,10),-0.371207 # DEPENDENCYPART_GRANDPAR
(13,14),(14,11),-0.542227 # DEPENDENCYPART_GRANDPAR
(13,14),(14,12),-0.378467 # DEPENDENCYPART_GRANDPAR
(13,14),(14,13),-0.76816 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,14),(14,15),-0.111967 # DEPENDENCYPART_GRANDPAR
(13,14),(14,19),-0.14734 # DEPENDENCYPART_GRANDPAR
(13,14),(14,20),-0.118216 # DEPENDENCYPART_GRANDPAR
(13,14),(14,23),0.0433664 # DEPENDENCYPART_GRANDPAR
(13,15),(15,7),-0.255502 # DEPENDENCYPART_GRANDPAR
(13,15),(15,8),-0.727753 # DEPENDENCYPART_GRANDPAR
(13,15),(15,9),-0.556744 # DEPENDENCYPART_GRANDPAR
(13,15),(15,10),-0.269173 # DEPENDENCYPART_GRANDPAR
(13,15),(15,11),-0.449483 # DEPENDENCYPART_GRANDPAR
(13,15),(15,12),-0.306208 # DEPENDENCYPART_GRANDPAR
(13,15),(15,13),-0.770432 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,15),(15,14),-0.218207 # DEPENDENCYPART_GRANDPAR
(13,15),(15,20),-0.199106 # DEPENDENCYPART_GRANDPAR
(13,15),(15,24),-0.302057 # DEPENDENCYPART_GRANDPAR
(13,21),(21,1),-0.994764 # DEPENDENCYPART_GRANDPAR
(13,21),(21,5),-0.501238 # DEPENDENCYPART_GRANDPAR
(13,21),(21,6),-0.672184 # DEPENDENCYPART_GRANDPAR
(13,21),(21,8),-0.852417 # DEPENDENCYPART_GRANDPAR
(13,21),(21,9),-0.681408 # DEPENDENCYPART_GRANDPAR
(13,21),(21,10),-0.410616 # DEPENDENCYPART_GRANDPAR
(13,21),(21,11),-0.574147 # DEPENDENCYPART_GRANDPAR
(13,21),(21,12),-0.386287 # DEPENDENCYPART_GRANDPAR
(13,21),(21,13),-0.726521 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,21),(21,14),-0.130014 # DEPENDENCYPART_GRANDPAR
(13,21),(21,15),-0.530437 # DEPENDENCYPART_GRANDPAR
(13,21),(21,16),-0.669258 # DEPENDENCYPART_GRANDPAR
(13,21),(21,17),-0.118706 # DEPENDENCYPART_GRANDPAR
(13,21),(21,18),-0.0499133 # DEPENDENCYPART_GRANDPAR
(13,21),(21,19),-0.116638 # DEPENDENCYPART_GRANDPAR
(13,21),(21,20),-0.256777 # DEPENDENCYPART_GRANDPAR
(13,21),(21,22),-0.030379 # DEPENDENCYPART_GRANDPAR
(13,21),(21,23),0.0508564 # DEPENDENCYPART_GRANDPAR
(13,21),(21,24),-0.252896 # DEPENDENCYPART_GRANDPAR
(13,21),(21,25),-0.31129 # DEPENDENCYPART_GRANDPAR
(14,3),(3,1),-0.476995 # DEPENDENCYPART_GRANDPAR
(14,3),(3,2),-0.141879 # DEPENDENCYPART_GRANDPAR
(14,5),(5,1),-0.46801 # DEPENDENCYPART_GRANDPAR
(14,5),(5,2),-0.171385 # DEPENDENCYPART_GRANDPAR
(14,5),(5,3),-0.235018 # DEPENDENCYPART_GRANDPAR
(14,5),(5,4),-0.18236 # DEPENDENCYPART_GRANDPAR
(14,5),(5,17),-0.125655 # DEPENDENCYPART_GRANDPAR
(14,6),(6,1),-0.46801 # DEPENDENCYPART_GRANDPAR
(14,6),(6,2),-0.171385 # DEPENDENCYPART_GRANDPAR
(14,6),(6,3),-0.235018 # DEPENDENCYPART_GRANDPAR
(14,6),(6,4),-0.18236 # DEPENDENCYPART_GRANDPAR
(14,6),(6,5),-0.211803 # DEPENDENCYPART_GRANDPAR
(14,6),(6,17),-0.125655 # DEPENDENCYPART_GRANDPAR
(14,8),(8,3),-0.393212 # DEPENDENCYPART_GRANDPAR
(14,8),(8,4),-0.225027 # DEPENDENCYPART_GRANDPAR
(14,8),(8,5),-0.246537 # DEPENDENCYPART_GRANDPAR
(14,8),(8,6),-0.144485 # DEPENDENCYPART_GRANDPAR
(14,8),(8,7),-0.443146 # DEPENDENCYPART_GRANDPAR
(14,9),(9,4),-0.225027 # DEPENDENCYPART_GRANDPAR
(14,9),(9,5),-0.246537 # DEPENDENCYPART_GRANDPAR
(14,9),(9,6),-0.144485 # DEPENDENCYPART_GRANDPAR
(14,9),(9,7),-0.443146 # DEPENDENCYPART_GRANDPAR
(14,9),(9,8),-0.378002 # DEPENDENCYPART_GRANDPAR
(14,9),(9,24),-0.168844 # DEPENDENCYPART_GRANDPAR
(14,10),(10,1),-0.46801 # DEPENDENCYPART_GRANDPAR
(14,10),(10,2),-0.171385 # DEPENDENCYPART_GRANDPAR
(14,10),(10,3),-0.235018 # DEPENDENCYPART_GRANDPAR
(14,10),(10,4),-0.18236 # DEPENDENCYPART_GRANDPAR
(14,10),(10,5),-0.211803 # DEPENDENCYPART_GRANDPAR
(14,10),(10,6),-0.10975 # DEPENDENCYPART_GRANDPAR
(14,10),(10,7),-0.436821 # DEPENDENCYPART_GRANDPAR
(14,10),(10,8),-0.299269 # DEPENDENCYPART_GRANDPAR
(14,10),(10,9),-0.0556932 # DEPENDENCYPART_GRANDPAR
(14,10),(10,11),-0.269188 # DEPENDENCYPART_GRANDPAR
(14,10),(10,13),-0.164988 # DEPENDENCYPART_GRANDPAR
(14,10),(10,15),0.0175901 # DEPENDENCYPART_GRANDPAR
(14,10),(10,16),0.0803281 # DEPENDENCYPART_GRANDPAR
(14,10),(10,17),-0.125655 # DEPENDENCYPART_GRANDPAR
(14,10),(10,21),-0.1181 # DEPENDENCYPART_GRANDPAR
(14,10),(10,24),-0.205457 # DEPENDENCYPART_GRANDPAR
(14,11),(11,1),-0.547903 # DEPENDENCYPART_GRANDPAR
(14,11),(11,3),-0.395089 # DEPENDENCYPART_GRANDPAR
(14,11),(11,4),-0.232311 # DEPENDENCYPART_GRANDPAR
(14,11),(11,7),-0.45043 # DEPENDENCYPART_GRANDPAR
(14,11),(11,8),-0.379162 # DEPENDENCYPART_GRANDPAR
(14,11),(11,9),-0.135586 # DEPENDENCYPART_GRANDPAR
(14,11),(11,10),-0.165908 # DEPENDENCYPART_GRANDPAR
(14,12),(12,8),-0.394667 # DEPENDENCYPART_GRANDPAR
(14,12),(12,9),-0.151091 # DEPENDENCYPART_GRANDPAR
(14,12),(12,10),-0.282599 # DEPENDENCYPART_GRANDPAR
(14,12),(12,11),0.00690228 # DEPENDENCYPART_GRANDPAR
(14,12),(12,13),0.0577102 # DEPENDENCYPART_GRANDPAR
(14,12),(12,15),-0.0341465 # DEPENDENCYPART_GRANDPAR
(14,12),(12,16),0.00322703 # DEPENDENCYPART_GRANDPAR
(14,13),(13,7),-0.522702 # DEPENDENCYPART_GRANDPAR
(14,13),(13,9),-0.0646778 # DEPENDENCYPART_GRANDPAR
(14,13),(13,10),-0.0138907 # DEPENDENCYPART_GRANDPAR
(14,13),(13,11),0.0817773 # DEPENDENCYPART_GRANDPAR
(14,13),(13,12),0.148254 # DEPENDENCYPART_GRANDPAR
(14,13),(13,14),-0.200565 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,13),(13,15),-0.0109869 # DEPENDENCYPART_GRANDPAR
(14,13),(13,21),-0.0672308 # DEPENDENCYPART_GRANDPAR
(14,15),(15,7),-0.572362 # DEPENDENCYPART_GRANDPAR
(14,15),(15,8),-0.584511 # DEPENDENCYPART_GRANDPAR
(14,15),(15,9),-0.340935 # DEPENDENCYPART_GRANDPAR
(14,15),(15,10),-0.370296 # DEPENDENCYPART_GRANDPAR
(14,15),(15,11),-0.187437 # DEPENDENCYPART_GRANDPAR
(14,15),(15,12),-0.136649 # DEPENDENCYPART_GRANDPAR
(14,15),(15,13),-0.065294 # DEPENDENCYPART_GRANDPAR
(14,15),(15,14),-0.126213 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,15),(15,20),0.412631 # DEPENDENCYPART_GRANDPAR
(14,15),(15,24),0.0624089 # DEPENDENCYPART_GRANDPAR
(14,19),(19,18),0.0963441 # DEPENDENCYPART_GRANDPAR
(14,20),(20,7),-0.572591 # DEPENDENCYPART_GRANDPAR
(14,20),(20,12),-0.136806 # DEPENDENCYPART_GRANDPAR
(14,20),(20,14),-0.0998702 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,20),(20,15),0.138702 # DEPENDENCYPART_GRANDPAR
(14,20),(20,16),0.129096 # DEPENDENCYPART_GRANDPAR
(14,20),(20,17),0.022051 # DEPENDENCYPART_GRANDPAR
(14,20),(20,18),0.0670924 # DEPENDENCYPART_GRANDPAR
(14,20),(20,19),0.205172 # DEPENDENCYPART_GRANDPAR
(14,20),(20,21),0.104099 # DEPENDENCYPART_GRANDPAR
(14,20),(20,22),0.315658 # DEPENDENCYPART_GRANDPAR
(14,20),(20,23),0.128467 # DEPENDENCYPART_GRANDPAR
(14,20),(20,24),0.0186877 # DEPENDENCYPART_GRANDPAR
(14,23),(23,7),-0.572591 # DEPENDENCYPART_GRANDPAR
(14,23),(23,14),-0.0998702 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,23),(23,16),0.129096 # DEPENDENCYPART_GRANDPAR
(14,23),(23,17),0.022051 # DEPENDENCYPART_GRANDPAR
(14,23),(23,18),0.0671649 # DEPENDENCYPART_GRANDPAR
(14,23),(23,19),0.205172 # DEPENDENCYPART_GRANDPAR
(14,23),(23,20),0.198385 # DEPENDENCYPART_GRANDPAR
(14,23),(23,21),0.0296064 # DEPENDENCYPART_GRANDPAR
(14,23),(23,22),0.11203 # DEPENDENCYPART_GRANDPAR
(14,23),(23,25),0.0607571 # DEPENDENCYPART_GRANDPAR
(15,7),(7,1),-0.46087 # DEPENDENCYPART_GRANDPAR
(15,7),(7,2),0.00583689 # DEPENDENCYPART_GRANDPAR
(15,7),(7,3),-0.0854246 # DEPENDENCYPART_GRANDPAR
(15,7),(7,4),-0.356608 # DEPENDENCYPART_GRANDPAR
(15,7),(7,5),0.0702366 # DEPENDENCYPART_GRANDPAR
(15,7),(7,6),-0.0176383 # DEPENDENCYPART_GRANDPAR
(15,8),(8,3),-0.312919 # DEPENDENCYPART_GRANDPAR
(15,8),(8,4),-0.337137 # DEPENDENCYPART_GRANDPAR
(15,8),(8,5),-0.139819 # DEPENDENCYPART_GRANDPAR
(15,8),(8,6),-0.227694 # DEPENDENCYPART_GRANDPAR
(15,8),(8,7),-0.0362173 # DEPENDENCYPART_GRANDPAR
(15,9),(9,4),-0.337137 # DEPENDENCYPART_GRANDPAR
(15,9),(9,5),-0.139819 # DEPENDENCYPART_GRANDPAR
(15,9),(9,6),-0.227694 # DEPENDENCYPART_GRANDPAR
(15,9),(9,7),-0.0362173 # DEPENDENCYPART_GRANDPAR
(15,9),(9,8),-0.431639 # DEPENDENCYPART_GRANDPAR
(15,9),(9,24),-0.317355 # DEPENDENCYPART_GRANDPAR
(15,10),(10,1),-0.550712 # DEPENDENCYPART_GRANDPAR
(15,10),(10,2),-0.298867 # DEPENDENCYPART_GRANDPAR
(15,10),(10,3),-0.227811 # DEPENDENCYPART_GRANDPAR
(15,10),(10,4),-0.583596 # DEPENDENCYPART_GRANDPAR
(15,10),(10,5),0.00753074 # DEPENDENCYPART_GRANDPAR
(15,10),(10,6),-0.0803442 # DEPENDENCYPART_GRANDPAR
(15,10),(10,7),-0.347601 # DEPENDENCYPART_GRANDPAR
(15,10),(10,8),-0.512484 # DEPENDENCYPART_GRANDPAR
(15,10),(10,9),-0.263963 # DEPENDENCYPART_GRANDPAR
(15,10),(10,11),-0.315057 # DEPENDENCYPART_GRANDPAR
(15,10),(10,13),-0.28336 # DEPENDENCYPART_GRANDPAR
(15,10),(10,15),-0.774638 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,10),(10,16),-0.575901 # DEPENDENCYPART_GRANDPAR
(15,10),(10,17),-0.103113 # DEPENDENCYPART_GRANDPAR
(15,10),(10,21),0.0166827 # DEPENDENCYPART_GRANDPAR
(15,10),(10,24),-0.274849 # DEPENDENCYPART_GRANDPAR
(15,11),(11,1),-0.468671 # DEPENDENCYPART_GRANDPAR
(15,11),(11,3),-0.315986 # DEPENDENCYPART_GRANDPAR
(15,11),(11,4),-0.350663 # DEPENDENCYPART_GRANDPAR
(15,11),(11,7),-0.0497434 # DEPENDENCYPART_GRANDPAR
(15,11),(11,8),-0.430442 # DEPENDENCYPART_GRANDPAR
(15,11),(11,9),-0.181922 # DEPENDENCYPART_GRANDPAR
(15,11),(11,10),-0.170346 # DEPENDENCYPART_GRANDPAR
(15,12),(12,8),-0.388417 # DEPENDENCYPART_GRANDPAR
(15,12),(12,9),-0.139897 # DEPENDENCYPART_GRANDPAR
(15,12),(12,10),-0.200827 # DEPENDENCYPART_GRANDPAR
(15,12),(12,11),0.021317 # DEPENDENCYPART_GRANDPAR
(15,12),(12,13),-0.0652868 # DEPENDENCYPART_GRANDPAR
(15,12),(12,15),-0.82232 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,12),(12,16),-0.659009 # DEPENDENCYPART_GRANDPAR
(15,13),(13,7),-0.214722 # DEPENDENCYPART_GRANDPAR
(15,13),(13,9),-0.283559 # DEPENDENCYPART_GRANDPAR
(15,13),(13,10),-0.130255 # DEPENDENCYPART_GRANDPAR
(15,13),(13,11),-0.132381 # DEPENDENCYPART_GRANDPAR
(15,13),(13,12),-0.300345 # DEPENDENCYPART_GRANDPAR
(15,13),(13,14),-0.242504 # DEPENDENCYPART_GRANDPAR
(15,13),(13,15),-0.770576 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,13),(13,21),0.0757433 # DEPENDENCYPART_GRANDPAR
(15,14),(14,3),-0.100601 # DEPENDENCYPART_GRANDPAR
(15,14),(14,5),0.0622399 # DEPENDENCYPART_GRANDPAR
(15,14),(14,6),-0.0256351 # DEPENDENCYPART_GRANDPAR
(15,14),(14,8),-0.435889 # DEPENDENCYPART_GRANDPAR
(15,14),(14,9),-0.187369 # DEPENDENCYPART_GRANDPAR
(15,14),(14,10),0.056454 # DEPENDENCYPART_GRANDPAR
(15,14),(14,11),-0.0267747 # DEPENDENCYPART_GRANDPAR
(15,14),(14,12),-0.119778 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),0.312593 # DEPENDENCYPART_GRANDPAR
(15,14),(14,15),-0.83252 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,14),(14,19),-0.241347 # DEPENDENCYPART_GRANDPAR
(15,14),(14,20),-0.173584 # DEPENDENCYPART_GRANDPAR
(15,14),(14,23),-0.168595 # DEPENDENCYPART_GRANDPAR
(15,20),(20,7),-0.307267 # DEPENDENCYPART_GRANDPAR
(15,20),(20,12),-0.373619 # DEPENDENCYPART_GRANDPAR
(15,20),(20,14),-0.326864 # DEPENDENCYPART_GRANDPAR
(15,20),(20,15),-0.536384 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,20),(20,16),-0.407596 # DEPENDENCYPART_GRANDPAR
(15,20),(20,17),-0.0152027 # DEPENDENCYPART_GRANDPAR
(15,20),(20,18),-0.0896786 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),-0.16219 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),0.164353 # DEPENDENCYPART_GRANDPAR
(15,20),(20,22),0.0282297 # DEPENDENCYPART_GRANDPAR
(15,20),(20,23),0.169519 # DEPENDENCYPART_GRANDPAR
(15,20),(20,24),-0.125232 # DEPENDENCYPART_GRANDPAR
(15,24),(24,5),-0.430501 # DEPENDENCYPART_GRANDPAR
(15,24),(24,6),-0.518376 # DEPENDENCYPART_GRANDPAR
(15,24),(24,8),-0.795437 # DEPENDENCYPART_GRANDPAR
(15,24),(24,9),-0.546916 # DEPENDENCYPART_GRANDPAR
(15,24),(24,11),-0.386756 # DEPENDENCYPART_GRANDPAR
(15,24),(24,12),-0.379303 # DEPENDENCYPART_GRANDPAR
(15,24),(24,13),-0.311652 # DEPENDENCYPART_GRANDPAR
(15,24),(24,14),-0.345118 # DEPENDENCYPART_GRANDPAR
(15,24),(24,15),-0.669919 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,24),(24,16),-0.465436 # DEPENDENCYPART_GRANDPAR
(15,24),(24,17),-0.0159829 # DEPENDENCYPART_GRANDPAR
(15,24),(24,18),-0.0349747 # DEPENDENCYPART_GRANDPAR
(15,24),(24,19),-0.0897524 # DEPENDENCYPART_GRANDPAR
(15,24),(24,20),0.0215585 # DEPENDENCYPART_GRANDPAR
(15,24),(24,21),0.103917 # DEPENDENCYPART_GRANDPAR
(15,24),(24,22),-0.101166 # DEPENDENCYPART_GRANDPAR
(15,24),(24,23),0.0264939 # DEPENDENCYPART_GRANDPAR
(15,24),(24,25),-0.219801 # DEPENDENCYPART_GRANDPAR
(16,2),(2,1),-0.548644 # DEPENDENCYPART_GRANDPAR
(16,3),(3,1),-0.455958 # DEPENDENCYPART_GRANDPAR
(16,3),(3,2),-0.216304 # DEPENDENCYPART_GRANDPAR
(16,4),(4,1),-0.442101 # DEPENDENCYPART_GRANDPAR
(16,4),(4,2),-0.0736006 # DEPENDENCYPART_GRANDPAR
(16,4),(4,3),-0.17097 # DEPENDENCYPART_GRANDPAR
(16,4),(4,23),-0.326421 # DEPENDENCYPART_GRANDPAR
(16,7),(7,1),-0.449104 # DEPENDENCYPART_GRANDPAR
(16,7),(7,2),-0.0875961 # DEPENDENCYPART_GRANDPAR
(16,7),(7,3),-0.172074 # DEPENDENCYPART_GRANDPAR
(16,7),(7,4),0.000704873 # DEPENDENCYPART_GRANDPAR
(16,7),(7,5),-0.0559679 # DEPENDENCYPART_GRANDPAR
(16,7),(7,6),0.154219 # DEPENDENCYPART_GRANDPAR
(16,8),(8,3),-0.375813 # DEPENDENCYPART_GRANDPAR
(16,8),(8,4),-0.0325455 # DEPENDENCYPART_GRANDPAR
(16,8),(8,5),-0.221509 # DEPENDENCYPART_GRANDPAR
(16,8),(8,6),-0.0113223 # DEPENDENCYPART_GRANDPAR
(16,8),(8,7),-0.0621349 # DEPENDENCYPART_GRANDPAR
(16,9),(9,4),-0.0325455 # DEPENDENCYPART_GRANDPAR
(16,9),(9,5),-0.221509 # DEPENDENCYPART_GRANDPAR
(16,9),(9,6),-0.0113223 # DEPENDENCYPART_GRANDPAR
(16,9),(9,7),-0.0621349 # DEPENDENCYPART_GRANDPAR
(16,9),(9,8),-0.261438 # DEPENDENCYPART_GRANDPAR
(16,9),(9,24),-0.297155 # DEPENDENCYPART_GRANDPAR
(16,10),(10,1),-0.41001 # DEPENDENCYPART_GRANDPAR
(16,10),(10,2),-0.241763 # DEPENDENCYPART_GRANDPAR
(16,10),(10,3),-0.245385 # DEPENDENCYPART_GRANDPAR
(16,10),(10,4),0.0428787 # DEPENDENCYPART_GRANDPAR
(16,10),(10,5),-0.163077 # DEPENDENCYPART_GRANDPAR
(16,10),(10,6),0.04711 # DEPENDENCYPART_GRANDPAR
(16,10),(10,7),-0.0352827 # DEPENDENCYPART_GRANDPAR
(16,10),(10,8),-0.187435 # DEPENDENCYPART_GRANDPAR
(16,10),(10,9),-0.0861633 # DEPENDENCYPART_GRANDPAR
(16,10),(10,11),-0.20609 # DEPENDENCYPART_GRANDPAR
(16,10),(10,13),-0.128527 # DEPENDENCYPART_GRANDPAR
(16,10),(10,15),-0.10723 # DEPENDENCYPART_GRANDPAR
(16,10),(10,16),-0.616127 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,10),(10,17),-0.0863641 # DEPENDENCYPART_GRANDPAR
(16,10),(10,21),-0.000154208 # DEPENDENCYPART_GRANDPAR
(16,10),(10,24),-0.265996 # DEPENDENCYPART_GRANDPAR
(16,11),(11,1),-0.460442 # DEPENDENCYPART_GRANDPAR
(16,11),(11,3),-0.356507 # DEPENDENCYPART_GRANDPAR
(16,11),(11,4),-0.0311123 # DEPENDENCYPART_GRANDPAR
(16,11),(11,7),-0.0607016 # DEPENDENCYPART_GRANDPAR
(16,11),(11,8),-0.237867 # DEPENDENCYPART_GRANDPAR
(16,11),(11,9),-0.136595 # DEPENDENCYPART_GRANDPAR
(16,11),(11,10),-0.0553541 # DEPENDENCYPART_GRANDPAR
(16,12),(12,8),-0.225907 # DEPENDENCYPART_GRANDPAR
(16,12),(12,9),-0.124635 # DEPENDENCYPART_GRANDPAR
(16,12),(12,10),-0.166825 # DEPENDENCYPART_GRANDPAR
(16,12),(12,11),0.120768 # DEPENDENCYPART_GRANDPAR
(16,12),(12,13),0.0875012 # DEPENDENCYPART_GRANDPAR
(16,12),(12,15),0.108798 # DEPENDENCYPART_GRANDPAR
(16,12),(12,16),-0.750668 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,13),(13,7),-0.0333337 # DEPENDENCYPART_GRANDPAR
(16,13),(13,9),-0.132111 # DEPENDENCYPART_GRANDPAR
(16,13),(13,10),0.0230508 # DEPENDENCYPART_GRANDPAR
(16,13),(13,11),0.0989128 # DEPENDENCYPART_GRANDPAR
(16,13),(13,12),-0.128629 # DEPENDENCYPART_GRANDPAR
(16,13),(13,14),-0.0984695 # DEPENDENCYPART_GRANDPAR
(16,13),(13,15),0.047281 # DEPENDENCYPART_GRANDPAR
(16,13),(13,21),0.0444478 # DEPENDENCYPART_GRANDPAR
(16,14),(14,3),-0.187236 # DEPENDENCYPART_GRANDPAR
(16,14),(14,5),-0.0639573 # DEPENDENCYPART_GRANDPAR
(16,14),(14,6),0.14623 # DEPENDENCYPART_GRANDPAR
(16,14),(14,8),-0.239763 # DEPENDENCYPART_GRANDPAR
(16,14),(14,9),-0.13849 # DEPENDENCYPART_GRANDPAR
(16,14),(14,10),0.106495 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),0.101949 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),-0.0374441 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),0.458818 # DEPENDENCYPART_GRANDPAR
(16,14),(14,15),0.0271711 # DEPENDENCYPART_GRANDPAR
(16,14),(14,19),-0.336257 # DEPENDENCYPART_GRANDPAR
(16,14),(14,20),-0.312348 # DEPENDENCYPART_GRANDPAR
(16,14),(14,23),-0.326425 # DEPENDENCYPART_GRANDPAR
(16,15),(15,7),-0.0333337 # DEPENDENCYPART_GRANDPAR
(16,15),(15,8),-0.233383 # DEPENDENCYPART_GRANDPAR
