# _root_ Prens Rapunzel'e _ evlenme teklif_etmiş , Rapunzel de kabul_etmiş , yüzü _ hafifçe _ kızararak .
#goldHeads=5,5,4,5,6,9,9,7,16,0,14,13,14,15,9,0,
#predictedHeads=5,3,4,5,6,9,9,7,16,14,14,13,14,15,9,0,
(0,9),(9,2),-0.610424 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),-1.24728 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),-0.279468 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),-0.499255 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.199504 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.553064 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.350172 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.43133 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.593371 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-2.0044 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.595398 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),-2.62536 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),-0.559522 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),0.0728111 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-2.08841 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.803263 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-1.13743 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.513208 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-1.07686 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.774519 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-1.22812 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.649223 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.642903 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-2.87 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),0.088669 # DEPENDENCYPART_GRANDPAR
(0,16),(16,1),0.165584 # DEPENDENCYPART_GRANDPAR
(0,16),(16,2),-0.347566 # DEPENDENCYPART_GRANDPAR
(0,16),(16,3),-1.11978 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),-0.0613959 # DEPENDENCYPART_GRANDPAR
(0,16),(16,6),0.0239605 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),-0.290206 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),-0.160994 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),-0.15209 # DEPENDENCYPART_GRANDPAR
(0,16),(16,10),-0.231598 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),-0.556979 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),-2.30881 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),-0.551753 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-2.69023 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.511725 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.727726 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.0349688 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.941604 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.557936 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.306594 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.114449 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.0538636 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.120638 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.129431 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.503605 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.550669 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.0484509 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.681163 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.727726 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),-0.344286 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.122036 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.799217 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),-0.415548 # DEPENDENCYPART_GRANDPAR
(1,9),(9,3),-0.218886 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),-0.521185 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),-0.211399 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.236432 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.335229 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.24463 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.321511 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.542544 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),-0.156797 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),-0.550208 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),-0.122558 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),-0.669962 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),-0.56651 # DEPENDENCYPART_GRANDPAR
(1,14),(14,1),-0.941604 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,14),(14,2),-0.557936 # DEPENDENCYPART_GRANDPAR
(1,14),(14,4),-0.663572 # DEPENDENCYPART_GRANDPAR
(1,14),(14,5),-0.253293 # DEPENDENCYPART_GRANDPAR
(1,14),(14,6),-0.260889 # DEPENDENCYPART_GRANDPAR
(1,14),(14,7),-0.477616 # DEPENDENCYPART_GRANDPAR
(1,14),(14,8),-0.289275 # DEPENDENCYPART_GRANDPAR
(1,14),(14,9),-0.268275 # DEPENDENCYPART_GRANDPAR
(1,14),(14,10),-0.471831 # DEPENDENCYPART_GRANDPAR
(1,14),(14,11),-0.874532 # DEPENDENCYPART_GRANDPAR
(1,14),(14,12),-0.394306 # DEPENDENCYPART_GRANDPAR
(1,14),(14,13),-0.693452 # DEPENDENCYPART_GRANDPAR
(1,14),(14,15),-0.681163 # DEPENDENCYPART_GRANDPAR
(1,14),(14,16),-0.451262 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.309448 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.230017 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.195132 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.316193 # DEPENDENCYPART_GRANDPAR
(2,1),(1,14),-0.266639 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.437193 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.285563 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.188857 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.0716099 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.350214 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),0.419338 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.117567 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),0.0486029 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.277383 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),0.0801142 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.42275 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.177106 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.586893 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.350984 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.53541 # DEPENDENCYPART_GRANDPAR
(3,1),(1,14),-0.695528 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.0656382 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.58689 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,1),-0.31974 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.412701 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.403895 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,1),-0.335136 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.427946 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.50425 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.158975 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.224831 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.0322165 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.16027 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.437049 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.106877 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.201393 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.233342 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.271529 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.0778977 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.542174 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.170764 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.263724 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.820651 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),-0.373458 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.747477 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.0808275 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),0.160134 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),0.0341619 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.0950957 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.240447 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.403895 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,5),-0.461036 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),-0.297285 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.227868 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-0.335136 # DEPENDENCYPART_GRANDPAR
(3,9),(9,2),-0.427946 # DEPENDENCYPART_GRANDPAR
(3,9),(9,3),-0.50425 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,4),-0.158975 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),-0.502315 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),-0.295952 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),-0.17966 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),0.337018 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.106877 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.201393 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.242762 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.230821 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.271529 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),-0.075377 # DEPENDENCYPART_GRANDPAR
(3,9),(9,16),-0.542174 # DEPENDENCYPART_GRANDPAR
(3,11),(11,4),-0.115171 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),-0.461036 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),-0.297285 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),0.342943 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.425936 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.179332 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.262796 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),-0.167583 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.43649 # DEPENDENCYPART_GRANDPAR
(3,13),(13,1),-0.29885 # DEPENDENCYPART_GRANDPAR
(3,13),(13,2),-0.39181 # DEPENDENCYPART_GRANDPAR
(3,13),(13,4),-0.22693 # DEPENDENCYPART_GRANDPAR
(3,13),(13,7),-0.247615 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),-0.198746 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),-0.422273 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.365405 # DEPENDENCYPART_GRANDPAR
(3,14),(14,1),-0.0681313 # DEPENDENCYPART_GRANDPAR
(3,14),(14,2),-0.160941 # DEPENDENCYPART_GRANDPAR
(3,14),(14,4),-0.360559 # DEPENDENCYPART_GRANDPAR
(3,14),(14,5),-0.595002 # DEPENDENCYPART_GRANDPAR
(3,14),(14,6),-0.369907 # DEPENDENCYPART_GRANDPAR
(3,14),(14,7),-0.381245 # DEPENDENCYPART_GRANDPAR
(3,14),(14,8),0.233116 # DEPENDENCYPART_GRANDPAR
(3,14),(14,9),-0.559902 # DEPENDENCYPART_GRANDPAR
(3,14),(14,10),-0.251953 # DEPENDENCYPART_GRANDPAR
(3,14),(14,11),-0.555903 # DEPENDENCYPART_GRANDPAR
(3,14),(14,12),-0.520615 # DEPENDENCYPART_GRANDPAR
(3,14),(14,13),-0.338585 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),-0.184294 # DEPENDENCYPART_GRANDPAR
(3,14),(14,16),-0.444883 # DEPENDENCYPART_GRANDPAR
(3,15),(15,1),-0.29885 # DEPENDENCYPART_GRANDPAR
(3,15),(15,2),-0.39181 # DEPENDENCYPART_GRANDPAR
(3,15),(15,4),-0.22693 # DEPENDENCYPART_GRANDPAR
(3,15),(15,7),-0.247615 # DEPENDENCYPART_GRANDPAR
(3,15),(15,10),-0.198746 # DEPENDENCYPART_GRANDPAR
(3,15),(15,11),-0.422273 # DEPENDENCYPART_GRANDPAR
(3,15),(15,12),-0.365405 # DEPENDENCYPART_GRANDPAR
(3,15),(15,13),-0.331137 # DEPENDENCYPART_GRANDPAR
(3,15),(15,14),-0.43459 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),0.0384512 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),0.194128 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-0.636271 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,9),0.080585 # DEPENDENCYPART_GRANDPAR
(4,1),(1,14),-0.0153389 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.0877689 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),0.194128 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),0.170587 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),0.184906 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-0.486288 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),0.0469053 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),0.355872 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),0.0399995 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),0.111747 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.374341 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-0.201987 # DEPENDENCYPART_GRANDPAR
(4,3),(3,14),0.00358531 # DEPENDENCYPART_GRANDPAR
(4,3),(3,15),-0.268855 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.252798 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),0.239262 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),0.0497644 # DEPENDENCYPART_GRANDPAR
(5,1),(1,9),-0.2828 # DEPENDENCYPART_GRANDPAR
(5,1),(1,14),-0.176113 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.143113 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.237732 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),0.178261 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.0913121 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.198991 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-0.441748 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),0.0609482 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),0.160675 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.18254 # DEPENDENCYPART_GRANDPAR
(5,3),(3,11),-0.182177 # DEPENDENCYPART_GRANDPAR
(5,3),(3,13),-0.197634 # DEPENDENCYPART_GRANDPAR
(5,3),(3,14),-0.0863775 # DEPENDENCYPART_GRANDPAR
(5,3),(3,15),-0.14245 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),0.143113 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.124978 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),0.338453 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-0.0464951 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-0.300892 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),0.0832521 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),0.00167089 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.711475 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.179394 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.414807 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),0.261699 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.162169 # DEPENDENCYPART_GRANDPAR
(5,6),(6,14),0.280964 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),0.0470876 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.451469 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),-0.107987 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.0840882 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),0.0266739 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.499927 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,7),-0.0643655 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-0.177886 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-0.432132 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-0.014659 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.129569 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.505533 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),-0.125506 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.00674847 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.276905 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.123172 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.146127 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),-0.0314701 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),-0.242405 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),0.152849 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),-0.190743 # DEPENDENCYPART_GRANDPAR
(5,9),(9,16),-0.315987 # DEPENDENCYPART_GRANDPAR
(5,10),(10,3),0.0832521 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),0.00167089 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.711475 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),-0.164088 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),-0.176275 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),0.082472 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.452267 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.162169 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.0893967 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),0.280964 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),-0.1719 # DEPENDENCYPART_GRANDPAR
(5,11),(11,4),-0.149075 # DEPENDENCYPART_GRANDPAR
(5,11),(11,5),-0.451469 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,11),(11,6),-0.107988 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),0.323513 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),-0.19226 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),0.0693172 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),-0.0904509 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),-0.220633 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),0.12297 # DEPENDENCYPART_GRANDPAR
(5,13),(13,1),-0.171003 # DEPENDENCYPART_GRANDPAR
(5,13),(13,2),-0.425399 # DEPENDENCYPART_GRANDPAR
(5,13),(13,4),-0.122837 # DEPENDENCYPART_GRANDPAR
(5,13),(13,7),-0.0399873 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),0.0603 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),-0.382839 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),-0.158327 # DEPENDENCYPART_GRANDPAR
(5,14),(14,1),0.0966518 # DEPENDENCYPART_GRANDPAR
(5,14),(14,2),-0.157594 # DEPENDENCYPART_GRANDPAR
(5,14),(14,4),0.144968 # DEPENDENCYPART_GRANDPAR
(5,14),(14,5),-0.588453 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,14),(14,6),-0.190371 # DEPENDENCYPART_GRANDPAR
(5,14),(14,7),-0.183285 # DEPENDENCYPART_GRANDPAR
(5,14),(14,8),0.184266 # DEPENDENCYPART_GRANDPAR
(5,14),(14,9),-0.329244 # DEPENDENCYPART_GRANDPAR
(5,14),(14,10),-0.0130661 # DEPENDENCYPART_GRANDPAR
(5,14),(14,11),-0.526136 # DEPENDENCYPART_GRANDPAR
(5,14),(14,12),-0.333711 # DEPENDENCYPART_GRANDPAR
(5,14),(14,13),-0.39129 # DEPENDENCYPART_GRANDPAR
(5,14),(14,15),-0.190179 # DEPENDENCYPART_GRANDPAR
(5,14),(14,16),-0.172819 # DEPENDENCYPART_GRANDPAR
(5,15),(15,1),-0.171003 # DEPENDENCYPART_GRANDPAR
(5,15),(15,2),-0.425399 # DEPENDENCYPART_GRANDPAR
(5,15),(15,4),-0.122837 # DEPENDENCYPART_GRANDPAR
(5,15),(15,7),-0.0399873 # DEPENDENCYPART_GRANDPAR
(5,15),(15,10),0.0603 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),-0.382839 # DEPENDENCYPART_GRANDPAR
(5,15),(15,12),-0.158327 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),-0.348455 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),0.11102 # DEPENDENCYPART_GRANDPAR
(5,16),(16,1),-0.160866 # DEPENDENCYPART_GRANDPAR
(5,16),(16,2),-0.415262 # DEPENDENCYPART_GRANDPAR
(5,16),(16,3),-0.0612 # DEPENDENCYPART_GRANDPAR
(5,16),(16,5),-0.563909 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,16),(16,6),-0.19096 # DEPENDENCYPART_GRANDPAR
(5,16),(16,7),-0.111674 # DEPENDENCYPART_GRANDPAR
(5,16),(16,8),0.093583 # DEPENDENCYPART_GRANDPAR
(5,16),(16,9),-0.304701 # DEPENDENCYPART_GRANDPAR
(5,16),(16,10),-0.0136557 # DEPENDENCYPART_GRANDPAR
(5,16),(16,11),-0.454525 # DEPENDENCYPART_GRANDPAR
(5,16),(16,12),-0.43867 # DEPENDENCYPART_GRANDPAR
(5,16),(16,13),-0.380509 # DEPENDENCYPART_GRANDPAR
(5,16),(16,14),-0.290051 # DEPENDENCYPART_GRANDPAR
(5,16),(16,15),-0.32584 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),-0.137957 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),0.138322 # DEPENDENCYPART_GRANDPAR
(6,1),(1,4),0.123565 # DEPENDENCYPART_GRANDPAR
(6,1),(1,9),-0.286643 # DEPENDENCYPART_GRANDPAR
(6,1),(1,14),-0.183166 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.0824598 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),0.138322 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.377492 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.510426 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),-0.362691 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),0.0662009 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-0.503004 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.23623 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),-0.309908 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),-0.223354 # DEPENDENCYPART_GRANDPAR
(6,3),(3,13),-0.349016 # DEPENDENCYPART_GRANDPAR
(6,3),(3,14),-0.214049 # DEPENDENCYPART_GRANDPAR
(6,3),(3,15),-0.251838 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.0824598 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.208928 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),0.232726 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),0.0532788 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.0734747 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),0.166986 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),0.188047 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-0.506264 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.279928 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.218696 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.306139 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.26612 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),-0.267052 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),-0.366421 # DEPENDENCYPART_GRANDPAR
(6,5),(5,14),-0.199941 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.269243 # DEPENDENCYPART_GRANDPAR
(6,5),(5,16),-0.594063 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.221868 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),0.0496922 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.30281 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.1232 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-0.327737 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-0.453297 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),-0.238655 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),-0.191775 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),0.030184 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.270538 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.0130331 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),-0.195425 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.0957881 # DEPENDENCYPART_GRANDPAR
