# _root_ Bu , dedikodu _ _ denen haz dünyasından ırak _ yaşayan bir püriten olsun , _ gidip zaman_zaman ona içimizi_dökelim .
#goldHeads=14,0,4,5,6,8,8,9,10,11,13,13,14,15,20,17,20,20,20,21,0,
#predictedHeads=14,0,5,5,6,7,8,10,10,11,13,13,14,15,20,17,20,20,20,21,0,
(15,8),(15,11),-0.109844 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0804858 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0811041 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.0683676 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0586021 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0336369 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.000948285 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.033615 # DEPENDENCYPART_SIBL
(15,8),(15,21),0.0249933 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.0490471 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.11031 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.0306885 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.128882 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0621645 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0423426 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.0640723 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.0236755 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0182542 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.00818398 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.38043 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.200916 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.408986 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.436449 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.166193 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0309968 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0669013 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.138055 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.0812621 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0251032 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.12895 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0621269 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0426003 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0640299 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0236391 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0185118 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.00821526 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.0182491 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0121215 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0561971 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0317427 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.00207692 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0415705 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.0334553 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0638122 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0586021 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0336369 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.000948285 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.033615 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0249933 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.164415 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.00510903 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0623405 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.140826 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0654177 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0252475 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0169632 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0286604 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.0619313 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0582125 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.00359045 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.00714514 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.032302 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.0173388 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0431921 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.0107485 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0814803 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0110643 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0108336 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.19388 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.081844 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.00280372 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.0111177 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0086443 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.00662862 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.0505711 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.0995418 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.02921 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.0413306 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.226098 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0636982 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.00280372 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.0111177 # DEPENDENCYPART_SIBL
(16,8),(16,19),0.0086443 # DEPENDENCYPART_SIBL
(16,8),(16,20),0.00662862 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0505711 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.131625 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0446487 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.130313 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.107597 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0227867 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0031437 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.00423177 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0102696 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0977888 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0292827 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.111713 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.134497 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0354801 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0135623 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0372411 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0264468 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.107097 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.19388 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.081844 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.00280372 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0111177 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0086443 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.00662862 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0505711 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.13321 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0423426 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0241661 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0964671 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0154411 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0666769 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.13611 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0108171 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.011194 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0162046 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0642176 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0208482 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0298841 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0105396 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0334117 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0270811 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.00562024 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0049745 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0145903 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0238714 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0648523 # DEPENDENCYPART_SIBL
(17,7),(17,8),0.0412388 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.0412672 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.00843515 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.146693 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0147817 # DEPENDENCYPART_SIBL
(17,8),(17,13),0.0449336 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.00843515 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.155803 # DEPENDENCYPART_SIBL
(17,8),(17,19),0.0147817 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.00843515 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.146693 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.0147817 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.152574 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0155095 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0356232 # DEPENDENCYPART_SIBL
(18,6),(18,9),0.0921433 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.0934231 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.296643 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.0844183 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.157889 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.0330169 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.0161074 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.0603049 # DEPENDENCYPART_SIBL
(18,6),(18,19),-0.0105852 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.0964726 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.306476 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.0889616 # DEPENDENCYPART_SIBL
(18,9),(18,14),0.160669 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.030237 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.0133275 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.0630848 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.0105852 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.289865 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0831832 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.154953 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0359799 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0190435 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.0573696 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.00846565 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.150331 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0126233 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0303214 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0689814 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0147924 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0870796 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.189351 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.0656379 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0269906 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.103739 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0091069 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0215626 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0378191 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.102845 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.041457 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.228157 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0403221 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0151541 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.169554 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.0221608 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0365261 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.102069 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.119047 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.112354 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.214663 # DEPENDENCYPART_SIBL
(20,1),(20,5),0.0326543 # DEPENDENCYPART_SIBL
(20,1),(20,7),-0.0424983 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0425266 # DEPENDENCYPART_SIBL
(20,1),(20,9),-0.00620608 # DEPENDENCYPART_SIBL
(20,1),(20,10),0.0326543 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.00657183 # DEPENDENCYPART_SIBL
(20,1),(20,12),0.030657 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.0424983 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.0102951 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.214663 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.0326543 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0527875 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.0367045 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.0480818 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.130899 # DEPENDENCYPART_SIBL
(20,2),(20,5),-0.13294 # DEPENDENCYPART_SIBL
(20,2),(20,7),0.0214278 # DEPENDENCYPART_SIBL
(20,2),(20,8),0.0213995 # DEPENDENCYPART_SIBL
(20,2),(20,9),0.0182829 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.13294 # DEPENDENCYPART_SIBL
(20,2),(20,11),0.0106612 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.0241868 # DEPENDENCYPART_SIBL
(20,2),(20,13),0.0214278 # DEPENDENCYPART_SIBL
(20,2),(20,14),0.116029 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.241759 # DEPENDENCYPART_SIBL
(20,2),(20,16),-0.13294 # DEPENDENCYPART_SIBL
(20,2),(20,17),0.0281509 # DEPENDENCYPART_SIBL
(20,2),(20,18),0.0272216 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.0114465 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.0680033 # DEPENDENCYPART_SIBL
(20,5),(20,7),-0.553839 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.553867 # DEPENDENCYPART_SIBL
(20,5),(20,9),-0.500385 # DEPENDENCYPART_SIBL
(20,5),(20,10),-1.03137 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.500938 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.312984 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.553839 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.624806 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.444497 # DEPENDENCYPART_SIBL
(20,5),(20,16),-1.03137 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.3676 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.548045 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.27824 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.123219 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.070727 # DEPENDENCYPART_SIBL
(20,7),(20,9),-0.0271415 # DEPENDENCYPART_SIBL
(20,7),(20,10),0.0317593 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.0297542 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.0125277 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.0706418 # DEPENDENCYPART_SIBL
(20,7),(20,14),0.0574143 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.157828 # DEPENDENCYPART_SIBL
(20,7),(20,16),0.0317593 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.0249658 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.0497052 # DEPENDENCYPART_SIBL
(20,7),(20,19),0.0288725 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.071472 # DEPENDENCYPART_SIBL
(20,8),(20,9),-0.0183975 # DEPENDENCYPART_SIBL
(20,8),(20,10),0.0591863 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.0210102 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.00372754 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.054105 # DEPENDENCYPART_SIBL
(20,8),(20,14),0.0755279 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.149027 # DEPENDENCYPART_SIBL
(20,8),(20,16),0.0591863 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0161656 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.0331684 # DEPENDENCYPART_SIBL
(20,8),(20,19),0.0376727 # DEPENDENCYPART_SIBL
(20,8),(20,21),-0.071472 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.0103935 # DEPENDENCYPART_SIBL
(20,9),(20,11),0.00789396 # DEPENDENCYPART_SIBL
(20,9),(20,12),0.145818 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.0478868 # DEPENDENCYPART_SIBL
(20,9),(20,14),0.0209167 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.168615 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.0103935 # DEPENDENCYPART_SIBL
(20,9),(20,17),0.0146138 # DEPENDENCYPART_SIBL
(20,9),(20,18),-0.042093 # DEPENDENCYPART_SIBL
(20,9),(20,19),0.0070689 # DEPENDENCYPART_SIBL
(20,9),(20,21),-0.10161 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.500938 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.312984 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.553839 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.624806 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.444497 # DEPENDENCYPART_SIBL
(20,10),(20,16),-1.03137 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.3676 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.548045 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.27824 # DEPENDENCYPART_SIBL
(20,10),(20,21),-0.123219 # DEPENDENCYPART_SIBL
(20,11),(20,12),0.140334 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.047922 # DEPENDENCYPART_SIBL
(20,11),(20,14),0.0209146 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.16863 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.0103957 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.0146124 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0421282 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.00706744 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.10161 # DEPENDENCYPART_SIBL
(20,12),(20,13),-0.010491 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.170561 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.184885 # DEPENDENCYPART_SIBL
(20,12),(20,16),-0.0469401 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.142304 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.00470029 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.0815339 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.100779 # DEPENDENCYPART_SIBL
(20,13),(20,14),0.0574143 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.157828 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.0317593 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.0249658 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.0497052 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.0288725 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.071472 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.18778 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.127455 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.00803764 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.0329513 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.00774892 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.086982 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.13294 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.0281509 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.0272216 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0114465 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.0680033 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.3676 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.548045 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.27824 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.123219 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0162712 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.058933 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0641133 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.037759 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0714723 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.118893 # DEPENDENCYPART_SIBL
(21,5),(21,6),-0.352019 # DEPENDENCYPART_SIBL
(21,5),(21,9),-0.352019 # DEPENDENCYPART_SIBL
(21,5),(21,10),-1.03143 # DEPENDENCYPART_SIBL
(21,5),(21,11),-0.352332 # DEPENDENCYPART_SIBL
(21,5),(21,12),-0.274007 # DEPENDENCYPART_SIBL
(21,5),(21,13),-0.472193 # DEPENDENCYPART_SIBL
(21,5),(21,14),-0.677859 # DEPENDENCYPART_SIBL
(21,5),(21,15),-0.25053 # DEPENDENCYPART_SIBL
(21,5),(21,16),-1.03143 # DEPENDENCYPART_SIBL
(21,5),(21,17),-0.229104 # DEPENDENCYPART_SIBL
(21,5),(21,18),-0.472193 # DEPENDENCYPART_SIBL
(21,5),(21,19),-0.27699 # DEPENDENCYPART_SIBL
(21,5),(21,20),-0.696399 # DEPENDENCYPART_SIBL
(21,6),(21,9),-0.0342269 # DEPENDENCYPART_SIBL
(21,6),(21,10),-0.0993041 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.0298533 # DEPENDENCYPART_SIBL
(21,6),(21,12),0.0363152 # DEPENDENCYPART_SIBL
(21,6),(21,13),-0.102683 # DEPENDENCYPART_SIBL
(21,6),(21,14),0.013581 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.0851189 # DEPENDENCYPART_SIBL
(21,6),(21,16),-0.0993041 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.0129527 # DEPENDENCYPART_SIBL
(21,6),(21,18),-0.102683 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.0588741 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.0449217 # DEPENDENCYPART_SIBL
(21,9),(21,10),-0.0993041 # DEPENDENCYPART_SIBL
(21,9),(21,11),-0.0297185 # DEPENDENCYPART_SIBL
(21,9),(21,12),0.039842 # DEPENDENCYPART_SIBL
(21,9),(21,13),-0.101801 # DEPENDENCYPART_SIBL
(21,9),(21,14),0.013581 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.0851189 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.0993041 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.0129527 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.101801 # DEPENDENCYPART_SIBL
(21,9),(21,19),-0.0588741 # DEPENDENCYPART_SIBL
(21,9),(21,20),-0.0449217 # DEPENDENCYPART_SIBL
(21,10),(21,11),-0.352332 # DEPENDENCYPART_SIBL
(21,10),(21,12),-0.274007 # DEPENDENCYPART_SIBL
(21,10),(21,13),-0.472193 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.677859 # DEPENDENCYPART_SIBL
(21,10),(21,15),-0.25053 # DEPENDENCYPART_SIBL
(21,10),(21,16),-1.03143 # DEPENDENCYPART_SIBL
(21,10),(21,17),-0.229104 # DEPENDENCYPART_SIBL
(21,10),(21,18),-0.472193 # DEPENDENCYPART_SIBL
(21,10),(21,19),-0.27699 # DEPENDENCYPART_SIBL
(21,10),(21,20),-0.696399 # DEPENDENCYPART_SIBL
(21,11),(21,12),0.0342565 # DEPENDENCYPART_SIBL
(21,11),(21,13),-0.101869 # DEPENDENCYPART_SIBL
(21,11),(21,14),0.0135438 # DEPENDENCYPART_SIBL
(21,11),(21,15),-0.0851686 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.0993413 # DEPENDENCYPART_SIBL
(21,11),(21,17),-0.0129886 # DEPENDENCYPART_SIBL
(21,11),(21,18),-0.101869 # DEPENDENCYPART_SIBL
(21,11),(21,19),-0.05891 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.0449589 # DEPENDENCYPART_SIBL
(21,12),(21,13),0.0531242 # DEPENDENCYPART_SIBL
(21,12),(21,14),-0.00807267 # DEPENDENCYPART_SIBL
(21,12),(21,15),0.0336106 # DEPENDENCYPART_SIBL
(21,12),(21,16),-0.0266549 # DEPENDENCYPART_SIBL
(21,12),(21,17),0.00284358 # DEPENDENCYPART_SIBL
(21,12),(21,18),0.0531211 # DEPENDENCYPART_SIBL
(21,12),(21,19),0.010654 # DEPENDENCYPART_SIBL
(21,12),(21,20),-0.0281203 # DEPENDENCYPART_SIBL
(21,13),(21,14),0.0736482 # DEPENDENCYPART_SIBL
(21,13),(21,15),-0.065657 # DEPENDENCYPART_SIBL
(21,13),(21,16),-0.0512373 # DEPENDENCYPART_SIBL
(21,13),(21,17),-0.00704601 # DEPENDENCYPART_SIBL
(21,13),(21,18),-0.0165487 # DEPENDENCYPART_SIBL
(21,13),(21,19),-0.0481365 # DEPENDENCYPART_SIBL
(21,13),(21,20),0.0428143 # DEPENDENCYPART_SIBL
(21,14),(21,15),-0.186804 # DEPENDENCYPART_SIBL
(21,14),(21,16),-0.462932 # DEPENDENCYPART_SIBL
(21,14),(21,17),-0.0767747 # DEPENDENCYPART_SIBL
(21,14),(21,18),-0.229398 # DEPENDENCYPART_SIBL
(21,14),(21,19),-0.19541 # DEPENDENCYPART_SIBL
(21,14),(21,20),-0.388217 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.168714 # DEPENDENCYPART_SIBL
(21,15),(21,17),-0.0109842 # DEPENDENCYPART_SIBL
(21,15),(21,18),0.0773112 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.00865946 # DEPENDENCYPART_SIBL
(21,15),(21,20),0.025689 # DEPENDENCYPART_SIBL
(21,16),(21,17),-0.229104 # DEPENDENCYPART_SIBL
(21,16),(21,18),-0.472193 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.27699 # DEPENDENCYPART_SIBL
(21,16),(21,20),-0.696399 # DEPENDENCYPART_SIBL
(21,17),(21,18),-0.0382678 # DEPENDENCYPART_SIBL
