# _root_ Ana'nın _ orada_olmadığını _ söyledikten sonra ben , buna ne inanırmış , ne de inanmazmış gibi bir tavır takındım .
#goldHeads=2,3,4,5,6,19,15,0,15,11,18,0,15,13,16,18,18,19,20,0,
#predictedHeads=3,3,4,5,6,11,11,0,11,11,12,19,15,13,16,19,18,19,20,0,
(19,1),(19,4),0.0317593 # DEPENDENCYPART_SIBL
(19,1),(19,5),-0.0706418 # DEPENDENCYPART_SIBL
(19,1),(19,6),0.0177786 # DEPENDENCYPART_SIBL
(19,1),(19,7),-0.0216375 # DEPENDENCYPART_SIBL
(19,1),(19,8),-0.157828 # DEPENDENCYPART_SIBL
(19,1),(19,9),-0.0179066 # DEPENDENCYPART_SIBL
(19,1),(19,10),-0.0243812 # DEPENDENCYPART_SIBL
(19,1),(19,11),0.0143212 # DEPENDENCYPART_SIBL
(19,1),(19,12),-0.157828 # DEPENDENCYPART_SIBL
(19,1),(19,13),-0.0243812 # DEPENDENCYPART_SIBL
(19,1),(19,14),-0.091231 # DEPENDENCYPART_SIBL
(19,1),(19,15),0.0143212 # DEPENDENCYPART_SIBL
(19,1),(19,16),-0.00598421 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.0125277 # DEPENDENCYPART_SIBL
(19,1),(19,18),-0.0816416 # DEPENDENCYPART_SIBL
(19,1),(19,20),-0.071472 # DEPENDENCYPART_SIBL
(19,2),(19,3),-0.553839 # DEPENDENCYPART_SIBL
(19,2),(19,4),-1.03137 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.553839 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.300789 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.346991 # DEPENDENCYPART_SIBL
(19,2),(19,8),-0.444497 # DEPENDENCYPART_SIBL
(19,2),(19,9),-0.307938 # DEPENDENCYPART_SIBL
(19,2),(19,10),-0.345977 # DEPENDENCYPART_SIBL
(19,2),(19,11),-0.641515 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.444497 # DEPENDENCYPART_SIBL
(19,2),(19,13),-0.345977 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.335699 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.641515 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.332904 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.312984 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.560393 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.123219 # DEPENDENCYPART_SIBL
(19,3),(19,4),0.0317593 # DEPENDENCYPART_SIBL
(19,3),(19,5),-0.0706418 # DEPENDENCYPART_SIBL
(19,3),(19,6),0.0177786 # DEPENDENCYPART_SIBL
(19,3),(19,7),-0.0216375 # DEPENDENCYPART_SIBL
(19,3),(19,8),-0.157828 # DEPENDENCYPART_SIBL
(19,3),(19,9),-0.0179066 # DEPENDENCYPART_SIBL
(19,3),(19,10),-0.0243812 # DEPENDENCYPART_SIBL
(19,3),(19,11),0.0143212 # DEPENDENCYPART_SIBL
(19,3),(19,12),-0.157828 # DEPENDENCYPART_SIBL
(19,3),(19,13),-0.0243812 # DEPENDENCYPART_SIBL
(19,3),(19,14),-0.091231 # DEPENDENCYPART_SIBL
(19,3),(19,15),0.0143212 # DEPENDENCYPART_SIBL
(19,3),(19,16),-0.00598421 # DEPENDENCYPART_SIBL
(19,3),(19,17),-0.0125277 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.0816416 # DEPENDENCYPART_SIBL
(19,3),(19,20),-0.071472 # DEPENDENCYPART_SIBL
(19,4),(19,5),-0.553839 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.300789 # DEPENDENCYPART_SIBL
(19,4),(19,7),-0.346991 # DEPENDENCYPART_SIBL
(19,4),(19,8),-0.444497 # DEPENDENCYPART_SIBL
(19,4),(19,9),-0.307938 # DEPENDENCYPART_SIBL
(19,4),(19,10),-0.345977 # DEPENDENCYPART_SIBL
(19,4),(19,11),-0.641515 # DEPENDENCYPART_SIBL
(19,4),(19,12),-0.444497 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.345977 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.335699 # DEPENDENCYPART_SIBL
(19,4),(19,15),-0.641515 # DEPENDENCYPART_SIBL
(19,4),(19,16),-0.332904 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.312984 # DEPENDENCYPART_SIBL
(19,4),(19,18),-0.560393 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.123219 # DEPENDENCYPART_SIBL
(19,5),(19,6),0.0177786 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.0216375 # DEPENDENCYPART_SIBL
(19,5),(19,8),-0.157828 # DEPENDENCYPART_SIBL
(19,5),(19,9),-0.0179066 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.0243812 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.0143212 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.157828 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.0243812 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.091231 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.0143212 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.00598421 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.0125277 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.0816416 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.071472 # DEPENDENCYPART_SIBL
(19,6),(19,7),0.0103357 # DEPENDENCYPART_SIBL
(19,6),(19,8),-0.185453 # DEPENDENCYPART_SIBL
(19,6),(19,9),0.0180236 # DEPENDENCYPART_SIBL
(19,6),(19,10),0.100414 # DEPENDENCYPART_SIBL
(19,6),(19,11),-0.000985057 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.185453 # DEPENDENCYPART_SIBL
(19,6),(19,13),0.100414 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.0837776 # DEPENDENCYPART_SIBL
(19,6),(19,15),-0.000985057 # DEPENDENCYPART_SIBL
(19,6),(19,16),0.0352312 # DEPENDENCYPART_SIBL
(19,6),(19,17),0.0612736 # DEPENDENCYPART_SIBL
(19,6),(19,18),0.0637038 # DEPENDENCYPART_SIBL
(19,6),(19,20),-0.0604704 # DEPENDENCYPART_SIBL
(19,7),(19,8),-0.166642 # DEPENDENCYPART_SIBL
(19,7),(19,9),0.0434567 # DEPENDENCYPART_SIBL
(19,7),(19,10),0.0243553 # DEPENDENCYPART_SIBL
(19,7),(19,11),-0.010416 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.166642 # DEPENDENCYPART_SIBL
(19,7),(19,13),0.0243553 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.0585 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.010416 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.0200604 # DEPENDENCYPART_SIBL
(19,7),(19,17),0.0657691 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.0113563 # DEPENDENCYPART_SIBL
(19,7),(19,20),-0.131491 # DEPENDENCYPART_SIBL
(19,8),(19,9),0.031066 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.0218531 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.106229 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.241759 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.0218531 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.0995396 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.106229 # DEPENDENCYPART_SIBL
(19,8),(19,16),0.0350116 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.0241868 # DEPENDENCYPART_SIBL
(19,8),(19,18),0.0148734 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.0680033 # DEPENDENCYPART_SIBL
(19,9),(19,10),-0.00202407 # DEPENDENCYPART_SIBL
(19,9),(19,11),-0.010365 # DEPENDENCYPART_SIBL
(19,9),(19,12),-0.213925 # DEPENDENCYPART_SIBL
(19,9),(19,13),-0.00202407 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.0927118 # DEPENDENCYPART_SIBL
(19,9),(19,15),-0.010365 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.0466583 # DEPENDENCYPART_SIBL
(19,9),(19,17),0.0199803 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.0955357 # DEPENDENCYPART_SIBL
(19,9),(19,20),-0.11734 # DEPENDENCYPART_SIBL
(19,10),(19,11),-0.0892499 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.267602 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.112806 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.204086 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.0892499 # DEPENDENCYPART_SIBL
(19,10),(19,16),-0.0697358 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.102693 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.221233 # DEPENDENCYPART_SIBL
(19,10),(19,20),-0.0865659 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.170371 # DEPENDENCYPART_SIBL
(19,11),(19,13),0.0230475 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.0583692 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0777815 # DEPENDENCYPART_SIBL
(19,11),(19,16),-0.0161766 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.0166048 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0101042 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0907017 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.0218531 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.0995396 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.106229 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.0350116 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.0241868 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.0148734 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.0680033 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.204086 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.0892499 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.0697358 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.102693 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.221233 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0865659 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.0134091 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0485033 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.0541785 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.0414434 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.121592 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.0161766 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0166048 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0101042 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0907017 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0727751 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0215923 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0942607 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0170454 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.100779 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.071472 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.0512373 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.0512373 # DEPENDENCYPART_SIBL
(20,1),(20,6),0.074294 # DEPENDENCYPART_SIBL
(20,1),(20,7),-0.0568431 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0510176 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.0428143 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.065657 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.0510176 # DEPENDENCYPART_SIBL
(20,1),(20,14),0.0243335 # DEPENDENCYPART_SIBL
(20,1),(20,15),0.0428143 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.108314 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0479882 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.0257038 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.0428143 # DEPENDENCYPART_SIBL
(20,2),(20,4),-1.03143 # DEPENDENCYPART_SIBL
(20,2),(20,6),-0.202035 # DEPENDENCYPART_SIBL
(20,2),(20,7),-0.303266 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.245451 # DEPENDENCYPART_SIBL
(20,2),(20,11),-0.696399 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.25053 # DEPENDENCYPART_SIBL
(20,2),(20,13),-0.245451 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.0477317 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.696399 # DEPENDENCYPART_SIBL
(20,2),(20,16),-0.179221 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.274007 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.472194 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.696399 # DEPENDENCYPART_SIBL
(20,4),(20,6),-0.202035 # DEPENDENCYPART_SIBL
(20,4),(20,7),-0.303266 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.245451 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.696399 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.25053 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.245451 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0477317 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.696399 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.179221 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.274007 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.472194 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.696399 # DEPENDENCYPART_SIBL
(20,6),(20,7),-0.0477803 # DEPENDENCYPART_SIBL
(20,6),(20,10),-0.0288732 # DEPENDENCYPART_SIBL
(20,6),(20,11),-0.0117667 # DEPENDENCYPART_SIBL
(20,6),(20,12),-0.0872278 # DEPENDENCYPART_SIBL
(20,6),(20,13),-0.0288732 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.00682451 # DEPENDENCYPART_SIBL
(20,6),(20,15),-0.0117667 # DEPENDENCYPART_SIBL
(20,6),(20,16),0.039581 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.0211956 # DEPENDENCYPART_SIBL
(20,6),(20,18),0.0314101 # DEPENDENCYPART_SIBL
(20,6),(20,19),-0.0117667 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.0972381 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.0513003 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.0921732 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.0972381 # DEPENDENCYPART_SIBL
(20,7),(20,14),0.00301557 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.0513003 # DEPENDENCYPART_SIBL
(20,7),(20,16),0.00241301 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.039755 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.0729294 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.0513003 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.0641895 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.14245 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.148357 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.0786822 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.0641895 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.0327209 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.12549 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.137529 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.0641895 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.220022 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.158837 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.0155256 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.437848 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.125971 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.192983 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.252874 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.437848 # DEPENDENCYPART_SIBL
(20,12),(20,13),-0.0746355 # DEPENDENCYPART_SIBL
(20,12),(20,14),0.0248876 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.025689 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0721553 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.074076 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.07731 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.025689 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.0786822 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.0641895 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.0327209 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.12549 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.137529 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.0641895 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.0577336 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.00763988 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.180619 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.139705 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.0577336 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.125971 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.192983 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.252874 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.437848 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.0485959 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.0261421 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0124921 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.0531229 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0281203 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0476432 # DEPENDENCYPART_SIBL
(0,1),(1,2),-1.18289 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),-1.21833 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),-2.25567 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),-2.25058 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.781337 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-1.07937 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),-0.463244 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),-0.459899 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),-0.411489 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),-0.972082 # DEPENDENCYPART_GRANDPAR
(0,8),(8,18),-0.598663 # DEPENDENCYPART_GRANDPAR
(0,8),(8,19),-0.627652 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),-0.694534 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),-1.41454 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),-0.751315 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),-1.40945 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),-0.453136 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.429376 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-0.683017 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.263696 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-0.398361 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.509242 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.408697 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),-0.495243 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.917823 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.981257 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),-1.3872 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),-0.551363 # DEPENDENCYPART_GRANDPAR
(0,11),(11,19),-0.636827 # DEPENDENCYPART_GRANDPAR
(0,11),(11,20),0.0181805 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),-2.25567 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),-2.25058 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),-0.781337 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),-1.07937 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.5774 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.88648 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-1.10126 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.468187 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.972082 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-1.36824 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),-0.598663 # DEPENDENCYPART_GRANDPAR
(0,12),(12,19),-0.627652 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.538435 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-0.58884 # DEPENDENCYPART_GRANDPAR
(0,15),(15,1),-0.694534 # DEPENDENCYPART_GRANDPAR
(0,15),(15,2),-1.41454 # DEPENDENCYPART_GRANDPAR
(0,15),(15,3),-0.751315 # DEPENDENCYPART_GRANDPAR
(0,15),(15,4),-1.40945 # DEPENDENCYPART_GRANDPAR
(0,15),(15,5),-0.453136 # DEPENDENCYPART_GRANDPAR
(0,15),(15,6),-0.429376 # DEPENDENCYPART_GRANDPAR
(0,15),(15,7),-0.683017 # DEPENDENCYPART_GRANDPAR
(0,15),(15,8),-0.263696 # DEPENDENCYPART_GRANDPAR
(0,15),(15,9),-0.398361 # DEPENDENCYPART_GRANDPAR
(0,15),(15,10),-0.509242 # DEPENDENCYPART_GRANDPAR
(0,15),(15,11),-0.46309 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),-0.43243 # DEPENDENCYPART_GRANDPAR
(0,15),(15,13),-0.514186 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.924669 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),-1.3872 # DEPENDENCYPART_GRANDPAR
(0,15),(15,18),-0.551363 # DEPENDENCYPART_GRANDPAR
(0,15),(15,19),-0.636827 # DEPENDENCYPART_GRANDPAR
(0,15),(15,20),0.0181805 # DEPENDENCYPART_GRANDPAR
(0,19),(19,1),-0.694534 # DEPENDENCYPART_GRANDPAR
(0,19),(19,2),-1.41454 # DEPENDENCYPART_GRANDPAR
(0,19),(19,3),-0.751315 # DEPENDENCYPART_GRANDPAR
(0,19),(19,4),-1.40945 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),-0.453136 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),-0.429376 # DEPENDENCYPART_GRANDPAR
(0,19),(19,7),-0.683017 # DEPENDENCYPART_GRANDPAR
(0,19),(19,8),-0.263696 # DEPENDENCYPART_GRANDPAR
(0,19),(19,9),-0.398361 # DEPENDENCYPART_GRANDPAR
(0,19),(19,10),-0.509242 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.46309 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),-0.43243 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),-0.514186 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-0.924669 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),-0.975273 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),-1.48509 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-1.38884 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),-0.769313 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),0.0181805 # DEPENDENCYPART_GRANDPAR
(0,20),(20,1),-0.431677 # DEPENDENCYPART_GRANDPAR
(0,20),(20,2),-1.28704 # DEPENDENCYPART_GRANDPAR
(0,20),(20,4),-1.28195 # DEPENDENCYPART_GRANDPAR
(0,20),(20,6),-0.251212 # DEPENDENCYPART_GRANDPAR
(0,20),(20,7),-0.563804 # DEPENDENCYPART_GRANDPAR
(0,20),(20,10),-0.438528 # DEPENDENCYPART_GRANDPAR
(0,20),(20,11),-0.0252307 # DEPENDENCYPART_GRANDPAR
(0,20),(20,12),-0.208965 # DEPENDENCYPART_GRANDPAR
(0,20),(20,13),-0.443471 # DEPENDENCYPART_GRANDPAR
(0,20),(20,14),-0.73549 # DEPENDENCYPART_GRANDPAR
(0,20),(20,15),-0.537413 # DEPENDENCYPART_GRANDPAR
(0,20),(20,16),-1.36182 # DEPENDENCYPART_GRANDPAR
(0,20),(20,17),-1.14876 # DEPENDENCYPART_GRANDPAR
(0,20),(20,18),-0.506456 # DEPENDENCYPART_GRANDPAR
(0,20),(20,19),-0.192983 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.404344 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.153257 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.0577349 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.0753965 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.0978458 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.35925 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.274045 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.521391 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.546332 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.660675 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,1),-0.43941 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.47768 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.149745 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.18765 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.704146 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.338047 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.0377845 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.221239 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.120051 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.14394 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.321715 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),-0.452003 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.0966822 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.242251 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),-0.78344 # DEPENDENCYPART_GRANDPAR
(2,4),(4,16),-0.537536 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.43941 # DEPENDENCYPART_GRANDPAR
(2,5),(5,3),-0.0926553 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.205477 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.493823 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,4),-0.221621 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.0466853 # DEPENDENCYPART_GRANDPAR
