# _root_ ROMA ­ " Se il ministro dell' Interno si è deciso a lanciare l' allarme , dopo pochi mesi dal suo insediamento al Viminale , vuol dire che il problema dei pentiti è serio .
#goldHeads=0,1,4,27,6,11,6,7,11,11,4,11,12,15,13,15,13,19,17,19,22,20,22,23,24,27,0,27,30,33,30,31,28,33,34,
#predictedHeads=0,1,4,33,6,11,6,7,11,11,4,11,12,15,13,15,27,19,17,13,22,20,22,23,24,27,0,27,30,33,30,31,28,33,34,
(29,28),-1.56822 # DEPENDENCYPART_ARC
(29,30),1.28023 # DEPENDENCYPART_ARC
(29,31),0.186785 # DEPENDENCYPART_ARC
(29,32),-0.268507 # DEPENDENCYPART_ARC
(29,33),-0.446457 # DEPENDENCYPART_ARC
(29,34),-1.4943 # DEPENDENCYPART_ARC
(29,35),-0.580247 # DEPENDENCYPART_ARC
(30,1),-3.83568 # DEPENDENCYPART_ARC
(30,2),-3.24248 # DEPENDENCYPART_ARC
(30,3),-2.83086 # DEPENDENCYPART_ARC
(30,4),-1.15467 # DEPENDENCYPART_ARC
(30,5),-4.48575 # DEPENDENCYPART_ARC
(30,6),-3.57945 # DEPENDENCYPART_ARC
(30,7),-2.10285 # DEPENDENCYPART_ARC
(30,8),-3.14282 # DEPENDENCYPART_ARC
(30,9),-1.47758 # DEPENDENCYPART_ARC
(30,10),-2.48869 # DEPENDENCYPART_ARC
(30,11),-1.92936 # DEPENDENCYPART_ARC
(30,12),-1.82135 # DEPENDENCYPART_ARC
(30,13),-2.2758 # DEPENDENCYPART_ARC
(30,14),-2.62344 # DEPENDENCYPART_ARC
(30,15),-3.21153 # DEPENDENCYPART_ARC
(30,16),-3.03018 # DEPENDENCYPART_ARC
(30,17),-1.35565 # DEPENDENCYPART_ARC
(30,18),-0.636938 # DEPENDENCYPART_ARC
(30,19),-2.21899 # DEPENDENCYPART_ARC
(30,20),-1.24458 # DEPENDENCYPART_ARC
(30,21),-0.43575 # DEPENDENCYPART_ARC
(30,22),-2.46982 # DEPENDENCYPART_ARC
(30,23),-0.60038 # DEPENDENCYPART_ARC
(30,24),-1.90792 # DEPENDENCYPART_ARC
(30,25),-2.14147 # DEPENDENCYPART_ARC
(30,26),-1.3089 # DEPENDENCYPART_ARC
(30,27),-1.45724 # DEPENDENCYPART_ARC
(30,28),0.500817 # DEPENDENCYPART_ARC
(30,29),3.2264 # DEPENDENCYPART_ARC
(30,31),2.52436 # DEPENDENCYPART_ARC
(30,32),1.16657 # DEPENDENCYPART_ARC
(30,33),0.424048 # DEPENDENCYPART_ARC
(30,34),0.608022 # DEPENDENCYPART_ARC
(30,35),-0.803765 # DEPENDENCYPART_ARC
(31,1),-3.14011 # DEPENDENCYPART_ARC
(31,2),-2.05984 # DEPENDENCYPART_ARC
(31,3),-2.02628 # DEPENDENCYPART_ARC
(31,4),-1.59241 # DEPENDENCYPART_ARC
(31,5),-1.91359 # DEPENDENCYPART_ARC
(31,6),-3.08785 # DEPENDENCYPART_ARC
(31,7),-1.7069 # DEPENDENCYPART_ARC
(31,8),-2.95615 # DEPENDENCYPART_ARC
(31,9),-2.31095 # DEPENDENCYPART_ARC
(31,10),-3.3289 # DEPENDENCYPART_ARC
(31,11),-3.08072 # DEPENDENCYPART_ARC
(31,12),-1.31188 # DEPENDENCYPART_ARC
(31,13),-2.61013 # DEPENDENCYPART_ARC
(31,14),-2.07998 # DEPENDENCYPART_ARC
(31,15),-2.7521 # DEPENDENCYPART_ARC
(31,16),-2.02185 # DEPENDENCYPART_ARC
(31,17),-1.35814 # DEPENDENCYPART_ARC
(31,18),-0.761337 # DEPENDENCYPART_ARC
(31,19),-2.0481 # DEPENDENCYPART_ARC
(31,20),-1.62539 # DEPENDENCYPART_ARC
(31,21),-2.33178 # DEPENDENCYPART_ARC
(31,22),-2.66365 # DEPENDENCYPART_ARC
(31,23),-1.36873 # DEPENDENCYPART_ARC
(31,24),-2.52809 # DEPENDENCYPART_ARC
(31,25),-1.74979 # DEPENDENCYPART_ARC
(31,26),-2.81083 # DEPENDENCYPART_ARC
(31,27),-2.10449 # DEPENDENCYPART_ARC
(31,28),-0.361365 # DEPENDENCYPART_ARC
(31,29),-0.350877 # DEPENDENCYPART_ARC
(31,30),-0.779545 # DEPENDENCYPART_ARC
(31,32),4.52466 # DEPENDENCYPART_ARC
(31,33),-0.528516 # DEPENDENCYPART_ARC
(31,34),-1.28183 # DEPENDENCYPART_ARC
(31,35),-0.75976 # DEPENDENCYPART_ARC
(32,1),-4.32446 # DEPENDENCYPART_ARC
(32,2),-3.80187 # DEPENDENCYPART_ARC
(32,3),-3.39971 # DEPENDENCYPART_ARC
(32,4),-1.85792 # DEPENDENCYPART_ARC
(32,5),-5.97529 # DEPENDENCYPART_ARC
(32,6),-4.12719 # DEPENDENCYPART_ARC
(32,7),-2.9338 # DEPENDENCYPART_ARC
(32,8),-3.77186 # DEPENDENCYPART_ARC
(32,9),-2.68156 # DEPENDENCYPART_ARC
(32,10),-3.95807 # DEPENDENCYPART_ARC
(32,11),-2.96251 # DEPENDENCYPART_ARC
(32,12),-2.47378 # DEPENDENCYPART_ARC
(32,13),-2.92329 # DEPENDENCYPART_ARC
(32,14),-4.33637 # DEPENDENCYPART_ARC
(32,15),-3.74242 # DEPENDENCYPART_ARC
(32,16),-3.52198 # DEPENDENCYPART_ARC
(32,17),-2.38691 # DEPENDENCYPART_ARC
(32,18),-0.499532 # DEPENDENCYPART_ARC
(32,19),-1.87317 # DEPENDENCYPART_ARC
(32,20),-2.08798 # DEPENDENCYPART_ARC
(32,21),-2.25979 # DEPENDENCYPART_ARC
(32,22),-3.07527 # DEPENDENCYPART_ARC
(32,23),-1.50776 # DEPENDENCYPART_ARC
(32,24),-2.51706 # DEPENDENCYPART_ARC
(32,25),-2.96428 # DEPENDENCYPART_ARC
(32,26),-3.10214 # DEPENDENCYPART_ARC
(32,27),-2.4783 # DEPENDENCYPART_ARC
(32,28),-1.16199 # DEPENDENCYPART_ARC
(32,29),0.00847655 # DEPENDENCYPART_ARC
(32,30),-1.15169 # DEPENDENCYPART_ARC
(32,31),1.33137 # DEPENDENCYPART_ARC
(32,33),-0.509817 # DEPENDENCYPART_ARC
(32,34),-0.92365 # DEPENDENCYPART_ARC
(32,35),-1.41555 # DEPENDENCYPART_ARC
(33,1),-1.3419 # DEPENDENCYPART_ARC
(33,2),-3.29354 # DEPENDENCYPART_ARC
(33,3),-2.69942 # DEPENDENCYPART_ARC
(33,4),1.68018 # DEPENDENCYPART_ARC
(33,5),-2.2805 # DEPENDENCYPART_ARC
(33,6),0.436798 # DEPENDENCYPART_ARC
(33,7),-1.31701 # DEPENDENCYPART_ARC
(33,8),-0.906518 # DEPENDENCYPART_ARC
(33,9),-1.96701 # DEPENDENCYPART_ARC
(33,10),-2.92156 # DEPENDENCYPART_ARC
(33,11),-2.0542 # DEPENDENCYPART_ARC
(33,12),-0.160277 # DEPENDENCYPART_ARC
(33,13),-1.71837 # DEPENDENCYPART_ARC
(33,14),-1.3163 # DEPENDENCYPART_ARC
(33,15),0.374393 # DEPENDENCYPART_ARC
(33,16),-2.59515 # DEPENDENCYPART_ARC
(33,17),1.36775 # DEPENDENCYPART_ARC
(33,18),-1.12328 # DEPENDENCYPART_ARC
(33,19),-0.388967 # DEPENDENCYPART_ARC
(33,20),-0.83418 # DEPENDENCYPART_ARC
(33,21),-0.751338 # DEPENDENCYPART_ARC
(33,22),-0.0307182 # DEPENDENCYPART_ARC
(33,23),0.231562 # DEPENDENCYPART_ARC
(33,24),-0.0892492 # DEPENDENCYPART_ARC
(33,25),-2.16913 # DEPENDENCYPART_ARC
(33,26),-1.14954 # DEPENDENCYPART_ARC
(33,27),-1.14583 # DEPENDENCYPART_ARC
(33,28),0.517292 # DEPENDENCYPART_ARC
(33,29),-0.953283 # DEPENDENCYPART_ARC
(33,30),2.14867 # DEPENDENCYPART_ARC
(33,31),0.280726 # DEPENDENCYPART_ARC
(33,32),0.695031 # DEPENDENCYPART_ARC
(33,34),2.65675 # DEPENDENCYPART_ARC
(33,35),0.487417 # DEPENDENCYPART_ARC
(34,1),-2.53138 # DEPENDENCYPART_ARC
(34,2),-1.62908 # DEPENDENCYPART_ARC
(34,3),-1.212 # DEPENDENCYPART_ARC
(34,4),-1.68296 # DEPENDENCYPART_ARC
(34,5),-1.04662 # DEPENDENCYPART_ARC
(34,6),-2.30419 # DEPENDENCYPART_ARC
(34,7),-1.79212 # DEPENDENCYPART_ARC
(34,8),-2.15288 # DEPENDENCYPART_ARC
(34,9),-0.183536 # DEPENDENCYPART_ARC
(34,10),-1.45519 # DEPENDENCYPART_ARC
(34,11),-2.62129 # DEPENDENCYPART_ARC
(34,12),-1.16738 # DEPENDENCYPART_ARC
(34,13),-1.58588 # DEPENDENCYPART_ARC
(34,14),-0.549179 # DEPENDENCYPART_ARC
(34,15),-1.96892 # DEPENDENCYPART_ARC
(34,16),-1.57467 # DEPENDENCYPART_ARC
(34,17),-0.962884 # DEPENDENCYPART_ARC
(34,18),-0.855126 # DEPENDENCYPART_ARC
(34,19),-1.98527 # DEPENDENCYPART_ARC
(34,20),-1.33299 # DEPENDENCYPART_ARC
(34,21),-1.33644 # DEPENDENCYPART_ARC
(34,22),-1.7079 # DEPENDENCYPART_ARC
(34,23),-1.20241 # DEPENDENCYPART_ARC
(34,24),-1.58244 # DEPENDENCYPART_ARC
(34,25),-1.39071 # DEPENDENCYPART_ARC
(34,26),-1.13726 # DEPENDENCYPART_ARC
(34,27),-1.17014 # DEPENDENCYPART_ARC
(34,28),-0.334675 # DEPENDENCYPART_ARC
(34,29),-0.298551 # DEPENDENCYPART_ARC
(34,30),-0.950464 # DEPENDENCYPART_ARC
(34,31),0.0882352 # DEPENDENCYPART_ARC
(34,32),-0.25901 # DEPENDENCYPART_ARC
(34,33),1.2858 # DEPENDENCYPART_ARC
(34,35),2.42685 # DEPENDENCYPART_ARC
(35,1),-2.86789 # DEPENDENCYPART_ARC
(35,2),-2.49107 # DEPENDENCYPART_ARC
(35,3),-2.58217 # DEPENDENCYPART_ARC
(35,4),-2.40308 # DEPENDENCYPART_ARC
(35,5),-2.24323 # DEPENDENCYPART_ARC
(35,6),-2.76187 # DEPENDENCYPART_ARC
(35,7),-2.26444 # DEPENDENCYPART_ARC
(35,8),-2.76808 # DEPENDENCYPART_ARC
(35,9),-2.39546 # DEPENDENCYPART_ARC
(35,10),-2.99838 # DEPENDENCYPART_ARC
(35,11),-3.00319 # DEPENDENCYPART_ARC
(35,12),-2.32585 # DEPENDENCYPART_ARC
(35,13),-3.0103 # DEPENDENCYPART_ARC
(35,14),-2.2114 # DEPENDENCYPART_ARC
(35,15),-2.69189 # DEPENDENCYPART_ARC
(35,16),-2.26528 # DEPENDENCYPART_ARC
(35,17),-2.15333 # DEPENDENCYPART_ARC
(35,18),-2.23931 # DEPENDENCYPART_ARC
(35,19),-2.64477 # DEPENDENCYPART_ARC
(35,20),-2.15903 # DEPENDENCYPART_ARC
(35,21),-2.6333 # DEPENDENCYPART_ARC
(35,22),-2.52229 # DEPENDENCYPART_ARC
(35,23),-2.05063 # DEPENDENCYPART_ARC
(35,24),-2.6399 # DEPENDENCYPART_ARC
(35,25),-2.20888 # DEPENDENCYPART_ARC
(35,26),-2.72711 # DEPENDENCYPART_ARC
(35,27),-2.749 # DEPENDENCYPART_ARC
(35,28),-1.84309 # DEPENDENCYPART_ARC
(35,29),-1.7607 # DEPENDENCYPART_ARC
(35,30),-2.15804 # DEPENDENCYPART_ARC
(35,31),-1.50554 # DEPENDENCYPART_ARC
(35,32),-1.69296 # DEPENDENCYPART_ARC
(35,33),-1.40918 # DEPENDENCYPART_ARC
(35,34),-0.400296 # DEPENDENCYPART_ARC
