# _root_ La Sidoti non sembra aver paura : " Mi auguro che la gara sia subito veloce , seguirò il treno giusto , anche_se ho un po' paura del gioco di squadra delle cinesi .
#goldHeads=2,4,4,0,4,5,6,9,10,0,10,13,14,11,16,14,16,10,20,18,20,21,18,23,27,27,24,27,28,29,30,29,32,33,
#predictedHeads=2,4,4,0,4,5,6,9,10,4,10,13,14,11,16,14,16,11,20,18,20,21,18,23,27,27,24,27,28,29,30,31,32,33,
(30,25),-1.38351 # DEPENDENCYPART_ARC
(30,26),-1.00921 # DEPENDENCYPART_ARC
(30,27),-1.27832 # DEPENDENCYPART_ARC
(30,28),-0.399269 # DEPENDENCYPART_ARC
(30,29),-0.194379 # DEPENDENCYPART_ARC
(30,31),3.73286 # DEPENDENCYPART_ARC
(30,32),-0.519235 # DEPENDENCYPART_ARC
(30,33),0.989579 # DEPENDENCYPART_ARC
(30,34),-0.929863 # DEPENDENCYPART_ARC
(31,1),-5.44274 # DEPENDENCYPART_ARC
(31,2),-3.92605 # DEPENDENCYPART_ARC
(31,3),-3.23644 # DEPENDENCYPART_ARC
(31,4),-3.1956 # DEPENDENCYPART_ARC
(31,5),-3.62441 # DEPENDENCYPART_ARC
(31,6),-4.27082 # DEPENDENCYPART_ARC
(31,7),-3.87731 # DEPENDENCYPART_ARC
(31,8),-3.27584 # DEPENDENCYPART_ARC
(31,9),-2.38665 # DEPENDENCYPART_ARC
(31,10),-2.96403 # DEPENDENCYPART_ARC
(31,11),-2.50643 # DEPENDENCYPART_ARC
(31,12),-3.56686 # DEPENDENCYPART_ARC
(31,13),-3.74344 # DEPENDENCYPART_ARC
(31,14),-2.74316 # DEPENDENCYPART_ARC
(31,15),-2.34239 # DEPENDENCYPART_ARC
(31,16),-2.55647 # DEPENDENCYPART_ARC
(31,17),-3.75227 # DEPENDENCYPART_ARC
(31,18),-2.58279 # DEPENDENCYPART_ARC
(31,19),-3.02834 # DEPENDENCYPART_ARC
(31,20),-3.89028 # DEPENDENCYPART_ARC
(31,21),-2.63746 # DEPENDENCYPART_ARC
(31,22),-3.36728 # DEPENDENCYPART_ARC
(31,23),-1.9101 # DEPENDENCYPART_ARC
(31,24),-2.39626 # DEPENDENCYPART_ARC
(31,25),-1.13592 # DEPENDENCYPART_ARC
(31,26),-1.33229 # DEPENDENCYPART_ARC
(31,27),-2.56863 # DEPENDENCYPART_ARC
(31,28),-0.634554 # DEPENDENCYPART_ARC
(31,29),-1.66258 # DEPENDENCYPART_ARC
(31,30),0.666045 # DEPENDENCYPART_ARC
(31,32),2.04796 # DEPENDENCYPART_ARC
(31,33),0.473969 # DEPENDENCYPART_ARC
(31,34),-0.231315 # DEPENDENCYPART_ARC
(32,1),-2.39883 # DEPENDENCYPART_ARC
(32,2),-3.20068 # DEPENDENCYPART_ARC
(32,3),-1.77815 # DEPENDENCYPART_ARC
(32,4),-3.24634 # DEPENDENCYPART_ARC
(32,5),-2.92058 # DEPENDENCYPART_ARC
(32,6),-2.88994 # DEPENDENCYPART_ARC
(32,7),-2.19047 # DEPENDENCYPART_ARC
(32,8),-2.04368 # DEPENDENCYPART_ARC
(32,9),-2.6166 # DEPENDENCYPART_ARC
(32,10),-3.24797 # DEPENDENCYPART_ARC
(32,11),-1.70125 # DEPENDENCYPART_ARC
(32,12),-2.24962 # DEPENDENCYPART_ARC
(32,13),-2.76789 # DEPENDENCYPART_ARC
(32,14),-3.09476 # DEPENDENCYPART_ARC
(32,15),-1.74997 # DEPENDENCYPART_ARC
(32,16),-2.58561 # DEPENDENCYPART_ARC
(32,17),-2.11739 # DEPENDENCYPART_ARC
(32,18),-3.11635 # DEPENDENCYPART_ARC
(32,19),-2.14036 # DEPENDENCYPART_ARC
(32,20),-2.8041 # DEPENDENCYPART_ARC
(32,21),-2.66933 # DEPENDENCYPART_ARC
(32,22),-1.99626 # DEPENDENCYPART_ARC
(32,23),-1.31971 # DEPENDENCYPART_ARC
(32,24),-2.85941 # DEPENDENCYPART_ARC
(32,25),-1.91286 # DEPENDENCYPART_ARC
(32,26),-1.20495 # DEPENDENCYPART_ARC
(32,27),-2.2358 # DEPENDENCYPART_ARC
(32,28),-0.944908 # DEPENDENCYPART_ARC
(32,29),-1.91891 # DEPENDENCYPART_ARC
(32,30),-0.282394 # DEPENDENCYPART_ARC
(32,31),-0.68098 # DEPENDENCYPART_ARC
(32,33),4.47506 # DEPENDENCYPART_ARC
(32,34),0.01546 # DEPENDENCYPART_ARC
(33,1),-6.75987 # DEPENDENCYPART_ARC
(33,2),-2.71972 # DEPENDENCYPART_ARC
(33,3),-3.24679 # DEPENDENCYPART_ARC
(33,4),-4.74797 # DEPENDENCYPART_ARC
(33,5),-3.81319 # DEPENDENCYPART_ARC
(33,6),-4.56444 # DEPENDENCYPART_ARC
(33,7),-3.80717 # DEPENDENCYPART_ARC
(33,8),-3.26496 # DEPENDENCYPART_ARC
(33,9),-3.57292 # DEPENDENCYPART_ARC
(33,10),-4.24896 # DEPENDENCYPART_ARC
(33,11),-2.73141 # DEPENDENCYPART_ARC
(33,12),-5.04942 # DEPENDENCYPART_ARC
(33,13),-3.88168 # DEPENDENCYPART_ARC
(33,14),-4.10994 # DEPENDENCYPART_ARC
(33,15),-2.35724 # DEPENDENCYPART_ARC
(33,16),-3.62175 # DEPENDENCYPART_ARC
(33,17),-3.60896 # DEPENDENCYPART_ARC
(33,18),-3.75664 # DEPENDENCYPART_ARC
(33,19),-3.55059 # DEPENDENCYPART_ARC
(33,20),-3.47487 # DEPENDENCYPART_ARC
(33,21),-3.475 # DEPENDENCYPART_ARC
(33,22),-3.37586 # DEPENDENCYPART_ARC
(33,23),-2.05945 # DEPENDENCYPART_ARC
(33,24),-3.75071 # DEPENDENCYPART_ARC
(33,25),-1.51165 # DEPENDENCYPART_ARC
(33,26),-1.66023 # DEPENDENCYPART_ARC
(33,27),-3.09937 # DEPENDENCYPART_ARC
(33,28),-1.5711 # DEPENDENCYPART_ARC
(33,29),-2.01022 # DEPENDENCYPART_ARC
(33,30),-0.723594 # DEPENDENCYPART_ARC
(33,31),-1.21294 # DEPENDENCYPART_ARC
(33,32),0.454995 # DEPENDENCYPART_ARC
(33,34),2.6355 # DEPENDENCYPART_ARC
(34,1),-2.54107 # DEPENDENCYPART_ARC
(34,2),-3.06987 # DEPENDENCYPART_ARC
(34,3),-2.83441 # DEPENDENCYPART_ARC
(34,4),-3.19191 # DEPENDENCYPART_ARC
(34,5),-3.22651 # DEPENDENCYPART_ARC
(34,6),-3.0512 # DEPENDENCYPART_ARC
(34,7),-2.62968 # DEPENDENCYPART_ARC
(34,8),-2.69307 # DEPENDENCYPART_ARC
(34,9),-2.679 # DEPENDENCYPART_ARC
(34,10),-3.16549 # DEPENDENCYPART_ARC
(34,11),-2.51257 # DEPENDENCYPART_ARC
(34,12),-2.46903 # DEPENDENCYPART_ARC
(34,13),-2.98443 # DEPENDENCYPART_ARC
(34,14),-3.04479 # DEPENDENCYPART_ARC
(34,15),-2.51918 # DEPENDENCYPART_ARC
(34,16),-2.71059 # DEPENDENCYPART_ARC
(34,17),-2.44081 # DEPENDENCYPART_ARC
(34,18),-3.0577 # DEPENDENCYPART_ARC
(34,19),-2.19945 # DEPENDENCYPART_ARC
(34,20),-2.84409 # DEPENDENCYPART_ARC
(34,21),-2.60405 # DEPENDENCYPART_ARC
(34,22),-2.36663 # DEPENDENCYPART_ARC
(34,23),-2.24046 # DEPENDENCYPART_ARC
(34,24),-2.89734 # DEPENDENCYPART_ARC
(34,25),-2.03036 # DEPENDENCYPART_ARC
(34,26),-2.28826 # DEPENDENCYPART_ARC
(34,27),-2.4351 # DEPENDENCYPART_ARC
(34,28),-1.8447 # DEPENDENCYPART_ARC
(34,29),-2.29345 # DEPENDENCYPART_ARC
(34,30),-1.59685 # DEPENDENCYPART_ARC
(34,31),-1.83997 # DEPENDENCYPART_ARC
(34,32),-1.09975 # DEPENDENCYPART_ARC
(34,33),-0.818931 # DEPENDENCYPART_ARC
