# _root_ Come in tutte le produzioni artigianali la fornitura avviene su ordinazione , attraverso distributori forniti di campionario , come la Tirone Edilizia di Milano che conta su un numero infinito di proposte .
#goldHeads=9,8,5,5,2,5,8,9,0,9,10,11,9,13,14,15,16,17,14,21,19,21,21,23,26,21,26,29,27,29,29,31,32,
#predictedHeads=2,9,5,5,2,5,8,9,0,9,10,11,9,13,14,15,16,17,15,21,19,21,21,23,26,21,26,29,27,29,29,31,32,
(31,23),-1.44975 # DEPENDENCYPART_ARC
(31,24),-1.76296 # DEPENDENCYPART_ARC
(31,25),-1.56527 # DEPENDENCYPART_ARC
(31,26),-2.01058 # DEPENDENCYPART_ARC
(31,27),-0.889071 # DEPENDENCYPART_ARC
(31,28),-0.794028 # DEPENDENCYPART_ARC
(31,29),-0.855426 # DEPENDENCYPART_ARC
(31,30),-0.0976302 # DEPENDENCYPART_ARC
(31,32),4.35326 # DEPENDENCYPART_ARC
(31,33),0.184651 # DEPENDENCYPART_ARC
(32,1),-3.73581 # DEPENDENCYPART_ARC
(32,2),-4.07884 # DEPENDENCYPART_ARC
(32,3),-1.52481 # DEPENDENCYPART_ARC
(32,4),-5.79809 # DEPENDENCYPART_ARC
(32,5),-3.31677 # DEPENDENCYPART_ARC
(32,6),-3.87366 # DEPENDENCYPART_ARC
(32,7),-6.57196 # DEPENDENCYPART_ARC
(32,8),-4.43673 # DEPENDENCYPART_ARC
(32,9),-3.939 # DEPENDENCYPART_ARC
(32,10),-2.76575 # DEPENDENCYPART_ARC
(32,11),-4.05132 # DEPENDENCYPART_ARC
(32,12),-3.84989 # DEPENDENCYPART_ARC
(32,13),-2.57268 # DEPENDENCYPART_ARC
(32,14),-2.50571 # DEPENDENCYPART_ARC
(32,15),-1.90493 # DEPENDENCYPART_ARC
(32,16),-2.98126 # DEPENDENCYPART_ARC
(32,17),-3.88342 # DEPENDENCYPART_ARC
(32,18),-3.70796 # DEPENDENCYPART_ARC
(32,19),-2.28165 # DEPENDENCYPART_ARC
(32,20),-3.58161 # DEPENDENCYPART_ARC
(32,21),-2.63428 # DEPENDENCYPART_ARC
(32,22),-3.01354 # DEPENDENCYPART_ARC
(32,23),-2.17723 # DEPENDENCYPART_ARC
(32,24),-2.24978 # DEPENDENCYPART_ARC
(32,25),-2.02138 # DEPENDENCYPART_ARC
(32,26),-3.36756 # DEPENDENCYPART_ARC
(32,27),-1.08915 # DEPENDENCYPART_ARC
(32,28),-1.03314 # DEPENDENCYPART_ARC
(32,29),-2.1818 # DEPENDENCYPART_ARC
(32,30),-1.13809 # DEPENDENCYPART_ARC
(32,31),0.59958 # DEPENDENCYPART_ARC
(32,33),2.7435 # DEPENDENCYPART_ARC
(33,1),-2.84949 # DEPENDENCYPART_ARC
(33,2),-2.55911 # DEPENDENCYPART_ARC
(33,3),-2.57419 # DEPENDENCYPART_ARC
(33,4),-2.47515 # DEPENDENCYPART_ARC
(33,5),-3.01271 # DEPENDENCYPART_ARC
(33,6),-2.88728 # DEPENDENCYPART_ARC
(33,7),-2.43755 # DEPENDENCYPART_ARC
(33,8),-3.03601 # DEPENDENCYPART_ARC
(33,9),-3.09119 # DEPENDENCYPART_ARC
(33,10),-2.42911 # DEPENDENCYPART_ARC
(33,11),-2.97163 # DEPENDENCYPART_ARC
(33,12),-2.51929 # DEPENDENCYPART_ARC
(33,13),-2.2734 # DEPENDENCYPART_ARC
(33,14),-2.73106 # DEPENDENCYPART_ARC
(33,15),-3.06317 # DEPENDENCYPART_ARC
(33,16),-2.26922 # DEPENDENCYPART_ARC
(33,17),-2.86037 # DEPENDENCYPART_ARC
(33,18),-2.45988 # DEPENDENCYPART_ARC
(33,19),-2.31246 # DEPENDENCYPART_ARC
(33,20),-2.21038 # DEPENDENCYPART_ARC
(33,21),-2.71967 # DEPENDENCYPART_ARC
(33,22),-2.7619 # DEPENDENCYPART_ARC
(33,23),-2.1105 # DEPENDENCYPART_ARC
(33,24),-2.62213 # DEPENDENCYPART_ARC
(33,25),-2.28996 # DEPENDENCYPART_ARC
(33,26),-2.76523 # DEPENDENCYPART_ARC
(33,27),-1.85285 # DEPENDENCYPART_ARC
(33,28),-1.8084 # DEPENDENCYPART_ARC
(33,29),-2.20705 # DEPENDENCYPART_ARC
(33,30),-1.80109 # DEPENDENCYPART_ARC
(33,31),-1.10789 # DEPENDENCYPART_ARC
(33,32),-0.827077 # DEPENDENCYPART_ARC
