# _root_ Piccolo mondo antico quello della marcia , un clan di fatica che sta nell' ombra , costretto dalla popolarità di una disciplina che è buona per le medaglie ma non per l' audience .
#goldHeads=2,0,2,2,4,5,6,9,2,9,10,13,11,13,14,15,9,17,18,19,22,20,24,22,24,24,28,26,28,31,24,33,31,33,
#predictedHeads=2,0,2,2,4,5,6,9,4,9,10,13,11,13,14,15,9,17,18,19,22,20,24,22,24,25,28,26,24,31,26,33,31,33,
(30,26),-1.40347 # DEPENDENCYPART_ARC
(30,27),-1.06484 # DEPENDENCYPART_ARC
(30,28),-1.86465 # DEPENDENCYPART_ARC
(30,29),0.0805936 # DEPENDENCYPART_ARC
(30,31),-0.0988777 # DEPENDENCYPART_ARC
(30,32),-0.612989 # DEPENDENCYPART_ARC
(30,33),-0.628856 # DEPENDENCYPART_ARC
(30,34),-0.814188 # DEPENDENCYPART_ARC
(31,1),-2.12141 # DEPENDENCYPART_ARC
(31,2),-2.31012 # DEPENDENCYPART_ARC
(31,3),-2.07717 # DEPENDENCYPART_ARC
(31,4),-1.83309 # DEPENDENCYPART_ARC
(31,5),-1.28939 # DEPENDENCYPART_ARC
(31,6),-2.25705 # DEPENDENCYPART_ARC
(31,7),-2.04621 # DEPENDENCYPART_ARC
(31,8),-1.76233 # DEPENDENCYPART_ARC
(31,9),-2.22351 # DEPENDENCYPART_ARC
(31,10),-1.37034 # DEPENDENCYPART_ARC
(31,11),-2.04309 # DEPENDENCYPART_ARC
(31,12),-1.62236 # DEPENDENCYPART_ARC
(31,13),-2.1702 # DEPENDENCYPART_ARC
(31,14),-1.181 # DEPENDENCYPART_ARC
(31,15),-1.92095 # DEPENDENCYPART_ARC
(31,16),-1.90178 # DEPENDENCYPART_ARC
(31,17),-2.21543 # DEPENDENCYPART_ARC
(31,18),-1.09019 # DEPENDENCYPART_ARC
(31,19),-1.79304 # DEPENDENCYPART_ARC
(31,20),-1.21647 # DEPENDENCYPART_ARC
(31,21),-1.44924 # DEPENDENCYPART_ARC
(31,22),-1.6901 # DEPENDENCYPART_ARC
(31,23),-1.39844 # DEPENDENCYPART_ARC
(31,24),-1.8436 # DEPENDENCYPART_ARC
(31,25),-1.62771 # DEPENDENCYPART_ARC
(31,26),-0.608529 # DEPENDENCYPART_ARC
(31,27),-0.893887 # DEPENDENCYPART_ARC
(31,28),-0.855504 # DEPENDENCYPART_ARC
(31,29),0.0376833 # DEPENDENCYPART_ARC
(31,30),1.6218 # DEPENDENCYPART_ARC
(31,32),0.982806 # DEPENDENCYPART_ARC
(31,33),3.43449 # DEPENDENCYPART_ARC
(31,34),0.202742 # DEPENDENCYPART_ARC
(32,1),-3.51567 # DEPENDENCYPART_ARC
(32,2),-3.93554 # DEPENDENCYPART_ARC
(32,3),-3.43041 # DEPENDENCYPART_ARC
(32,4),-3.47753 # DEPENDENCYPART_ARC
(32,5),-3.99795 # DEPENDENCYPART_ARC
(32,6),-3.94132 # DEPENDENCYPART_ARC
(32,7),-2.94047 # DEPENDENCYPART_ARC
(32,8),-2.80355 # DEPENDENCYPART_ARC
(32,9),-3.9246 # DEPENDENCYPART_ARC
(32,10),-3.4936 # DEPENDENCYPART_ARC
(32,11),-3.95878 # DEPENDENCYPART_ARC
(32,12),-3.23138 # DEPENDENCYPART_ARC
(32,13),-4.45143 # DEPENDENCYPART_ARC
(32,14),-3.60505 # DEPENDENCYPART_ARC
(32,15),-3.76304 # DEPENDENCYPART_ARC
(32,16),-2.87273 # DEPENDENCYPART_ARC
(32,17),-4.659 # DEPENDENCYPART_ARC
(32,18),-3.58328 # DEPENDENCYPART_ARC
(32,19),-3.49729 # DEPENDENCYPART_ARC
(32,20),-2.98287 # DEPENDENCYPART_ARC
(32,21),-2.64256 # DEPENDENCYPART_ARC
(32,22),-3.6438 # DEPENDENCYPART_ARC
(32,23),-2.97713 # DEPENDENCYPART_ARC
(32,24),-4.29908 # DEPENDENCYPART_ARC
(32,25),-2.82614 # DEPENDENCYPART_ARC
(32,26),-2.56272 # DEPENDENCYPART_ARC
(32,27),-2.42201 # DEPENDENCYPART_ARC
(32,28),-3.36775 # DEPENDENCYPART_ARC
(32,29),-2.24853 # DEPENDENCYPART_ARC
(32,30),-1.89413 # DEPENDENCYPART_ARC
(32,31),-0.796459 # DEPENDENCYPART_ARC
(32,33),1.0738 # DEPENDENCYPART_ARC
(32,34),-0.311037 # DEPENDENCYPART_ARC
(33,1),-2.79856 # DEPENDENCYPART_ARC
(33,2),-3.86017 # DEPENDENCYPART_ARC
(33,3),-3.50027 # DEPENDENCYPART_ARC
(33,4),-1.85732 # DEPENDENCYPART_ARC
(33,5),-1.66672 # DEPENDENCYPART_ARC
(33,6),-4.05245 # DEPENDENCYPART_ARC
(33,7),-3.73592 # DEPENDENCYPART_ARC
(33,8),-4.1939 # DEPENDENCYPART_ARC
(33,9),-3.31776 # DEPENDENCYPART_ARC
(33,10),-2.62962 # DEPENDENCYPART_ARC
(33,11),-3.38795 # DEPENDENCYPART_ARC
(33,12),-2.18724 # DEPENDENCYPART_ARC
(33,13),-2.38903 # DEPENDENCYPART_ARC
(33,14),-1.8875 # DEPENDENCYPART_ARC
(33,15),-3.2918 # DEPENDENCYPART_ARC
(33,16),-3.1705 # DEPENDENCYPART_ARC
(33,17),-1.21256 # DEPENDENCYPART_ARC
(33,18),-1.26382 # DEPENDENCYPART_ARC
(33,19),-2.37965 # DEPENDENCYPART_ARC
(33,20),-1.54577 # DEPENDENCYPART_ARC
(33,21),-1.98938 # DEPENDENCYPART_ARC
(33,22),-3.02995 # DEPENDENCYPART_ARC
(33,23),-1.48769 # DEPENDENCYPART_ARC
(33,24),-2.20699 # DEPENDENCYPART_ARC
(33,25),-1.44438 # DEPENDENCYPART_ARC
(33,26),-0.478935 # DEPENDENCYPART_ARC
(33,27),-0.69604 # DEPENDENCYPART_ARC
(33,28),-1.87575 # DEPENDENCYPART_ARC
(33,29),-1.1515 # DEPENDENCYPART_ARC
(33,30),0.142658 # DEPENDENCYPART_ARC
(33,31),0.521439 # DEPENDENCYPART_ARC
(33,32),3.07527 # DEPENDENCYPART_ARC
(33,34),2.61813 # DEPENDENCYPART_ARC
(34,1),-2.95943 # DEPENDENCYPART_ARC
(34,2),-3.08363 # DEPENDENCYPART_ARC
(34,3),-2.95048 # DEPENDENCYPART_ARC
(34,4),-2.68311 # DEPENDENCYPART_ARC
(34,5),-2.48229 # DEPENDENCYPART_ARC
(34,6),-3.04956 # DEPENDENCYPART_ARC
(34,7),-2.63446 # DEPENDENCYPART_ARC
(34,8),-2.48867 # DEPENDENCYPART_ARC
(34,9),-3.03487 # DEPENDENCYPART_ARC
(34,10),-2.44244 # DEPENDENCYPART_ARC
(34,11),-3.01597 # DEPENDENCYPART_ARC
(34,12),-2.64818 # DEPENDENCYPART_ARC
(34,13),-3.11592 # DEPENDENCYPART_ARC
(34,14),-2.27329 # DEPENDENCYPART_ARC
(34,15),-2.78755 # DEPENDENCYPART_ARC
(34,16),-2.43999 # DEPENDENCYPART_ARC
(34,17),-3.05131 # DEPENDENCYPART_ARC
(34,18),-2.28354 # DEPENDENCYPART_ARC
(34,19),-2.80832 # DEPENDENCYPART_ARC
(34,20),-2.31236 # DEPENDENCYPART_ARC
(34,21),-2.17286 # DEPENDENCYPART_ARC
(34,22),-2.71957 # DEPENDENCYPART_ARC
(34,23),-2.44952 # DEPENDENCYPART_ARC
(34,24),-2.91242 # DEPENDENCYPART_ARC
(34,25),-2.48633 # DEPENDENCYPART_ARC
(34,26),-1.96814 # DEPENDENCYPART_ARC
(34,27),-1.94363 # DEPENDENCYPART_ARC
(34,28),-2.44993 # DEPENDENCYPART_ARC
(34,29),-1.96222 # DEPENDENCYPART_ARC
(34,30),-1.91719 # DEPENDENCYPART_ARC
(34,31),-1.2656 # DEPENDENCYPART_ARC
(34,32),-0.854337 # DEPENDENCYPART_ARC
(34,33),-0.861767 # DEPENDENCYPART_ARC
