# _root_ Una pattuglia del commissariato diretto da Luigi De Maio si è recata sul posto , poco dopo la celebrazione , allentando per qualche minuto la morsa dei controlli sui giovani in uscita dalle discoteche .
#goldHeads=2,12,2,3,4,5,8,6,8,12,12,0,12,13,14,17,12,19,17,19,12,21,24,22,26,21,26,27,28,29,30,31,32,33,34,
#predictedHeads=2,12,2,3,4,5,8,6,8,12,12,0,12,13,14,17,12,19,17,19,12,21,24,22,26,21,26,27,28,29,30,31,32,33,34,
(29,28),-0.0246726 # DEPENDENCYPART_ARC
(29,30),3.97776 # DEPENDENCYPART_ARC
(29,31),-0.806122 # DEPENDENCYPART_ARC
(29,32),-0.65234 # DEPENDENCYPART_ARC
(29,33),-0.153434 # DEPENDENCYPART_ARC
(29,34),-0.386014 # DEPENDENCYPART_ARC
(29,35),-0.959789 # DEPENDENCYPART_ARC
(30,1),-6.62372 # DEPENDENCYPART_ARC
(30,2),-4.79533 # DEPENDENCYPART_ARC
(30,3),-3.1397 # DEPENDENCYPART_ARC
(30,4),-4.15049 # DEPENDENCYPART_ARC
(30,5),-3.08509 # DEPENDENCYPART_ARC
(30,6),-3.03972 # DEPENDENCYPART_ARC
(30,7),-2.26466 # DEPENDENCYPART_ARC
(30,8),-2.97894 # DEPENDENCYPART_ARC
(30,9),-2.73753 # DEPENDENCYPART_ARC
(30,10),-2.66619 # DEPENDENCYPART_ARC
(30,11),-4.12669 # DEPENDENCYPART_ARC
(30,12),-3.23566 # DEPENDENCYPART_ARC
(30,13),-2.36172 # DEPENDENCYPART_ARC
(30,14),-3.62522 # DEPENDENCYPART_ARC
(30,15),-3.52581 # DEPENDENCYPART_ARC
(30,16),-2.05683 # DEPENDENCYPART_ARC
(30,17),-2.20882 # DEPENDENCYPART_ARC
(30,18),-3.50342 # DEPENDENCYPART_ARC
(30,19),-3.95516 # DEPENDENCYPART_ARC
(30,20),-3.20504 # DEPENDENCYPART_ARC
(30,21),-2.4857 # DEPENDENCYPART_ARC
(30,22),-1.14236 # DEPENDENCYPART_ARC
(30,23),-0.676234 # DEPENDENCYPART_ARC
(30,24),-2.80465 # DEPENDENCYPART_ARC
(30,25),-1.19329 # DEPENDENCYPART_ARC
(30,26),-2.62102 # DEPENDENCYPART_ARC
(30,27),-0.630987 # DEPENDENCYPART_ARC
(30,28),-0.0238644 # DEPENDENCYPART_ARC
(30,29),0.771537 # DEPENDENCYPART_ARC
(30,31),1.96293 # DEPENDENCYPART_ARC
(30,32),1.29242 # DEPENDENCYPART_ARC
(30,33),0.865852 # DEPENDENCYPART_ARC
(30,34),1.01844 # DEPENDENCYPART_ARC
(30,35),-0.697781 # DEPENDENCYPART_ARC
(31,1),-1.94247 # DEPENDENCYPART_ARC
(31,2),-2.49681 # DEPENDENCYPART_ARC
(31,3),-1.919 # DEPENDENCYPART_ARC
(31,4),-2.38217 # DEPENDENCYPART_ARC
(31,5),-2.43461 # DEPENDENCYPART_ARC
(31,6),-1.54959 # DEPENDENCYPART_ARC
(31,7),-2.29384 # DEPENDENCYPART_ARC
(31,8),-2.34433 # DEPENDENCYPART_ARC
(31,9),-2.30607 # DEPENDENCYPART_ARC
(31,10),-1.94008 # DEPENDENCYPART_ARC
(31,11),-2.29094 # DEPENDENCYPART_ARC
(31,12),-2.28314 # DEPENDENCYPART_ARC
(31,13),-1.60949 # DEPENDENCYPART_ARC
(31,14),-2.0629 # DEPENDENCYPART_ARC
(31,15),-1.94354 # DEPENDENCYPART_ARC
(31,16),-1.06006 # DEPENDENCYPART_ARC
(31,17),-1.60403 # DEPENDENCYPART_ARC
(31,18),-1.59163 # DEPENDENCYPART_ARC
(31,19),-1.9747 # DEPENDENCYPART_ARC
(31,20),-1.89686 # DEPENDENCYPART_ARC
(31,21),-2.14843 # DEPENDENCYPART_ARC
(31,22),-1.17876 # DEPENDENCYPART_ARC
(31,23),-1.2316 # DEPENDENCYPART_ARC
(31,24),-1.59944 # DEPENDENCYPART_ARC
(31,25),-1.3113 # DEPENDENCYPART_ARC
(31,26),-1.60833 # DEPENDENCYPART_ARC
(31,27),-0.676804 # DEPENDENCYPART_ARC
(31,28),-1.09976 # DEPENDENCYPART_ARC
(31,29),-0.151408 # DEPENDENCYPART_ARC
(31,30),-0.0158261 # DEPENDENCYPART_ARC
(31,32),3.92519 # DEPENDENCYPART_ARC
(31,33),-0.364852 # DEPENDENCYPART_ARC
(31,34),1.0879 # DEPENDENCYPART_ARC
(31,35),-0.775771 # DEPENDENCYPART_ARC
(32,1),-6.4565 # DEPENDENCYPART_ARC
(32,2),-4.28692 # DEPENDENCYPART_ARC
(32,3),-3.0411 # DEPENDENCYPART_ARC
(32,4),-4.18006 # DEPENDENCYPART_ARC
(32,5),-2.93077 # DEPENDENCYPART_ARC
(32,6),-3.34752 # DEPENDENCYPART_ARC
(32,7),-3.34004 # DEPENDENCYPART_ARC
(32,8),-4.04897 # DEPENDENCYPART_ARC
(32,9),-3.92351 # DEPENDENCYPART_ARC
(32,10),-1.87945 # DEPENDENCYPART_ARC
(32,11),-2.96649 # DEPENDENCYPART_ARC
(32,12),-2.00077 # DEPENDENCYPART_ARC
(32,13),-2.23973 # DEPENDENCYPART_ARC
(32,14),-3.82554 # DEPENDENCYPART_ARC
(32,15),-3.73461 # DEPENDENCYPART_ARC
(32,16),-2.29832 # DEPENDENCYPART_ARC
(32,17),-2.68182 # DEPENDENCYPART_ARC
(32,18),-3.40783 # DEPENDENCYPART_ARC
(32,19),-3.67332 # DEPENDENCYPART_ARC
(32,20),-3.45965 # DEPENDENCYPART_ARC
(32,21),-2.67935 # DEPENDENCYPART_ARC
(32,22),-1.4627 # DEPENDENCYPART_ARC
(32,23),-0.438955 # DEPENDENCYPART_ARC
(32,24),-3.27517 # DEPENDENCYPART_ARC
(32,25),-1.42687 # DEPENDENCYPART_ARC
(32,26),-2.99989 # DEPENDENCYPART_ARC
(32,27),-1.33605 # DEPENDENCYPART_ARC
(32,28),-2.14683 # DEPENDENCYPART_ARC
(32,29),-0.658902 # DEPENDENCYPART_ARC
(32,30),-1.00945 # DEPENDENCYPART_ARC
(32,31),0.846449 # DEPENDENCYPART_ARC
(32,33),1.98376 # DEPENDENCYPART_ARC
(32,34),0.690214 # DEPENDENCYPART_ARC
(32,35),-0.0703991 # DEPENDENCYPART_ARC
(33,1),-2.41676 # DEPENDENCYPART_ARC
(33,2),-3.24537 # DEPENDENCYPART_ARC
(33,3),-2.08569 # DEPENDENCYPART_ARC
(33,4),-3.17387 # DEPENDENCYPART_ARC
(33,5),-3.39442 # DEPENDENCYPART_ARC
(33,6),-1.51833 # DEPENDENCYPART_ARC
(33,7),-3.15574 # DEPENDENCYPART_ARC
(33,8),-3.20694 # DEPENDENCYPART_ARC
(33,9),-3.13411 # DEPENDENCYPART_ARC
(33,10),-2.22004 # DEPENDENCYPART_ARC
(33,11),-3.18754 # DEPENDENCYPART_ARC
(33,12),-3.17242 # DEPENDENCYPART_ARC
(33,13),-1.79955 # DEPENDENCYPART_ARC
(33,14),-2.82821 # DEPENDENCYPART_ARC
(33,15),-2.05631 # DEPENDENCYPART_ARC
(33,16),-1.31202 # DEPENDENCYPART_ARC
(33,17),-1.63264 # DEPENDENCYPART_ARC
(33,18),-2.17779 # DEPENDENCYPART_ARC
(33,19),-2.76594 # DEPENDENCYPART_ARC
(33,20),-1.92473 # DEPENDENCYPART_ARC
(33,21),-2.44991 # DEPENDENCYPART_ARC
(33,22),-1.47898 # DEPENDENCYPART_ARC
(33,23),-1.42393 # DEPENDENCYPART_ARC
(33,24),-2.52574 # DEPENDENCYPART_ARC
(33,25),-1.88923 # DEPENDENCYPART_ARC
(33,26),-2.43927 # DEPENDENCYPART_ARC
(33,27),-1.09474 # DEPENDENCYPART_ARC
(33,28),-1.99909 # DEPENDENCYPART_ARC
(33,29),-0.80221 # DEPENDENCYPART_ARC
(33,30),-1.6733 # DEPENDENCYPART_ARC
(33,31),-0.323753 # DEPENDENCYPART_ARC
(33,32),-0.662324 # DEPENDENCYPART_ARC
(33,34),4.68592 # DEPENDENCYPART_ARC
(33,35),-0.200065 # DEPENDENCYPART_ARC
(34,1),-7.73537 # DEPENDENCYPART_ARC
(34,2),-4.79945 # DEPENDENCYPART_ARC
(34,3),-3.47838 # DEPENDENCYPART_ARC
(34,4),-4.50473 # DEPENDENCYPART_ARC
(34,5),-3.01306 # DEPENDENCYPART_ARC
(34,6),-3.57702 # DEPENDENCYPART_ARC
(34,7),-3.08614 # DEPENDENCYPART_ARC
(34,8),-3.90227 # DEPENDENCYPART_ARC
(34,9),-4.06104 # DEPENDENCYPART_ARC
(34,10),-2.38945 # DEPENDENCYPART_ARC
(34,11),-3.5197 # DEPENDENCYPART_ARC
(34,12),-2.64242 # DEPENDENCYPART_ARC
(34,13),-2.76497 # DEPENDENCYPART_ARC
(34,14),-4.05405 # DEPENDENCYPART_ARC
(34,15),-3.7113 # DEPENDENCYPART_ARC
(34,16),-2.5228 # DEPENDENCYPART_ARC
(34,17),-3.00323 # DEPENDENCYPART_ARC
(34,18),-4.64741 # DEPENDENCYPART_ARC
(34,19),-4.0727 # DEPENDENCYPART_ARC
(34,20),-3.61002 # DEPENDENCYPART_ARC
(34,21),-2.50894 # DEPENDENCYPART_ARC
(34,22),-1.70142 # DEPENDENCYPART_ARC
(34,23),-1.14264 # DEPENDENCYPART_ARC
(34,24),-3.40802 # DEPENDENCYPART_ARC
(34,25),-2.83748 # DEPENDENCYPART_ARC
(34,26),-3.10249 # DEPENDENCYPART_ARC
(34,27),-1.56802 # DEPENDENCYPART_ARC
(34,28),-1.54875 # DEPENDENCYPART_ARC
(34,29),-1.00806 # DEPENDENCYPART_ARC
(34,30),-0.908142 # DEPENDENCYPART_ARC
(34,31),-0.626974 # DEPENDENCYPART_ARC
(34,32),-0.873288 # DEPENDENCYPART_ARC
(34,33),0.731847 # DEPENDENCYPART_ARC
(34,35),2.6214 # DEPENDENCYPART_ARC
(35,1),-2.5233 # DEPENDENCYPART_ARC
(35,2),-3.13658 # DEPENDENCYPART_ARC
(35,3),-2.55681 # DEPENDENCYPART_ARC
(35,4),-3.09262 # DEPENDENCYPART_ARC
(35,5),-3.22871 # DEPENDENCYPART_ARC
(35,6),-2.47425 # DEPENDENCYPART_ARC
(35,7),-2.98492 # DEPENDENCYPART_ARC
(35,8),-2.99931 # DEPENDENCYPART_ARC
(35,9),-2.94019 # DEPENDENCYPART_ARC
(35,10),-2.66605 # DEPENDENCYPART_ARC
(35,11),-3.09007 # DEPENDENCYPART_ARC
(35,12),-3.17438 # DEPENDENCYPART_ARC
(35,13),-2.4084 # DEPENDENCYPART_ARC
(35,14),-2.96006 # DEPENDENCYPART_ARC
(35,15),-2.4499 # DEPENDENCYPART_ARC
(35,16),-2.51301 # DEPENDENCYPART_ARC
(35,17),-2.27549 # DEPENDENCYPART_ARC
(35,18),-2.31675 # DEPENDENCYPART_ARC
(35,19),-2.87542 # DEPENDENCYPART_ARC
(35,20),-2.45174 # DEPENDENCYPART_ARC
(35,21),-3.02296 # DEPENDENCYPART_ARC
(35,22),-2.05931 # DEPENDENCYPART_ARC
(35,23),-2.17821 # DEPENDENCYPART_ARC
(35,24),-2.69388 # DEPENDENCYPART_ARC
(35,25),-2.07283 # DEPENDENCYPART_ARC
(35,26),-2.56849 # DEPENDENCYPART_ARC
(35,27),-1.9601 # DEPENDENCYPART_ARC
(35,28),-2.44044 # DEPENDENCYPART_ARC
(35,29),-1.8447 # DEPENDENCYPART_ARC
(35,30),-2.29345 # DEPENDENCYPART_ARC
(35,31),-1.59685 # DEPENDENCYPART_ARC
(35,32),-1.83997 # DEPENDENCYPART_ARC
(35,33),-1.09975 # DEPENDENCYPART_ARC
(35,34),-0.818931 # DEPENDENCYPART_ARC
