# _root_ Fanno fatica ad ammettere che una mescolanza misteriosa di fattori genetici , di educazione e di stimoli ambientali , possa produrre individui che sanno fare cose che essi non potranno mai nemmeno immaginare .
#goldHeads=0,1,1,3,4,7,21,7,7,9,10,9,9,13,9,9,16,17,18,21,5,21,24,22,24,25,33,33,33,33,33,33,26,33,
#predictedHeads=0,1,1,3,4,7,4,7,7,9,10,11,9,13,1,9,16,17,18,21,5,21,25,25,21,25,30,30,30,26,30,33,26,33,
(30,24),-1.82219 # DEPENDENCYPART_ARC
(30,25),-0.561416 # DEPENDENCYPART_ARC
(30,26),0.320547 # DEPENDENCYPART_ARC
(30,27),1.81981 # DEPENDENCYPART_ARC
(30,28),1.44782 # DEPENDENCYPART_ARC
(30,29),2.43138 # DEPENDENCYPART_ARC
(30,31),1.59987 # DEPENDENCYPART_ARC
(30,32),0.710633 # DEPENDENCYPART_ARC
(30,33),0.613442 # DEPENDENCYPART_ARC
(30,34),-0.173378 # DEPENDENCYPART_ARC
(31,1),-2.35904 # DEPENDENCYPART_ARC
(31,2),-2.30963 # DEPENDENCYPART_ARC
(31,3),-1.41821 # DEPENDENCYPART_ARC
(31,4),-2.31858 # DEPENDENCYPART_ARC
(31,5),-1.29265 # DEPENDENCYPART_ARC
(31,6),-1.13543 # DEPENDENCYPART_ARC
(31,7),-2.24984 # DEPENDENCYPART_ARC
(31,8),-1.67687 # DEPENDENCYPART_ARC
(31,9),-1.27737 # DEPENDENCYPART_ARC
(31,10),-2.19777 # DEPENDENCYPART_ARC
(31,11),-1.56221 # DEPENDENCYPART_ARC
(31,12),-1.5176 # DEPENDENCYPART_ARC
(31,13),-1.02281 # DEPENDENCYPART_ARC
(31,14),-2.00779 # DEPENDENCYPART_ARC
(31,15),-1.23339 # DEPENDENCYPART_ARC
(31,16),-1.00544 # DEPENDENCYPART_ARC
(31,17),-2.02048 # DEPENDENCYPART_ARC
(31,18),-1.43433 # DEPENDENCYPART_ARC
(31,19),-1.45561 # DEPENDENCYPART_ARC
(31,20),-2.17849 # DEPENDENCYPART_ARC
(31,21),-2.12687 # DEPENDENCYPART_ARC
(31,22),-1.79526 # DEPENDENCYPART_ARC
(31,23),-1.35364 # DEPENDENCYPART_ARC
(31,24),-1.87473 # DEPENDENCYPART_ARC
(31,25),-1.89306 # DEPENDENCYPART_ARC
(31,26),-1.43414 # DEPENDENCYPART_ARC
(31,27),-0.917114 # DEPENDENCYPART_ARC
(31,28),-0.587191 # DEPENDENCYPART_ARC
(31,29),0.343495 # DEPENDENCYPART_ARC
(31,30),0.141348 # DEPENDENCYPART_ARC
(31,32),0.644952 # DEPENDENCYPART_ARC
(31,33),0.342535 # DEPENDENCYPART_ARC
(31,34),-0.205103 # DEPENDENCYPART_ARC
(32,1),-2.16989 # DEPENDENCYPART_ARC
(32,2),-2.13345 # DEPENDENCYPART_ARC
(32,3),-1.2408 # DEPENDENCYPART_ARC
(32,4),-2.05643 # DEPENDENCYPART_ARC
(32,5),-1.14665 # DEPENDENCYPART_ARC
(32,6),-0.892349 # DEPENDENCYPART_ARC
(32,7),-2.09128 # DEPENDENCYPART_ARC
(32,8),-1.42191 # DEPENDENCYPART_ARC
(32,9),-1.12277 # DEPENDENCYPART_ARC
(32,10),-2.00749 # DEPENDENCYPART_ARC
(32,11),-1.43971 # DEPENDENCYPART_ARC
(32,12),-1.37393 # DEPENDENCYPART_ARC
(32,13),-0.784518 # DEPENDENCYPART_ARC
(32,14),-1.81441 # DEPENDENCYPART_ARC
(32,15),-1.01259 # DEPENDENCYPART_ARC
(32,16),-0.818503 # DEPENDENCYPART_ARC
(32,17),-1.78955 # DEPENDENCYPART_ARC
(32,18),-1.3942 # DEPENDENCYPART_ARC
(32,19),-1.22815 # DEPENDENCYPART_ARC
(32,20),-1.86886 # DEPENDENCYPART_ARC
(32,21),-1.93984 # DEPENDENCYPART_ARC
(32,22),-1.62634 # DEPENDENCYPART_ARC
(32,23),-1.19037 # DEPENDENCYPART_ARC
(32,24),-1.73451 # DEPENDENCYPART_ARC
(32,25),-1.66262 # DEPENDENCYPART_ARC
(32,26),-1.38089 # DEPENDENCYPART_ARC
(32,27),-0.853317 # DEPENDENCYPART_ARC
(32,28),-0.74246 # DEPENDENCYPART_ARC
(32,29),0.345253 # DEPENDENCYPART_ARC
(32,30),-0.44975 # DEPENDENCYPART_ARC
(32,31),1.58629 # DEPENDENCYPART_ARC
(32,33),1.14336 # DEPENDENCYPART_ARC
(32,34),0.263503 # DEPENDENCYPART_ARC
(33,1),-2.98096 # DEPENDENCYPART_ARC
(33,2),-2.29829 # DEPENDENCYPART_ARC
(33,3),-2.35586 # DEPENDENCYPART_ARC
(33,4),-2.89235 # DEPENDENCYPART_ARC
(33,5),-2.0542 # DEPENDENCYPART_ARC
(33,6),-1.53092 # DEPENDENCYPART_ARC
(33,7),-1.55584 # DEPENDENCYPART_ARC
(33,8),-1.20644 # DEPENDENCYPART_ARC
(33,9),-4.17215 # DEPENDENCYPART_ARC
(33,10),-2.08272 # DEPENDENCYPART_ARC
(33,11),-1.17569 # DEPENDENCYPART_ARC
(33,12),-3.35466 # DEPENDENCYPART_ARC
(33,13),-3.38271 # DEPENDENCYPART_ARC
(33,14),-1.66907 # DEPENDENCYPART_ARC
(33,15),-1.78989 # DEPENDENCYPART_ARC
(33,16),-2.8493 # DEPENDENCYPART_ARC
(33,17),-1.56586 # DEPENDENCYPART_ARC
(33,18),-0.922139 # DEPENDENCYPART_ARC
(33,19),-2.9593 # DEPENDENCYPART_ARC
(33,20),-1.40146 # DEPENDENCYPART_ARC
(33,21),-1.92293 # DEPENDENCYPART_ARC
(33,22),-1.17129 # DEPENDENCYPART_ARC
(33,23),-0.030512 # DEPENDENCYPART_ARC
(33,24),-1.0443 # DEPENDENCYPART_ARC
(33,25),-1.72232 # DEPENDENCYPART_ARC
(33,26),-0.506458 # DEPENDENCYPART_ARC
(33,27),0.725813 # DEPENDENCYPART_ARC
(33,28),0.733884 # DEPENDENCYPART_ARC
(33,29),1.33158 # DEPENDENCYPART_ARC
(33,30),0.337407 # DEPENDENCYPART_ARC
(33,31),1.15132 # DEPENDENCYPART_ARC
(33,32),2.18239 # DEPENDENCYPART_ARC
(33,34),2.31321 # DEPENDENCYPART_ARC
(34,1),-3.42223 # DEPENDENCYPART_ARC
(34,2),-3.13537 # DEPENDENCYPART_ARC
(34,3),-2.64508 # DEPENDENCYPART_ARC
(34,4),-3.30111 # DEPENDENCYPART_ARC
(34,5),-2.53425 # DEPENDENCYPART_ARC
(34,6),-2.48098 # DEPENDENCYPART_ARC
(34,7),-3.03137 # DEPENDENCYPART_ARC
(34,8),-2.86381 # DEPENDENCYPART_ARC
(34,9),-2.53943 # DEPENDENCYPART_ARC
(34,10),-2.96212 # DEPENDENCYPART_ARC
(34,11),-2.95012 # DEPENDENCYPART_ARC
(34,12),-2.67116 # DEPENDENCYPART_ARC
(34,13),-2.496 # DEPENDENCYPART_ARC
(34,14),-2.87593 # DEPENDENCYPART_ARC
(34,15),-2.32007 # DEPENDENCYPART_ARC
(34,16),-2.3806 # DEPENDENCYPART_ARC
(34,17),-2.85765 # DEPENDENCYPART_ARC
(34,18),-2.83319 # DEPENDENCYPART_ARC
(34,19),-2.58013 # DEPENDENCYPART_ARC
(34,20),-3.20244 # DEPENDENCYPART_ARC
(34,21),-3.12819 # DEPENDENCYPART_ARC
(34,22),-2.80303 # DEPENDENCYPART_ARC
(34,23),-2.58396 # DEPENDENCYPART_ARC
(34,24),-3.13311 # DEPENDENCYPART_ARC
(34,25),-3.03085 # DEPENDENCYPART_ARC
(34,26),-2.62556 # DEPENDENCYPART_ARC
(34,27),-2.23873 # DEPENDENCYPART_ARC
(34,28),-2.22054 # DEPENDENCYPART_ARC
(34,29),-2.14031 # DEPENDENCYPART_ARC
(34,30),-2.72024 # DEPENDENCYPART_ARC
(34,31),-1.70726 # DEPENDENCYPART_ARC
(34,32),-1.4758 # DEPENDENCYPART_ARC
(34,33),-0.866325 # DEPENDENCYPART_ARC
