# _root_ E in fondo , fino_a quella sublime malattia raccontata nel " documentario fiction " di Caro diario , amavo più il guru ( nelle sue supposte antipatie e idiosincrasie ) che il suo cinema .
#goldHeads=19,19,2,3,19,8,8,5,8,9,12,10,12,13,12,17,15,17,0,19,22,19,24,22,27,27,24,27,27,29,22,34,34,31,34,
#predictedHeads=9,9,2,3,19,8,8,5,8,9,12,10,12,13,12,17,15,17,0,19,22,19,24,19,27,27,24,27,27,29,19,34,34,27,34,
(29,27),-0.699454 # DEPENDENCYPART_ARC
(29,28),-0.262517 # DEPENDENCYPART_ARC
(29,30),1.55711 # DEPENDENCYPART_ARC
(29,31),-0.245489 # DEPENDENCYPART_ARC
(29,32),-0.9836 # DEPENDENCYPART_ARC
(29,33),-1.93447 # DEPENDENCYPART_ARC
(29,34),0.364883 # DEPENDENCYPART_ARC
(29,35),-0.123105 # DEPENDENCYPART_ARC
(30,1),-2.11673 # DEPENDENCYPART_ARC
(30,2),-2.08855 # DEPENDENCYPART_ARC
(30,3),-2.67158 # DEPENDENCYPART_ARC
(30,4),-2.20474 # DEPENDENCYPART_ARC
(30,5),-2.11185 # DEPENDENCYPART_ARC
(30,6),-2.112 # DEPENDENCYPART_ARC
(30,7),-2.50518 # DEPENDENCYPART_ARC
(30,8),-2.59555 # DEPENDENCYPART_ARC
(30,9),-2.79967 # DEPENDENCYPART_ARC
(30,10),-1.97097 # DEPENDENCYPART_ARC
(30,11),-2.23437 # DEPENDENCYPART_ARC
(30,12),-2.48565 # DEPENDENCYPART_ARC
(30,13),-2.51718 # DEPENDENCYPART_ARC
(30,14),-2.26971 # DEPENDENCYPART_ARC
(30,15),-1.9728 # DEPENDENCYPART_ARC
(30,16),-2.43936 # DEPENDENCYPART_ARC
(30,17),-2.41489 # DEPENDENCYPART_ARC
(30,18),-2.05621 # DEPENDENCYPART_ARC
(30,19),-2.64336 # DEPENDENCYPART_ARC
(30,20),-2.01388 # DEPENDENCYPART_ARC
(30,21),-1.62599 # DEPENDENCYPART_ARC
(30,22),-2.29401 # DEPENDENCYPART_ARC
(30,23),-1.68586 # DEPENDENCYPART_ARC
(30,24),-1.53632 # DEPENDENCYPART_ARC
(30,25),-1.95176 # DEPENDENCYPART_ARC
(30,26),-1.8351 # DEPENDENCYPART_ARC
(30,27),-1.52656 # DEPENDENCYPART_ARC
(30,28),-0.992003 # DEPENDENCYPART_ARC
(30,29),-0.492649 # DEPENDENCYPART_ARC
(30,31),-0.756994 # DEPENDENCYPART_ARC
(30,32),-1.23825 # DEPENDENCYPART_ARC
(30,33),-1.41131 # DEPENDENCYPART_ARC
(30,34),-1.54327 # DEPENDENCYPART_ARC
(30,35),-0.371272 # DEPENDENCYPART_ARC
(31,1),-2.02796 # DEPENDENCYPART_ARC
(31,2),-2.71589 # DEPENDENCYPART_ARC
(31,3),-3.36764 # DEPENDENCYPART_ARC
(31,4),-2.43365 # DEPENDENCYPART_ARC
(31,5),-2.62082 # DEPENDENCYPART_ARC
(31,6),-2.28931 # DEPENDENCYPART_ARC
(31,7),-2.6509 # DEPENDENCYPART_ARC
(31,8),-3.28141 # DEPENDENCYPART_ARC
(31,9),-3.03533 # DEPENDENCYPART_ARC
(31,10),-2.59335 # DEPENDENCYPART_ARC
(31,11),-2.149 # DEPENDENCYPART_ARC
(31,12),-2.97565 # DEPENDENCYPART_ARC
(31,13),-2.98797 # DEPENDENCYPART_ARC
(31,14),-2.18497 # DEPENDENCYPART_ARC
(31,15),-2.36423 # DEPENDENCYPART_ARC
(31,16),-2.59315 # DEPENDENCYPART_ARC
(31,17),-2.90653 # DEPENDENCYPART_ARC
(31,18),-2.1615 # DEPENDENCYPART_ARC
(31,19),-2.78582 # DEPENDENCYPART_ARC
(31,20),-2.12716 # DEPENDENCYPART_ARC
(31,21),-1.92358 # DEPENDENCYPART_ARC
(31,22),-2.57806 # DEPENDENCYPART_ARC
(31,23),-1.52131 # DEPENDENCYPART_ARC
(31,24),-1.85352 # DEPENDENCYPART_ARC
(31,25),-2.23224 # DEPENDENCYPART_ARC
(31,26),-2.1092 # DEPENDENCYPART_ARC
(31,27),-2.0748 # DEPENDENCYPART_ARC
(31,28),-0.985502 # DEPENDENCYPART_ARC
(31,29),-1.49585 # DEPENDENCYPART_ARC
(31,30),0.17281 # DEPENDENCYPART_ARC
(31,32),0.612429 # DEPENDENCYPART_ARC
(31,33),0.637397 # DEPENDENCYPART_ARC
(31,34),0.0280606 # DEPENDENCYPART_ARC
(31,35),0.195295 # DEPENDENCYPART_ARC
(32,1),-3.56944 # DEPENDENCYPART_ARC
(32,2),-4.14714 # DEPENDENCYPART_ARC
(32,3),-3.75477 # DEPENDENCYPART_ARC
(32,4),-3.22941 # DEPENDENCYPART_ARC
(32,5),-3.99905 # DEPENDENCYPART_ARC
(32,6),-3.17771 # DEPENDENCYPART_ARC
(32,7),-3.4341 # DEPENDENCYPART_ARC
(32,8),-4.08959 # DEPENDENCYPART_ARC
(32,9),-4.60653 # DEPENDENCYPART_ARC
(32,10),-4.15248 # DEPENDENCYPART_ARC
(32,11),-2.70837 # DEPENDENCYPART_ARC
(32,12),-3.64161 # DEPENDENCYPART_ARC
(32,13),-3.77298 # DEPENDENCYPART_ARC
(32,14),-2.66122 # DEPENDENCYPART_ARC
(32,15),-3.58967 # DEPENDENCYPART_ARC
(32,16),-3.27078 # DEPENDENCYPART_ARC
(32,17),-3.64433 # DEPENDENCYPART_ARC
(32,18),-3.15953 # DEPENDENCYPART_ARC
(32,19),-4.05414 # DEPENDENCYPART_ARC
(32,20),-3.16547 # DEPENDENCYPART_ARC
(32,21),-2.75826 # DEPENDENCYPART_ARC
(32,22),-3.50095 # DEPENDENCYPART_ARC
(32,23),-2.32841 # DEPENDENCYPART_ARC
(32,24),-3.45236 # DEPENDENCYPART_ARC
(32,25),-3.17497 # DEPENDENCYPART_ARC
(32,26),-3.15677 # DEPENDENCYPART_ARC
(32,27),-3.54179 # DEPENDENCYPART_ARC
(32,28),-2.81942 # DEPENDENCYPART_ARC
(32,29),-3.08742 # DEPENDENCYPART_ARC
(32,30),-1.55682 # DEPENDENCYPART_ARC
(32,31),-1.45688 # DEPENDENCYPART_ARC
(32,33),0.158222 # DEPENDENCYPART_ARC
(32,34),0.735129 # DEPENDENCYPART_ARC
(32,35),-0.0821203 # DEPENDENCYPART_ARC
(33,1),-2.83114 # DEPENDENCYPART_ARC
(33,2),-2.35414 # DEPENDENCYPART_ARC
(33,3),-2.90695 # DEPENDENCYPART_ARC
(33,4),-2.33594 # DEPENDENCYPART_ARC
(33,5),-2.32929 # DEPENDENCYPART_ARC
(33,6),-1.66528 # DEPENDENCYPART_ARC
(33,7),-1.87411 # DEPENDENCYPART_ARC
(33,8),-3.25881 # DEPENDENCYPART_ARC
(33,9),-2.9792 # DEPENDENCYPART_ARC
(33,10),-2.68338 # DEPENDENCYPART_ARC
(33,11),-1.56539 # DEPENDENCYPART_ARC
(33,12),-2.64174 # DEPENDENCYPART_ARC
(33,13),-2.5181 # DEPENDENCYPART_ARC
(33,14),-1.43339 # DEPENDENCYPART_ARC
(33,15),-2.03432 # DEPENDENCYPART_ARC
(33,16),-2.09216 # DEPENDENCYPART_ARC
(33,17),-2.39012 # DEPENDENCYPART_ARC
(33,18),-2.11087 # DEPENDENCYPART_ARC
(33,19),-2.10808 # DEPENDENCYPART_ARC
(33,20),-1.23341 # DEPENDENCYPART_ARC
(33,21),-1.36167 # DEPENDENCYPART_ARC
(33,22),-2.13763 # DEPENDENCYPART_ARC
(33,23),-1.27573 # DEPENDENCYPART_ARC
(33,24),-1.78003 # DEPENDENCYPART_ARC
(33,25),-1.37935 # DEPENDENCYPART_ARC
(33,26),-1.34681 # DEPENDENCYPART_ARC
(33,27),-2.26531 # DEPENDENCYPART_ARC
(33,28),-0.976854 # DEPENDENCYPART_ARC
(33,29),-1.88459 # DEPENDENCYPART_ARC
(33,30),-0.611944 # DEPENDENCYPART_ARC
(33,31),0.0679138 # DEPENDENCYPART_ARC
(33,32),1.21637 # DEPENDENCYPART_ARC
(33,34),1.06235 # DEPENDENCYPART_ARC
(33,35),-0.175691 # DEPENDENCYPART_ARC
(34,1),-1.67299 # DEPENDENCYPART_ARC
(34,2),-3.78129 # DEPENDENCYPART_ARC
(34,3),-3.66235 # DEPENDENCYPART_ARC
(34,4),-3.06942 # DEPENDENCYPART_ARC
(34,5),-2.52819 # DEPENDENCYPART_ARC
(34,6),-0.230915 # DEPENDENCYPART_ARC
(34,7),-1.05612 # DEPENDENCYPART_ARC
(34,8),-3.72111 # DEPENDENCYPART_ARC
(34,9),-1.22233 # DEPENDENCYPART_ARC
(34,10),-2.40026 # DEPENDENCYPART_ARC
(34,11),-1.89842 # DEPENDENCYPART_ARC
(34,12),-2.82398 # DEPENDENCYPART_ARC
(34,13),-2.28931 # DEPENDENCYPART_ARC
(34,14),-1.66622 # DEPENDENCYPART_ARC
(34,15),-1.80929 # DEPENDENCYPART_ARC
(34,16),-0.0502951 # DEPENDENCYPART_ARC
(34,17),-3.07936 # DEPENDENCYPART_ARC
(34,18),-2.47928 # DEPENDENCYPART_ARC
(34,19),-1.74282 # DEPENDENCYPART_ARC
(34,20),-0.212171 # DEPENDENCYPART_ARC
(34,21),-1.06427 # DEPENDENCYPART_ARC
(34,22),-1.81531 # DEPENDENCYPART_ARC
(34,23),-1.26728 # DEPENDENCYPART_ARC
(34,24),-0.592346 # DEPENDENCYPART_ARC
(34,25),1.18239 # DEPENDENCYPART_ARC
(34,26),0.762296 # DEPENDENCYPART_ARC
(34,27),-1.85747 # DEPENDENCYPART_ARC
(34,28),-0.440343 # DEPENDENCYPART_ARC
(34,29),-1.49889 # DEPENDENCYPART_ARC
(34,30),-0.811454 # DEPENDENCYPART_ARC
(34,31),0.203849 # DEPENDENCYPART_ARC
(34,32),2.77585 # DEPENDENCYPART_ARC
(34,33),3.40421 # DEPENDENCYPART_ARC
(34,35),2.82225 # DEPENDENCYPART_ARC
(35,1),-2.70825 # DEPENDENCYPART_ARC
(35,2),-2.68016 # DEPENDENCYPART_ARC
(35,3),-3.2382 # DEPENDENCYPART_ARC
(35,4),-2.78921 # DEPENDENCYPART_ARC
(35,5),-2.60954 # DEPENDENCYPART_ARC
(35,6),-2.64052 # DEPENDENCYPART_ARC
(35,7),-2.95465 # DEPENDENCYPART_ARC
(35,8),-3.11564 # DEPENDENCYPART_ARC
(35,9),-3.27597 # DEPENDENCYPART_ARC
(35,10),-2.61461 # DEPENDENCYPART_ARC
(35,11),-2.80057 # DEPENDENCYPART_ARC
(35,12),-3.13439 # DEPENDENCYPART_ARC
(35,13),-3.15461 # DEPENDENCYPART_ARC
(35,14),-2.79509 # DEPENDENCYPART_ARC
(35,15),-2.45964 # DEPENDENCYPART_ARC
(35,16),-2.82134 # DEPENDENCYPART_ARC
(35,17),-3.03758 # DEPENDENCYPART_ARC
(35,18),-2.61192 # DEPENDENCYPART_ARC
(35,19),-3.17443 # DEPENDENCYPART_ARC
(35,20),-2.70177 # DEPENDENCYPART_ARC
(35,21),-2.31154 # DEPENDENCYPART_ARC
(35,22),-2.86759 # DEPENDENCYPART_ARC
(35,23),-2.3129 # DEPENDENCYPART_ARC
(35,24),-2.32813 # DEPENDENCYPART_ARC
(35,25),-2.70156 # DEPENDENCYPART_ARC
(35,26),-2.66145 # DEPENDENCYPART_ARC
(35,27),-2.72198 # DEPENDENCYPART_ARC
(35,28),-2.1343 # DEPENDENCYPART_ARC
(35,29),-2.65483 # DEPENDENCYPART_ARC
(35,30),-2.1552 # DEPENDENCYPART_ARC
(35,31),-2.02267 # DEPENDENCYPART_ARC
(35,32),-1.39015 # DEPENDENCYPART_ARC
(35,33),-1.60887 # DEPENDENCYPART_ARC
(35,34),-1.00373 # DEPENDENCYPART_ARC
