# _root_ Mare in tempesta vien fuori tutto da una attenta lettura di William Turner : mare , spruzzi d' acqua , fluire d' onde tra gli scogli intarsiati dal soffio furente del vento e della pioggia .
#goldHeads=4,1,2,0,6,4,4,10,10,7,10,13,11,13,0,15,15,17,18,15,15,21,22,23,26,24,26,27,28,29,29,31,31,31,34,35,
#predictedHeads=4,1,2,0,4,4,4,10,10,7,10,13,11,13,13,15,15,17,18,15,17,21,22,21,26,24,26,27,28,29,29,31,31,31,34,35,
(28,35),-0.648249 # DEPENDENCYPART_ARC
(28,36),-0.268429 # DEPENDENCYPART_ARC
(29,1),-4.83005 # DEPENDENCYPART_ARC
(29,2),-4.23476 # DEPENDENCYPART_ARC
(29,3),-5.0413 # DEPENDENCYPART_ARC
(29,4),-3.43382 # DEPENDENCYPART_ARC
(29,5),-3.17584 # DEPENDENCYPART_ARC
(29,6),-2.59531 # DEPENDENCYPART_ARC
(29,7),-3.86064 # DEPENDENCYPART_ARC
(29,8),-5.20028 # DEPENDENCYPART_ARC
(29,9),-2.92873 # DEPENDENCYPART_ARC
(29,10),-5.03939 # DEPENDENCYPART_ARC
(29,11),-3.84717 # DEPENDENCYPART_ARC
(29,12),-3.74607 # DEPENDENCYPART_ARC
(29,13),-4.32116 # DEPENDENCYPART_ARC
(29,14),-3.38696 # DEPENDENCYPART_ARC
(29,15),-4.29718 # DEPENDENCYPART_ARC
(29,16),-3.44962 # DEPENDENCYPART_ARC
(29,17),-3.45088 # DEPENDENCYPART_ARC
(29,18),-2.64492 # DEPENDENCYPART_ARC
(29,19),-4.09919 # DEPENDENCYPART_ARC
(29,20),-3.44219 # DEPENDENCYPART_ARC
(29,21),-2.60622 # DEPENDENCYPART_ARC
(29,22),-1.94739 # DEPENDENCYPART_ARC
(29,23),-3.18815 # DEPENDENCYPART_ARC
(29,24),-1.35675 # DEPENDENCYPART_ARC
(29,25),-0.529853 # DEPENDENCYPART_ARC
(29,26),-1.91616 # DEPENDENCYPART_ARC
(29,27),-0.202371 # DEPENDENCYPART_ARC
(29,28),0.77196 # DEPENDENCYPART_ARC
(29,30),3.02791 # DEPENDENCYPART_ARC
(29,31),2.24915 # DEPENDENCYPART_ARC
(29,32),0.913554 # DEPENDENCYPART_ARC
(29,33),0.531151 # DEPENDENCYPART_ARC
(29,34),0.774276 # DEPENDENCYPART_ARC
(29,35),0.512492 # DEPENDENCYPART_ARC
(29,36),-0.470975 # DEPENDENCYPART_ARC
(30,1),-2.79679 # DEPENDENCYPART_ARC
(30,2),-1.71005 # DEPENDENCYPART_ARC
(30,3),-2.9567 # DEPENDENCYPART_ARC
(30,4),-2.53393 # DEPENDENCYPART_ARC
(30,5),-2.58533 # DEPENDENCYPART_ARC
(30,6),-2.29422 # DEPENDENCYPART_ARC
(30,7),-2.42572 # DEPENDENCYPART_ARC
(30,8),-1.21831 # DEPENDENCYPART_ARC
(30,9),-1.56312 # DEPENDENCYPART_ARC
(30,10),-2.62701 # DEPENDENCYPART_ARC
(30,11),-1.69549 # DEPENDENCYPART_ARC
(30,12),-1.97869 # DEPENDENCYPART_ARC
(30,13),-1.93691 # DEPENDENCYPART_ARC
(30,14),-1.58571 # DEPENDENCYPART_ARC
(30,15),-2.21719 # DEPENDENCYPART_ARC
(30,16),-1.85424 # DEPENDENCYPART_ARC
(30,17),-2.35246 # DEPENDENCYPART_ARC
(30,18),-0.871473 # DEPENDENCYPART_ARC
(30,19),-2.27254 # DEPENDENCYPART_ARC
(30,20),-1.65615 # DEPENDENCYPART_ARC
(30,21),-1.76563 # DEPENDENCYPART_ARC
(30,22),-0.763188 # DEPENDENCYPART_ARC
(30,23),-2.23171 # DEPENDENCYPART_ARC
(30,24),-0.43976 # DEPENDENCYPART_ARC
(30,25),-0.886569 # DEPENDENCYPART_ARC
(30,26),-1.65652 # DEPENDENCYPART_ARC
(30,27),-2.39087 # DEPENDENCYPART_ARC
(30,28),0.0453435 # DEPENDENCYPART_ARC
(30,29),0.543024 # DEPENDENCYPART_ARC
(30,31),0.89766 # DEPENDENCYPART_ARC
(30,32),0.826111 # DEPENDENCYPART_ARC
(30,33),0.539534 # DEPENDENCYPART_ARC
(30,34),0.250968 # DEPENDENCYPART_ARC
(30,35),-0.277726 # DEPENDENCYPART_ARC
(30,36),-0.231007 # DEPENDENCYPART_ARC
(31,1),-2.99267 # DEPENDENCYPART_ARC
(31,2),-2.30961 # DEPENDENCYPART_ARC
(31,3),-3.23135 # DEPENDENCYPART_ARC
(31,4),-2.84523 # DEPENDENCYPART_ARC
(31,5),-1.87239 # DEPENDENCYPART_ARC
(31,6),-2.01698 # DEPENDENCYPART_ARC
(31,7),-1.58959 # DEPENDENCYPART_ARC
(31,8),-2.04941 # DEPENDENCYPART_ARC
(31,9),-2.53866 # DEPENDENCYPART_ARC
(31,10),-3.21013 # DEPENDENCYPART_ARC
(31,11),-1.7924 # DEPENDENCYPART_ARC
(31,12),-2.85884 # DEPENDENCYPART_ARC
(31,13),-2.87887 # DEPENDENCYPART_ARC
(31,14),-1.95946 # DEPENDENCYPART_ARC
(31,15),-2.60693 # DEPENDENCYPART_ARC
(31,16),-2.12461 # DEPENDENCYPART_ARC
(31,17),-2.72614 # DEPENDENCYPART_ARC
(31,18),-1.63924 # DEPENDENCYPART_ARC
(31,19),-2.80734 # DEPENDENCYPART_ARC
(31,20),-2.07586 # DEPENDENCYPART_ARC
(31,21),-2.48556 # DEPENDENCYPART_ARC
(31,22),-1.4984 # DEPENDENCYPART_ARC
(31,23),-2.79662 # DEPENDENCYPART_ARC
(31,24),-1.37955 # DEPENDENCYPART_ARC
(31,25),-1.34024 # DEPENDENCYPART_ARC
(31,26),-2.10644 # DEPENDENCYPART_ARC
(31,27),-2.5186 # DEPENDENCYPART_ARC
(31,28),-0.760436 # DEPENDENCYPART_ARC
(31,29),-1.35852 # DEPENDENCYPART_ARC
(31,30),-0.256606 # DEPENDENCYPART_ARC
(31,32),3.89087 # DEPENDENCYPART_ARC
(31,33),2.0387 # DEPENDENCYPART_ARC
(31,34),1.84733 # DEPENDENCYPART_ARC
(31,35),0.625845 # DEPENDENCYPART_ARC
(31,36),-0.232398 # DEPENDENCYPART_ARC
(32,1),-4.82858 # DEPENDENCYPART_ARC
(32,2),-4.50386 # DEPENDENCYPART_ARC
(32,3),-5.01869 # DEPENDENCYPART_ARC
(32,4),-3.39404 # DEPENDENCYPART_ARC
(32,5),-3.2765 # DEPENDENCYPART_ARC
(32,6),-2.51552 # DEPENDENCYPART_ARC
(32,7),-4.00703 # DEPENDENCYPART_ARC
(32,8),-5.55791 # DEPENDENCYPART_ARC
(32,9),-3.12309 # DEPENDENCYPART_ARC
(32,10),-5.18233 # DEPENDENCYPART_ARC
(32,11),-4.18083 # DEPENDENCYPART_ARC
(32,12),-3.61335 # DEPENDENCYPART_ARC
(32,13),-4.27347 # DEPENDENCYPART_ARC
(32,14),-3.61032 # DEPENDENCYPART_ARC
(32,15),-4.26167 # DEPENDENCYPART_ARC
(32,16),-3.79959 # DEPENDENCYPART_ARC
(32,17),-3.49591 # DEPENDENCYPART_ARC
(32,18),-2.87301 # DEPENDENCYPART_ARC
(32,19),-4.11515 # DEPENDENCYPART_ARC
(32,20),-3.66428 # DEPENDENCYPART_ARC
(32,21),-2.72273 # DEPENDENCYPART_ARC
(32,22),-2.29345 # DEPENDENCYPART_ARC
(32,23),-3.24412 # DEPENDENCYPART_ARC
(32,24),-1.87482 # DEPENDENCYPART_ARC
(32,25),-1.49838 # DEPENDENCYPART_ARC
(32,26),-2.72542 # DEPENDENCYPART_ARC
(32,27),-1.48453 # DEPENDENCYPART_ARC
(32,28),-0.972197 # DEPENDENCYPART_ARC
(32,29),-1.69835 # DEPENDENCYPART_ARC
(32,30),-0.336641 # DEPENDENCYPART_ARC
(32,31),0.691866 # DEPENDENCYPART_ARC
(32,33),1.13792 # DEPENDENCYPART_ARC
(32,34),1.08508 # DEPENDENCYPART_ARC
(32,35),1.08854 # DEPENDENCYPART_ARC
(32,36),-0.19738 # DEPENDENCYPART_ARC
(33,1),-4.43022 # DEPENDENCYPART_ARC
(33,2),-2.60882 # DEPENDENCYPART_ARC
(33,3),-4.22182 # DEPENDENCYPART_ARC
(33,4),-2.91939 # DEPENDENCYPART_ARC
(33,5),-2.16162 # DEPENDENCYPART_ARC
(33,6),-1.84449 # DEPENDENCYPART_ARC
(33,7),-2.39288 # DEPENDENCYPART_ARC
(33,8),-2.19591 # DEPENDENCYPART_ARC
(33,9),-2.61202 # DEPENDENCYPART_ARC
(33,10),-3.97892 # DEPENDENCYPART_ARC
(33,11),-2.41459 # DEPENDENCYPART_ARC
(33,12),-3.7946 # DEPENDENCYPART_ARC
(33,13),-3.59912 # DEPENDENCYPART_ARC
(33,14),-2.11225 # DEPENDENCYPART_ARC
(33,15),-3.45851 # DEPENDENCYPART_ARC
(33,16),-2.22315 # DEPENDENCYPART_ARC
(33,17),-3.32993 # DEPENDENCYPART_ARC
(33,18),-2.18507 # DEPENDENCYPART_ARC
(33,19),-3.2186 # DEPENDENCYPART_ARC
(33,20),-2.10064 # DEPENDENCYPART_ARC
(33,21),-2.73079 # DEPENDENCYPART_ARC
(33,22),-2.12784 # DEPENDENCYPART_ARC
(33,23),-2.87198 # DEPENDENCYPART_ARC
(33,24),-1.92439 # DEPENDENCYPART_ARC
(33,25),-1.90552 # DEPENDENCYPART_ARC
(33,26),-2.62472 # DEPENDENCYPART_ARC
(33,27),-2.52167 # DEPENDENCYPART_ARC
(33,28),-1.56068 # DEPENDENCYPART_ARC
(33,29),-2.10661 # DEPENDENCYPART_ARC
(33,30),-1.59579 # DEPENDENCYPART_ARC
(33,31),-0.939487 # DEPENDENCYPART_ARC
(33,32),-0.604291 # DEPENDENCYPART_ARC
(33,34),-0.616595 # DEPENDENCYPART_ARC
(33,35),-0.336262 # DEPENDENCYPART_ARC
(33,36),-0.474168 # DEPENDENCYPART_ARC
(34,1),-4.17722 # DEPENDENCYPART_ARC
(34,2),-3.46276 # DEPENDENCYPART_ARC
(34,3),-3.89483 # DEPENDENCYPART_ARC
(34,4),-3.7539 # DEPENDENCYPART_ARC
(34,5),-2.88798 # DEPENDENCYPART_ARC
(34,6),-3.00321 # DEPENDENCYPART_ARC
(34,7),-2.66034 # DEPENDENCYPART_ARC
(34,8),-2.86756 # DEPENDENCYPART_ARC
(34,9),-3.15823 # DEPENDENCYPART_ARC
(34,10),-3.76085 # DEPENDENCYPART_ARC
(34,11),-3.00591 # DEPENDENCYPART_ARC
(34,12),-4.02921 # DEPENDENCYPART_ARC
(34,13),-3.97312 # DEPENDENCYPART_ARC
(34,14),-3.01445 # DEPENDENCYPART_ARC
(34,15),-3.64246 # DEPENDENCYPART_ARC
(34,16),-3.15769 # DEPENDENCYPART_ARC
(34,17),-3.99943 # DEPENDENCYPART_ARC
(34,18),-2.81574 # DEPENDENCYPART_ARC
(34,19),-3.48426 # DEPENDENCYPART_ARC
(34,20),-3.17896 # DEPENDENCYPART_ARC
(34,21),-3.51452 # DEPENDENCYPART_ARC
(34,22),-2.68593 # DEPENDENCYPART_ARC
(34,23),-3.76415 # DEPENDENCYPART_ARC
(34,24),-2.56467 # DEPENDENCYPART_ARC
(34,25),-3.06115 # DEPENDENCYPART_ARC
(34,26),-3.68722 # DEPENDENCYPART_ARC
(34,27),-4.14736 # DEPENDENCYPART_ARC
(34,28),-2.40088 # DEPENDENCYPART_ARC
(34,29),-3.09111 # DEPENDENCYPART_ARC
(34,30),-2.65776 # DEPENDENCYPART_ARC
(34,31),-1.74953 # DEPENDENCYPART_ARC
(34,32),-2.44493 # DEPENDENCYPART_ARC
(34,33),-0.0450338 # DEPENDENCYPART_ARC
(34,35),4.14963 # DEPENDENCYPART_ARC
(34,36),-0.0783969 # DEPENDENCYPART_ARC
(35,1),-5.53533 # DEPENDENCYPART_ARC
(35,2),-4.91671 # DEPENDENCYPART_ARC
(35,3),-4.74296 # DEPENDENCYPART_ARC
(35,4),-3.23412 # DEPENDENCYPART_ARC
(35,5),-3.48673 # DEPENDENCYPART_ARC
(35,6),-2.8166 # DEPENDENCYPART_ARC
(35,7),-4.33141 # DEPENDENCYPART_ARC
(35,8),-5.81405 # DEPENDENCYPART_ARC
(35,9),-2.54374 # DEPENDENCYPART_ARC
(35,10),-4.92271 # DEPENDENCYPART_ARC
(35,11),-4.55039 # DEPENDENCYPART_ARC
(35,12),-3.81427 # DEPENDENCYPART_ARC
(35,13),-5.01981 # DEPENDENCYPART_ARC
(35,14),-3.72998 # DEPENDENCYPART_ARC
(35,15),-5.09935 # DEPENDENCYPART_ARC
(35,16),-3.75552 # DEPENDENCYPART_ARC
(35,17),-4.24836 # DEPENDENCYPART_ARC
(35,18),-3.17126 # DEPENDENCYPART_ARC
(35,19),-3.97251 # DEPENDENCYPART_ARC
(35,20),-3.83196 # DEPENDENCYPART_ARC
(35,21),-2.90569 # DEPENDENCYPART_ARC
(35,22),-2.66093 # DEPENDENCYPART_ARC
(35,23),-2.99188 # DEPENDENCYPART_ARC
(35,24),-2.4393 # DEPENDENCYPART_ARC
(35,25),-3.12932 # DEPENDENCYPART_ARC
(35,26),-3.56701 # DEPENDENCYPART_ARC
(35,27),-2.32135 # DEPENDENCYPART_ARC
(35,28),-1.86911 # DEPENDENCYPART_ARC
(35,29),-3.04456 # DEPENDENCYPART_ARC
(35,30),-1.52735 # DEPENDENCYPART_ARC
(35,31),-1.24131 # DEPENDENCYPART_ARC
(35,32),-2.24878 # DEPENDENCYPART_ARC
(35,33),-0.85399 # DEPENDENCYPART_ARC
(35,34),0.436073 # DEPENDENCYPART_ARC
(35,36),2.8468 # DEPENDENCYPART_ARC
(36,1),-3.06901 # DEPENDENCYPART_ARC
(36,2),-2.54574 # DEPENDENCYPART_ARC
(36,3),-3.10503 # DEPENDENCYPART_ARC
(36,4),-3.19268 # DEPENDENCYPART_ARC
(36,5),-2.77225 # DEPENDENCYPART_ARC
(36,6),-2.60246 # DEPENDENCYPART_ARC
(36,7),-2.39884 # DEPENDENCYPART_ARC
(36,8),-2.3875 # DEPENDENCYPART_ARC
(36,9),-2.79408 # DEPENDENCYPART_ARC
(36,10),-2.87415 # DEPENDENCYPART_ARC
(36,11),-2.42022 # DEPENDENCYPART_ARC
(36,12),-2.87261 # DEPENDENCYPART_ARC
(36,13),-2.98584 # DEPENDENCYPART_ARC
(36,14),-2.52866 # DEPENDENCYPART_ARC
(36,15),-2.95034 # DEPENDENCYPART_ARC
(36,16),-2.43581 # DEPENDENCYPART_ARC
(36,17),-2.72729 # DEPENDENCYPART_ARC
(36,18),-2.26139 # DEPENDENCYPART_ARC
(36,19),-2.8237 # DEPENDENCYPART_ARC
(36,20),-2.43196 # DEPENDENCYPART_ARC
(36,21),-3.06338 # DEPENDENCYPART_ARC
(36,22),-2.30432 # DEPENDENCYPART_ARC
(36,23),-2.67057 # DEPENDENCYPART_ARC
(36,24),-2.17279 # DEPENDENCYPART_ARC
(36,25),-2.28507 # DEPENDENCYPART_ARC
(36,26),-2.6725 # DEPENDENCYPART_ARC
(36,27),-2.85846 # DEPENDENCYPART_ARC
(36,28),-1.9601 # DEPENDENCYPART_ARC
(36,29),-2.44044 # DEPENDENCYPART_ARC
(36,30),-2.36133 # DEPENDENCYPART_ARC
(36,31),-1.71104 # DEPENDENCYPART_ARC
(36,32),-2.17926 # DEPENDENCYPART_ARC
(36,33),-1.5007 # DEPENDENCYPART_ARC
(36,34),-1.09975 # DEPENDENCYPART_ARC
(36,35),-0.818931 # DEPENDENCYPART_ARC
