# _root_ La scultura è del pachistano Hamad Butt : intitolata " Riti di Passaggio " , ha la forma di una scala e nei tubi contiene iodio , che scaldato dalle luci si è trasformato in gas .
#goldHeads=2,3,0,3,7,7,4,7,2,11,9,11,12,13,14,0,18,16,18,21,19,16,25,23,16,25,26,34,34,29,30,34,34,26,34,35,36,
#predictedHeads=2,3,0,3,4,4,6,7,7,11,9,11,12,13,14,0,18,16,18,21,19,19,25,23,0,25,26,29,26,29,30,34,34,26,34,35,36,
(33,22),-1.25771 # DEPENDENCYPART_ARC
(33,23),-0.976438 # DEPENDENCYPART_ARC
(33,24),-1.83078 # DEPENDENCYPART_ARC
(33,25),-1.72051 # DEPENDENCYPART_ARC
(33,26),-0.707275 # DEPENDENCYPART_ARC
(33,27),-2.53731 # DEPENDENCYPART_ARC
(33,28),0.895106 # DEPENDENCYPART_ARC
(33,29),-0.540238 # DEPENDENCYPART_ARC
(33,30),-0.234718 # DEPENDENCYPART_ARC
(33,31),-0.524498 # DEPENDENCYPART_ARC
(33,32),2.51604 # DEPENDENCYPART_ARC
(33,34),0.978129 # DEPENDENCYPART_ARC
(33,35),0.750194 # DEPENDENCYPART_ARC
(33,36),-0.287799 # DEPENDENCYPART_ARC
(33,37),-0.680488 # DEPENDENCYPART_ARC
(34,1),-1.348 # DEPENDENCYPART_ARC
(34,2),-1.0501 # DEPENDENCYPART_ARC
(34,3),-2.72271 # DEPENDENCYPART_ARC
(34,4),-5.10484 # DEPENDENCYPART_ARC
(34,5),-1.50628 # DEPENDENCYPART_ARC
(34,6),-0.90924 # DEPENDENCYPART_ARC
(34,7),-1.2784 # DEPENDENCYPART_ARC
(34,8),-2.58643 # DEPENDENCYPART_ARC
(34,9),-1.87212 # DEPENDENCYPART_ARC
(34,10),-2.12683 # DEPENDENCYPART_ARC
(34,11),-1.01793 # DEPENDENCYPART_ARC
(34,12),-3.31773 # DEPENDENCYPART_ARC
(34,13),-1.65105 # DEPENDENCYPART_ARC
(34,14),-2.02132 # DEPENDENCYPART_ARC
(34,15),-2.4419 # DEPENDENCYPART_ARC
(34,16),-0.267731 # DEPENDENCYPART_ARC
(34,17),-0.88384 # DEPENDENCYPART_ARC
(34,18),-0.523206 # DEPENDENCYPART_ARC
(34,19),-2.08294 # DEPENDENCYPART_ARC
(34,20),-0.793276 # DEPENDENCYPART_ARC
(34,21),-0.212761 # DEPENDENCYPART_ARC
(34,22),-0.903672 # DEPENDENCYPART_ARC
(34,23),-0.345347 # DEPENDENCYPART_ARC
(34,24),0.0185879 # DEPENDENCYPART_ARC
(34,25),0.397908 # DEPENDENCYPART_ARC
(34,26),0.00274311 # DEPENDENCYPART_ARC
(34,27),-1.85173 # DEPENDENCYPART_ARC
(34,28),1.74526 # DEPENDENCYPART_ARC
(34,29),-0.391163 # DEPENDENCYPART_ARC
(34,30),0.503818 # DEPENDENCYPART_ARC
(34,31),0.698538 # DEPENDENCYPART_ARC
(34,32),3.752 # DEPENDENCYPART_ARC
(34,33),4.67477 # DEPENDENCYPART_ARC
(34,35),3.06307 # DEPENDENCYPART_ARC
(34,36),1.68492 # DEPENDENCYPART_ARC
(34,37),0.440681 # DEPENDENCYPART_ARC
(35,1),-2.44052 # DEPENDENCYPART_ARC
(35,2),-3.02002 # DEPENDENCYPART_ARC
(35,3),-3.30827 # DEPENDENCYPART_ARC
(35,4),-2.90655 # DEPENDENCYPART_ARC
(35,5),-2.7333 # DEPENDENCYPART_ARC
(35,6),-2.84715 # DEPENDENCYPART_ARC
(35,7),-2.77663 # DEPENDENCYPART_ARC
(35,8),-2.2692 # DEPENDENCYPART_ARC
(35,9),-3.06473 # DEPENDENCYPART_ARC
(35,10),-2.35462 # DEPENDENCYPART_ARC
(35,11),-2.8008 # DEPENDENCYPART_ARC
(35,12),-2.70262 # DEPENDENCYPART_ARC
(35,13),-2.73693 # DEPENDENCYPART_ARC
(35,14),-2.3243 # DEPENDENCYPART_ARC
(35,15),-2.14775 # DEPENDENCYPART_ARC
(35,16),-2.94122 # DEPENDENCYPART_ARC
(35,17),-2.21598 # DEPENDENCYPART_ARC
(35,18),-2.6653 # DEPENDENCYPART_ARC
(35,19),-2.3851 # DEPENDENCYPART_ARC
(35,20),-2.22089 # DEPENDENCYPART_ARC
(35,21),-2.6052 # DEPENDENCYPART_ARC
(35,22),-1.98212 # DEPENDENCYPART_ARC
(35,23),-2.04267 # DEPENDENCYPART_ARC
(35,24),-2.53757 # DEPENDENCYPART_ARC
(35,25),-2.8427 # DEPENDENCYPART_ARC
(35,26),-2.3152 # DEPENDENCYPART_ARC
(35,27),-2.09453 # DEPENDENCYPART_ARC
(35,28),-2.10023 # DEPENDENCYPART_ARC
(35,29),-2.66305 # DEPENDENCYPART_ARC
(35,30),-1.3997 # DEPENDENCYPART_ARC
(35,31),-1.84918 # DEPENDENCYPART_ARC
(35,32),-1.40517 # DEPENDENCYPART_ARC
(35,33),-1.36862 # DEPENDENCYPART_ARC
(35,34),-0.506582 # DEPENDENCYPART_ARC
(35,36),4.41678 # DEPENDENCYPART_ARC
(35,37),-0.041125 # DEPENDENCYPART_ARC
(36,1),-8.1157 # DEPENDENCYPART_ARC
(36,2),-6.40278 # DEPENDENCYPART_ARC
(36,3),-4.07626 # DEPENDENCYPART_ARC
(36,4),-3.42535 # DEPENDENCYPART_ARC
(36,5),-4.1248 # DEPENDENCYPART_ARC
(36,6),-3.82457 # DEPENDENCYPART_ARC
(36,7),-4.71435 # DEPENDENCYPART_ARC
(36,8),-3.97014 # DEPENDENCYPART_ARC
(36,9),-2.27092 # DEPENDENCYPART_ARC
(36,10),-3.12605 # DEPENDENCYPART_ARC
(36,11),-4.66308 # DEPENDENCYPART_ARC
(36,12),-4.03545 # DEPENDENCYPART_ARC
(36,13),-5.09492 # DEPENDENCYPART_ARC
(36,14),-3.10151 # DEPENDENCYPART_ARC
(36,15),-4.04682 # DEPENDENCYPART_ARC
(36,16),-3.43555 # DEPENDENCYPART_ARC
(36,17),-4.60616 # DEPENDENCYPART_ARC
(36,18),-5.02551 # DEPENDENCYPART_ARC
(36,19),-3.36919 # DEPENDENCYPART_ARC
(36,20),-4.03148 # DEPENDENCYPART_ARC
(36,21),-5.01506 # DEPENDENCYPART_ARC
(36,22),-2.83724 # DEPENDENCYPART_ARC
(36,23),-2.70456 # DEPENDENCYPART_ARC
(36,24),-3.23063 # DEPENDENCYPART_ARC
(36,25),-3.58921 # DEPENDENCYPART_ARC
(36,26),-4.31656 # DEPENDENCYPART_ARC
(36,27),-3.31592 # DEPENDENCYPART_ARC
(36,28),-2.09627 # DEPENDENCYPART_ARC
(36,29),-1.75896 # DEPENDENCYPART_ARC
(36,30),-1.76325 # DEPENDENCYPART_ARC
(36,31),-2.40174 # DEPENDENCYPART_ARC
(36,32),-1.06196 # DEPENDENCYPART_ARC
(36,33),-2.33317 # DEPENDENCYPART_ARC
(36,34),-0.390523 # DEPENDENCYPART_ARC
(36,35),0.558876 # DEPENDENCYPART_ARC
(36,37),2.49935 # DEPENDENCYPART_ARC
(37,1),-2.14349 # DEPENDENCYPART_ARC
(37,8),-2.14192 # DEPENDENCYPART_ARC
(37,10),-2.3136 # DEPENDENCYPART_ARC
(37,14),-2.34317 # DEPENDENCYPART_ARC
(37,15),-2.14547 # DEPENDENCYPART_ARC
(37,17),-1.8789 # DEPENDENCYPART_ARC
(37,20),-1.86876 # DEPENDENCYPART_ARC
(37,27),-1.93167 # DEPENDENCYPART_ARC
