# _root_ Lo volle Carlo III di Borbone per la sua Reggia di Caserta e noi , turisti casuali capitati in un giorno qualsiasi , lo ritroviamo intatto e immenso qual era : con i prati rasati di fresco e le peschiere ben pulite .
#goldHeads=2,0,2,3,3,5,2,10,10,7,10,11,2,25,14,14,16,16,18,21,19,21,22,25,2,25,26,26,30,25,30,25,34,32,34,35,36,37,40,37,42,40,42,
#predictedHeads=2,0,4,2,4,5,2,10,10,7,10,11,10,4,14,14,16,16,18,21,19,21,22,25,18,25,26,26,30,25,30,30,34,32,34,35,36,35,40,35,42,40,42,
(29,23),-1.46729 # DEPENDENCYPART_ARC
(29,25),-2.54904 # DEPENDENCYPART_ARC
(29,27),-0.35587 # DEPENDENCYPART_ARC
(29,30),0.743171 # DEPENDENCYPART_ARC
(29,31),-0.423879 # DEPENDENCYPART_ARC
(29,32),-0.932395 # DEPENDENCYPART_ARC
(29,33),-1.45241 # DEPENDENCYPART_ARC
(29,34),-1.021 # DEPENDENCYPART_ARC
(29,35),-0.843915 # DEPENDENCYPART_ARC
(29,36),-1.40856 # DEPENDENCYPART_ARC
(29,38),-0.906039 # DEPENDENCYPART_ARC
(29,39),-2.15625 # DEPENDENCYPART_ARC
(29,40),-1.67958 # DEPENDENCYPART_ARC
(29,41),-1.90429 # DEPENDENCYPART_ARC
(29,42),-2.12059 # DEPENDENCYPART_ARC
(29,43),-1.58976 # DEPENDENCYPART_ARC
(30,1),-2.5924 # DEPENDENCYPART_ARC
(30,2),-3.38821 # DEPENDENCYPART_ARC
(30,3),-0.789115 # DEPENDENCYPART_ARC
(30,4),-0.446129 # DEPENDENCYPART_ARC
(30,5),-2.98168 # DEPENDENCYPART_ARC
(30,6),-0.770496 # DEPENDENCYPART_ARC
(30,7),-0.908388 # DEPENDENCYPART_ARC
(30,8),-1.83077 # DEPENDENCYPART_ARC
(30,9),-1.35412 # DEPENDENCYPART_ARC
(30,10),-1.02458 # DEPENDENCYPART_ARC
(30,11),-2.74288 # DEPENDENCYPART_ARC
(30,12),-0.833586 # DEPENDENCYPART_ARC
(30,13),-1.8455 # DEPENDENCYPART_ARC
(30,14),-0.991006 # DEPENDENCYPART_ARC
(30,15),-2.5994 # DEPENDENCYPART_ARC
(30,16),-1.30287 # DEPENDENCYPART_ARC
(30,17),-1.77955 # DEPENDENCYPART_ARC
(30,18),-2.12864 # DEPENDENCYPART_ARC
(30,19),-0.219202 # DEPENDENCYPART_ARC
(30,20),-1.14332 # DEPENDENCYPART_ARC
(30,21),0.633796 # DEPENDENCYPART_ARC
(30,22),-1.15236 # DEPENDENCYPART_ARC
(30,23),-2.2343 # DEPENDENCYPART_ARC
(30,24),0.478171 # DEPENDENCYPART_ARC
(30,25),-0.174896 # DEPENDENCYPART_ARC
(30,26),-0.660789 # DEPENDENCYPART_ARC
(30,27),-0.289176 # DEPENDENCYPART_ARC
(30,28),0.0807027 # DEPENDENCYPART_ARC
(30,29),2.5117 # DEPENDENCYPART_ARC
(30,31),1.52838 # DEPENDENCYPART_ARC
(30,32),1.15591 # DEPENDENCYPART_ARC
(30,33),-1.11956 # DEPENDENCYPART_ARC
(30,34),0.654941 # DEPENDENCYPART_ARC
(30,35),0.24665 # DEPENDENCYPART_ARC
(30,36),-0.676564 # DEPENDENCYPART_ARC
(30,37),-1.22648 # DEPENDENCYPART_ARC
(30,38),0.108046 # DEPENDENCYPART_ARC
(30,39),-1.97583 # DEPENDENCYPART_ARC
(30,40),-0.687397 # DEPENDENCYPART_ARC
(30,41),-1.06123 # DEPENDENCYPART_ARC
(30,42),-0.125266 # DEPENDENCYPART_ARC
(30,43),-0.949412 # DEPENDENCYPART_ARC
(31,8),-1.43368 # DEPENDENCYPART_ARC
(31,15),-1.55512 # DEPENDENCYPART_ARC
(31,20),-1.26974 # DEPENDENCYPART_ARC
(31,23),-1.2575 # DEPENDENCYPART_ARC
(31,33),-0.581145 # DEPENDENCYPART_ARC
(31,39),-1.29968 # DEPENDENCYPART_ARC
(31,43),-1.21888 # DEPENDENCYPART_ARC
(32,1),-3.56101 # DEPENDENCYPART_ARC
(32,2),-4.02112 # DEPENDENCYPART_ARC
(32,3),-3.62338 # DEPENDENCYPART_ARC
(32,4),-3.59145 # DEPENDENCYPART_ARC
(32,5),-3.65356 # DEPENDENCYPART_ARC
(32,6),-3.53464 # DEPENDENCYPART_ARC
(32,7),-3.75902 # DEPENDENCYPART_ARC
(32,8),-3.23189 # DEPENDENCYPART_ARC
(32,9),-3.72297 # DEPENDENCYPART_ARC
(32,10),-3.59927 # DEPENDENCYPART_ARC
(32,11),-3.45016 # DEPENDENCYPART_ARC
(32,12),-3.44449 # DEPENDENCYPART_ARC
(32,13),-2.5671 # DEPENDENCYPART_ARC
(32,14),-3.36558 # DEPENDENCYPART_ARC
(32,15),-3.1889 # DEPENDENCYPART_ARC
(32,16),-3.46165 # DEPENDENCYPART_ARC
(32,17),-3.5974 # DEPENDENCYPART_ARC
(32,18),-3.82765 # DEPENDENCYPART_ARC
(32,19),-3.09155 # DEPENDENCYPART_ARC
(32,20),-2.99381 # DEPENDENCYPART_ARC
(32,21),-3.2982 # DEPENDENCYPART_ARC
(32,22),-2.83517 # DEPENDENCYPART_ARC
(32,23),-2.89661 # DEPENDENCYPART_ARC
(32,24),-3.02527 # DEPENDENCYPART_ARC
(32,25),-3.54637 # DEPENDENCYPART_ARC
(32,26),-3.26695 # DEPENDENCYPART_ARC
(32,27),-2.21591 # DEPENDENCYPART_ARC
(32,28),-2.9925 # DEPENDENCYPART_ARC
(32,29),-2.35862 # DEPENDENCYPART_ARC
(32,30),-2.23568 # DEPENDENCYPART_ARC
(32,31),-0.757912 # DEPENDENCYPART_ARC
(32,33),0.717541 # DEPENDENCYPART_ARC
(32,34),3.42 # DEPENDENCYPART_ARC
(32,35),0.418314 # DEPENDENCYPART_ARC
(32,36),-0.339981 # DEPENDENCYPART_ARC
(32,37),-0.0377926 # DEPENDENCYPART_ARC
(32,38),0.0794051 # DEPENDENCYPART_ARC
(32,39),-0.876636 # DEPENDENCYPART_ARC
(32,40),-0.867892 # DEPENDENCYPART_ARC
(32,41),-1.2079 # DEPENDENCYPART_ARC
(32,42),-0.227599 # DEPENDENCYPART_ARC
(32,43),-0.980776 # DEPENDENCYPART_ARC
(33,2),-4.5934 # DEPENDENCYPART_ARC
(33,5),-3.61495 # DEPENDENCYPART_ARC
(33,7),-3.35282 # DEPENDENCYPART_ARC
(33,10),-4.25632 # DEPENDENCYPART_ARC
(33,11),-3.44103 # DEPENDENCYPART_ARC
(33,15),-2.61732 # DEPENDENCYPART_ARC
(33,16),-2.84414 # DEPENDENCYPART_ARC
(33,18),-3.37969 # DEPENDENCYPART_ARC
(33,19),-2.93358 # DEPENDENCYPART_ARC
(33,21),-3.40675 # DEPENDENCYPART_ARC
(33,23),-2.45443 # DEPENDENCYPART_ARC
(33,25),-3.99608 # DEPENDENCYPART_ARC
(33,30),-3.44021 # DEPENDENCYPART_ARC
(33,31),-1.03832 # DEPENDENCYPART_ARC
(33,32),-0.4449 # DEPENDENCYPART_ARC
(33,34),1.23984 # DEPENDENCYPART_ARC
(33,35),0.108945 # DEPENDENCYPART_ARC
(33,36),-0.411641 # DEPENDENCYPART_ARC
(33,40),-0.991357 # DEPENDENCYPART_ARC
(33,42),-1.30757 # DEPENDENCYPART_ARC
(33,43),-0.894057 # DEPENDENCYPART_ARC
(34,1),-3.26526 # DEPENDENCYPART_ARC
(34,2),-3.84746 # DEPENDENCYPART_ARC
(34,3),-2.94935 # DEPENDENCYPART_ARC
(34,4),-3.5021 # DEPENDENCYPART_ARC
(34,5),-2.82322 # DEPENDENCYPART_ARC
(34,6),-3.09515 # DEPENDENCYPART_ARC
(34,7),-1.85375 # DEPENDENCYPART_ARC
(34,8),-4.75924 # DEPENDENCYPART_ARC
(34,9),-2.66107 # DEPENDENCYPART_ARC
(34,10),-4.08153 # DEPENDENCYPART_ARC
(34,11),-2.38705 # DEPENDENCYPART_ARC
(34,12),-3.00787 # DEPENDENCYPART_ARC
(34,13),-2.02696 # DEPENDENCYPART_ARC
(34,14),-2.04841 # DEPENDENCYPART_ARC
(34,15),-3.00712 # DEPENDENCYPART_ARC
(34,16),-1.76522 # DEPENDENCYPART_ARC
(34,17),-2.19015 # DEPENDENCYPART_ARC
(34,18),-0.879971 # DEPENDENCYPART_ARC
(34,19),-1.65305 # DEPENDENCYPART_ARC
(34,20),-2.11314 # DEPENDENCYPART_ARC
(34,21),-2.7752 # DEPENDENCYPART_ARC
(34,22),-0.831296 # DEPENDENCYPART_ARC
(34,23),-2.82757 # DEPENDENCYPART_ARC
(34,24),-2.11339 # DEPENDENCYPART_ARC
(34,25),-2.96918 # DEPENDENCYPART_ARC
(34,26),-1.78638 # DEPENDENCYPART_ARC
(34,27),-1.3061 # DEPENDENCYPART_ARC
(34,28),-2.15193 # DEPENDENCYPART_ARC
(34,29),-1.4491 # DEPENDENCYPART_ARC
(34,30),-2.78682 # DEPENDENCYPART_ARC
(34,31),-1.33883 # DEPENDENCYPART_ARC
(34,32),0.752698 # DEPENDENCYPART_ARC
(34,33),4.0206 # DEPENDENCYPART_ARC
(34,35),3.31927 # DEPENDENCYPART_ARC
(34,36),0.926122 # DEPENDENCYPART_ARC
(34,37),-0.675321 # DEPENDENCYPART_ARC
(34,38),0.516177 # DEPENDENCYPART_ARC
(34,39),-0.017579 # DEPENDENCYPART_ARC
(34,40),0.248627 # DEPENDENCYPART_ARC
(34,41),-0.922237 # DEPENDENCYPART_ARC
(34,42),-0.00166061 # DEPENDENCYPART_ARC
(34,43),-0.991154 # DEPENDENCYPART_ARC
(35,1),-4.10216 # DEPENDENCYPART_ARC
(35,2),-3.03351 # DEPENDENCYPART_ARC
(35,3),-3.27125 # DEPENDENCYPART_ARC
(35,4),-3.38175 # DEPENDENCYPART_ARC
(35,5),-3.67677 # DEPENDENCYPART_ARC
(35,6),-3.30773 # DEPENDENCYPART_ARC
(35,7),-1.5454 # DEPENDENCYPART_ARC
(35,8),-2.20972 # DEPENDENCYPART_ARC
(35,9),-2.22522 # DEPENDENCYPART_ARC
(35,10),-3.81259 # DEPENDENCYPART_ARC
(35,11),-3.52619 # DEPENDENCYPART_ARC
(35,12),-3.30927 # DEPENDENCYPART_ARC
(35,13),-1.83528 # DEPENDENCYPART_ARC
(35,14),-0.932974 # DEPENDENCYPART_ARC
(35,15),-2.90069 # DEPENDENCYPART_ARC
(35,16),-1.4546 # DEPENDENCYPART_ARC
(35,17),-1.61817 # DEPENDENCYPART_ARC
(35,18),-0.836717 # DEPENDENCYPART_ARC
(35,19),-0.692414 # DEPENDENCYPART_ARC
(35,20),-1.16498 # DEPENDENCYPART_ARC
(35,21),-1.61291 # DEPENDENCYPART_ARC
(35,22),-2.05074 # DEPENDENCYPART_ARC
(35,23),-2.53783 # DEPENDENCYPART_ARC
(35,24),-1.44273 # DEPENDENCYPART_ARC
(35,25),-0.780649 # DEPENDENCYPART_ARC
(35,26),-1.75654 # DEPENDENCYPART_ARC
(35,27),-0.562602 # DEPENDENCYPART_ARC
(35,28),-1.61776 # DEPENDENCYPART_ARC
(35,29),-0.409611 # DEPENDENCYPART_ARC
(35,30),-0.892232 # DEPENDENCYPART_ARC
(35,31),-1.28095 # DEPENDENCYPART_ARC
(35,32),1.47357 # DEPENDENCYPART_ARC
(35,33),1.25874 # DEPENDENCYPART_ARC
(35,34),1.63499 # DEPENDENCYPART_ARC
(35,36),1.96453 # DEPENDENCYPART_ARC
(35,37),0.6857 # DEPENDENCYPART_ARC
(35,38),1.23652 # DEPENDENCYPART_ARC
(35,39),-1.00153 # DEPENDENCYPART_ARC
(35,40),0.87516 # DEPENDENCYPART_ARC
(35,41),0.0126559 # DEPENDENCYPART_ARC
(35,42),0.757939 # DEPENDENCYPART_ARC
(35,43),-0.241111 # DEPENDENCYPART_ARC
(36,1),-2.69409 # DEPENDENCYPART_ARC
(36,2),-3.32274 # DEPENDENCYPART_ARC
(36,3),-2.88143 # DEPENDENCYPART_ARC
(36,4),-2.86721 # DEPENDENCYPART_ARC
(36,5),-2.90004 # DEPENDENCYPART_ARC
(36,6),-2.74669 # DEPENDENCYPART_ARC
(36,7),-2.99177 # DEPENDENCYPART_ARC
(36,8),-2.41889 # DEPENDENCYPART_ARC
(36,9),-2.8369 # DEPENDENCYPART_ARC
(36,10),-2.69528 # DEPENDENCYPART_ARC
(36,11),-2.66886 # DEPENDENCYPART_ARC
(36,12),-2.63533 # DEPENDENCYPART_ARC
(36,13),-1.89383 # DEPENDENCYPART_ARC
(36,14),-2.66841 # DEPENDENCYPART_ARC
(36,15),-2.49288 # DEPENDENCYPART_ARC
(36,16),-2.57915 # DEPENDENCYPART_ARC
(36,17),-2.65912 # DEPENDENCYPART_ARC
(36,18),-3.10936 # DEPENDENCYPART_ARC
(36,19),-2.48075 # DEPENDENCYPART_ARC
(36,20),-2.35296 # DEPENDENCYPART_ARC
(36,21),-2.53844 # DEPENDENCYPART_ARC
(36,22),-2.17186 # DEPENDENCYPART_ARC
(36,23),-2.28673 # DEPENDENCYPART_ARC
(36,24),-2.39526 # DEPENDENCYPART_ARC
(36,25),-2.95299 # DEPENDENCYPART_ARC
(36,26),-2.51523 # DEPENDENCYPART_ARC
(36,27),-1.47005 # DEPENDENCYPART_ARC
(36,28),-2.45464 # DEPENDENCYPART_ARC
(36,29),-2.12935 # DEPENDENCYPART_ARC
(36,30),-2.74631 # DEPENDENCYPART_ARC
(36,31),-1.72546 # DEPENDENCYPART_ARC
(36,32),-1.37226 # DEPENDENCYPART_ARC
(36,33),-1.2883 # DEPENDENCYPART_ARC
(36,34),-1.36461 # DEPENDENCYPART_ARC
(36,35),-0.558914 # DEPENDENCYPART_ARC
(36,37),2.59539 # DEPENDENCYPART_ARC
(36,38),0.94446 # DEPENDENCYPART_ARC
(36,39),-0.178434 # DEPENDENCYPART_ARC
(36,40),0.812966 # DEPENDENCYPART_ARC
(36,41),-0.340733 # DEPENDENCYPART_ARC
(36,42),0.316652 # DEPENDENCYPART_ARC
(36,43),-0.40256 # DEPENDENCYPART_ARC
(37,1),-2.8072 # DEPENDENCYPART_ARC
(37,2),-4.09487 # DEPENDENCYPART_ARC
(37,3),-3.63293 # DEPENDENCYPART_ARC
(37,4),-3.63783 # DEPENDENCYPART_ARC
(37,5),-3.14071 # DEPENDENCYPART_ARC
(37,6),-3.60005 # DEPENDENCYPART_ARC
(37,7),-2.72393 # DEPENDENCYPART_ARC
(37,8),-2.36062 # DEPENDENCYPART_ARC
(37,9),-3.01978 # DEPENDENCYPART_ARC
(37,10),-3.76659 # DEPENDENCYPART_ARC
(37,11),-2.77624 # DEPENDENCYPART_ARC
(37,12),-3.38042 # DEPENDENCYPART_ARC
(37,13),-3.2577 # DEPENDENCYPART_ARC
(37,14),-2.10678 # DEPENDENCYPART_ARC
(37,15),-2.93191 # DEPENDENCYPART_ARC
(37,16),-3.15491 # DEPENDENCYPART_ARC
(37,17),-2.50682 # DEPENDENCYPART_ARC
(37,18),-4.09828 # DEPENDENCYPART_ARC
(37,19),-2.05564 # DEPENDENCYPART_ARC
(37,20),-2.11099 # DEPENDENCYPART_ARC
(37,21),-3.04161 # DEPENDENCYPART_ARC
(37,22),-2.07129 # DEPENDENCYPART_ARC
(37,23),-2.75308 # DEPENDENCYPART_ARC
(37,24),-2.39979 # DEPENDENCYPART_ARC
(37,25),-3.27193 # DEPENDENCYPART_ARC
(37,26),-2.88744 # DEPENDENCYPART_ARC
(37,27),-2.43614 # DEPENDENCYPART_ARC
(37,28),-2.73952 # DEPENDENCYPART_ARC
(37,29),-2.2932 # DEPENDENCYPART_ARC
(37,30),-2.82187 # DEPENDENCYPART_ARC
(37,31),-2.04875 # DEPENDENCYPART_ARC
(37,32),-1.4033 # DEPENDENCYPART_ARC
(37,33),-1.34029 # DEPENDENCYPART_ARC
(37,34),-1.90172 # DEPENDENCYPART_ARC
(37,35),-1.98979 # DEPENDENCYPART_ARC
(37,36),0.440204 # DEPENDENCYPART_ARC
(37,38),0.514094 # DEPENDENCYPART_ARC
(37,39),-0.960783 # DEPENDENCYPART_ARC
(37,40),-0.624399 # DEPENDENCYPART_ARC
(37,41),-0.805957 # DEPENDENCYPART_ARC
(37,42),-0.594099 # DEPENDENCYPART_ARC
(37,43),-0.810072 # DEPENDENCYPART_ARC
(38,1),-0.97846 # DEPENDENCYPART_ARC
(38,2),-2.88282 # DEPENDENCYPART_ARC
(38,3),-3.74452 # DEPENDENCYPART_ARC
(38,4),-3.66512 # DEPENDENCYPART_ARC
(38,5),-2.4058 # DEPENDENCYPART_ARC
(38,6),-3.53543 # DEPENDENCYPART_ARC
(38,7),-2.37477 # DEPENDENCYPART_ARC
(38,10),-3.27146 # DEPENDENCYPART_ARC
(38,11),-2.25134 # DEPENDENCYPART_ARC
(38,12),-3.13848 # DEPENDENCYPART_ARC
(38,13),-1.79419 # DEPENDENCYPART_ARC
(38,14),-1.15922 # DEPENDENCYPART_ARC
(38,15),-2.04703 # DEPENDENCYPART_ARC
(38,16),-3.01908 # DEPENDENCYPART_ARC
(38,17),-2.40982 # DEPENDENCYPART_ARC
(38,18),-2.67375 # DEPENDENCYPART_ARC
(38,19),-1.94399 # DEPENDENCYPART_ARC
(38,21),-2.72287 # DEPENDENCYPART_ARC
(38,23),-1.91186 # DEPENDENCYPART_ARC
(38,24),-1.29565 # DEPENDENCYPART_ARC
(38,25),-2.47528 # DEPENDENCYPART_ARC
(38,26),-2.23604 # DEPENDENCYPART_ARC
(38,27),-1.4943 # DEPENDENCYPART_ARC
(38,28),-2.14939 # DEPENDENCYPART_ARC
(38,29),-1.24258 # DEPENDENCYPART_ARC
(38,30),-2.45532 # DEPENDENCYPART_ARC
(38,31),-1.4933 # DEPENDENCYPART_ARC
(38,32),-1.56676 # DEPENDENCYPART_ARC
(38,34),-1.80058 # DEPENDENCYPART_ARC
(38,35),-1.701 # DEPENDENCYPART_ARC
(38,36),-0.612673 # DEPENDENCYPART_ARC
(38,37),-0.154419 # DEPENDENCYPART_ARC
(38,40),-0.695564 # DEPENDENCYPART_ARC
(38,41),-1.45465 # DEPENDENCYPART_ARC
(38,42),-0.273604 # DEPENDENCYPART_ARC
(38,43),-1.0042 # DEPENDENCYPART_ARC
(39,2),-4.5747 # DEPENDENCYPART_ARC
(39,5),-4.11359 # DEPENDENCYPART_ARC
(39,7),-3.84593 # DEPENDENCYPART_ARC
(39,10),-4.14867 # DEPENDENCYPART_ARC
(39,11),-3.84229 # DEPENDENCYPART_ARC
(39,15),-3.05336 # DEPENDENCYPART_ARC
(39,16),-3.71044 # DEPENDENCYPART_ARC
(39,18),-3.92651 # DEPENDENCYPART_ARC
(39,19),-3.42738 # DEPENDENCYPART_ARC
(39,21),-4.02838 # DEPENDENCYPART_ARC
(39,23),-3.03589 # DEPENDENCYPART_ARC
(39,25),-4.42453 # DEPENDENCYPART_ARC
(39,30),-4.33451 # DEPENDENCYPART_ARC
(39,31),-2.63587 # DEPENDENCYPART_ARC
(39,32),-2.77831 # DEPENDENCYPART_ARC
(39,34),-3.032 # DEPENDENCYPART_ARC
(39,35),-3.24868 # DEPENDENCYPART_ARC
(39,36),-1.99307 # DEPENDENCYPART_ARC
(39,40),0.963947 # DEPENDENCYPART_ARC
(39,42),0.10522 # DEPENDENCYPART_ARC
(39,43),-0.859456 # DEPENDENCYPART_ARC
(40,1),-3.49628 # DEPENDENCYPART_ARC
(40,2),-3.45026 # DEPENDENCYPART_ARC
(40,3),-3.06663 # DEPENDENCYPART_ARC
(40,4),-3.78059 # DEPENDENCYPART_ARC
(40,5),-3.29597 # DEPENDENCYPART_ARC
(40,6),-3.32971 # DEPENDENCYPART_ARC
(40,7),-2.13692 # DEPENDENCYPART_ARC
(40,8),-5.22871 # DEPENDENCYPART_ARC
(40,9),-2.3116 # DEPENDENCYPART_ARC
(40,10),-3.61985 # DEPENDENCYPART_ARC
(40,11),-2.75331 # DEPENDENCYPART_ARC
(40,12),-3.06843 # DEPENDENCYPART_ARC
(40,13),-1.90317 # DEPENDENCYPART_ARC
(40,14),-2.18102 # DEPENDENCYPART_ARC
(40,15),-3.19355 # DEPENDENCYPART_ARC
(40,16),-2.39351 # DEPENDENCYPART_ARC
(40,17),-2.29765 # DEPENDENCYPART_ARC
(40,18),-1.26567 # DEPENDENCYPART_ARC
(40,19),-2.01729 # DEPENDENCYPART_ARC
(40,20),-3.40564 # DEPENDENCYPART_ARC
(40,21),-3.33196 # DEPENDENCYPART_ARC
(40,22),-0.739505 # DEPENDENCYPART_ARC
(40,23),-2.88095 # DEPENDENCYPART_ARC
(40,24),-2.65839 # DEPENDENCYPART_ARC
(40,25),-3.01542 # DEPENDENCYPART_ARC
(40,26),-2.43108 # DEPENDENCYPART_ARC
(40,27),-1.27724 # DEPENDENCYPART_ARC
(40,28),-2.77499 # DEPENDENCYPART_ARC
(40,29),-2.27938 # DEPENDENCYPART_ARC
(40,30),-2.9975 # DEPENDENCYPART_ARC
(40,31),-2.21432 # DEPENDENCYPART_ARC
(40,32),-0.790154 # DEPENDENCYPART_ARC
(40,33),-0.553112 # DEPENDENCYPART_ARC
(40,34),-1.43055 # DEPENDENCYPART_ARC
(40,35),-0.340065 # DEPENDENCYPART_ARC
(40,36),0.0165382 # DEPENDENCYPART_ARC
(40,37),-0.348082 # DEPENDENCYPART_ARC
(40,38),0.262162 # DEPENDENCYPART_ARC
(40,39),3.69492 # DEPENDENCYPART_ARC
(40,41),0.478361 # DEPENDENCYPART_ARC
(40,42),2.57209 # DEPENDENCYPART_ARC
(40,43),-0.152981 # DEPENDENCYPART_ARC
(41,2),-3.25895 # DEPENDENCYPART_ARC
(41,3),-3.26746 # DEPENDENCYPART_ARC
(41,4),-3.21705 # DEPENDENCYPART_ARC
(41,5),-2.21208 # DEPENDENCYPART_ARC
(41,6),-3.20938 # DEPENDENCYPART_ARC
(41,7),-2.15619 # DEPENDENCYPART_ARC
(41,8),-2.05666 # DEPENDENCYPART_ARC
(41,10),-3.21688 # DEPENDENCYPART_ARC
(41,11),-2.02975 # DEPENDENCYPART_ARC
(41,12),-3.02756 # DEPENDENCYPART_ARC
(41,13),-2.41031 # DEPENDENCYPART_ARC
(41,14),-2.43813 # DEPENDENCYPART_ARC
(41,15),-2.27184 # DEPENDENCYPART_ARC
(41,16),-2.97771 # DEPENDENCYPART_ARC
(41,17),-2.43769 # DEPENDENCYPART_ARC
(41,18),-3.08984 # DEPENDENCYPART_ARC
(41,19),-1.78526 # DEPENDENCYPART_ARC
(41,20),-1.87075 # DEPENDENCYPART_ARC
(41,21),-2.86308 # DEPENDENCYPART_ARC
(41,22),-1.97504 # DEPENDENCYPART_ARC
(41,23),-2.17804 # DEPENDENCYPART_ARC
(41,25),-2.94087 # DEPENDENCYPART_ARC
(41,26),-2.32439 # DEPENDENCYPART_ARC
(41,27),-2.00841 # DEPENDENCYPART_ARC
(41,28),-2.20828 # DEPENDENCYPART_ARC
(41,30),-2.91951 # DEPENDENCYPART_ARC
(41,31),-1.80967 # DEPENDENCYPART_ARC
(41,32),-1.49544 # DEPENDENCYPART_ARC
(41,33),-1.54089 # DEPENDENCYPART_ARC
(41,34),-2.42735 # DEPENDENCYPART_ARC
(41,35),-2.60483 # DEPENDENCYPART_ARC
(41,36),-1.10479 # DEPENDENCYPART_ARC
(41,37),-1.7111 # DEPENDENCYPART_ARC
(41,38),-1.04493 # DEPENDENCYPART_ARC
(41,39),-0.201567 # DEPENDENCYPART_ARC
(41,40),-0.634161 # DEPENDENCYPART_ARC
(41,42),0.360074 # DEPENDENCYPART_ARC
(41,43),-0.454107 # DEPENDENCYPART_ARC
(42,1),-4.41252 # DEPENDENCYPART_ARC
(42,2),-2.97504 # DEPENDENCYPART_ARC
(42,3),-3.44271 # DEPENDENCYPART_ARC
(42,4),-3.27593 # DEPENDENCYPART_ARC
(42,5),-4.27404 # DEPENDENCYPART_ARC
(42,6),-3.55761 # DEPENDENCYPART_ARC
(42,7),-2.00815 # DEPENDENCYPART_ARC
(42,8),-2.17798 # DEPENDENCYPART_ARC
(42,9),-2.00917 # DEPENDENCYPART_ARC
(42,10),-3.47889 # DEPENDENCYPART_ARC
(42,11),-4.21752 # DEPENDENCYPART_ARC
(42,12),-3.34256 # DEPENDENCYPART_ARC
(42,13),-1.98884 # DEPENDENCYPART_ARC
(42,14),-1.29459 # DEPENDENCYPART_ARC
(42,15),-2.90284 # DEPENDENCYPART_ARC
(42,16),-2.72884 # DEPENDENCYPART_ARC
(42,17),-1.8527 # DEPENDENCYPART_ARC
(42,18),-1.77544 # DEPENDENCYPART_ARC
(42,19),-1.29319 # DEPENDENCYPART_ARC
(42,20),-1.77508 # DEPENDENCYPART_ARC
(42,21),-2.12851 # DEPENDENCYPART_ARC
(42,22),-2.01948 # DEPENDENCYPART_ARC
(42,23),-2.49821 # DEPENDENCYPART_ARC
(42,24),-1.98327 # DEPENDENCYPART_ARC
(42,25),-1.4044 # DEPENDENCYPART_ARC
(42,26),-2.14339 # DEPENDENCYPART_ARC
(42,27),-0.693549 # DEPENDENCYPART_ARC
(42,28),-2.06985 # DEPENDENCYPART_ARC
(42,29),-1.12113 # DEPENDENCYPART_ARC
(42,30),-2.08421 # DEPENDENCYPART_ARC
(42,31),-1.76328 # DEPENDENCYPART_ARC
(42,32),0.116902 # DEPENDENCYPART_ARC
(42,33),-0.809602 # DEPENDENCYPART_ARC
(42,34),-0.348467 # DEPENDENCYPART_ARC
(42,35),-0.424859 # DEPENDENCYPART_ARC
(42,36),-0.216245 # DEPENDENCYPART_ARC
(42,37),-1.58658 # DEPENDENCYPART_ARC
(42,38),-0.027778 # DEPENDENCYPART_ARC
(42,39),-0.194991 # DEPENDENCYPART_ARC
(42,40),0.84379 # DEPENDENCYPART_ARC
(42,41),2.58656 # DEPENDENCYPART_ARC
(42,43),2.00729 # DEPENDENCYPART_ARC
(43,8),-2.15949 # DEPENDENCYPART_ARC
(43,15),-2.22196 # DEPENDENCYPART_ARC
(43,20),-2.1666 # DEPENDENCYPART_ARC
(43,23),-2.16138 # DEPENDENCYPART_ARC
(43,31),-1.96041 # DEPENDENCYPART_ARC
(43,33),-1.78312 # DEPENDENCYPART_ARC
(43,39),-1.2989 # DEPENDENCYPART_ARC
